date,vixtwn_close,vixtwn_1min_avg
2025-12-01,25.16,25.14
2025-12-02,24.28,24.28
2025-12-03,23.72,23.72
2025-12-04,22.39,22.39
2025-12-05,21.05,21.05
2025-12-08,20.25,20.57
2025-12-09,20.63,20.63
2025-12-10,20.15,20.15
2025-12-11,20.81,20.81
2025-12-12,19.66,19.67
2025-12-15,21.46,21.46
2025-12-16,21.38,21.41
2025-12-17,21.2,21.2
2025-12-18,21.9,21.91
2025-12-19,20.75,20.75
2025-12-22,18.5,18.5
2025-12-23,17.32,17.32
2025-12-24,16.98,16.97
2025-12-26,16.5,16.5
2025-12-29,17.42,17.42
2025-12-30,17.99,17.99
2025-12-31,18.25,18.24
2026-01-02,19.07,19.08
2026-01-05,21.83,21.83
2026-01-06,21.65,21.68
2026-01-07,21.83,21.83
2026-01-08,21.28,21.28
2026-01-09,21.52,21.52
2026-01-12,22.66,22.66
2026-01-13,23.21,23.21
2026-01-14,22.63,22.63
2026-01-15,22.67,22.66
2026-01-16,21.96,21.96
2026-01-19,22.32,22.32
2026-01-20,21.92,21.92
2026-01-21,22.97,22.98
2026-01-22,21.16,21.16
2026-01-23,20.57,20.57
2026-01-26,20.7,20.83
2026-01-27,21.77,21.77
2026-01-28,23.31,23.31
2026-01-29,23.87,23.87
2026-01-30,25.53,25.5
2026-02-02,28.35,28.33
2026-02-03,25.69,25.68
2026-02-04,27.45,27.45
2026-02-05,28.84,28.81
2026-02-06,30.06,30.07
2026-02-09,28.42,28.43
2026-02-10,27.79,27.77
2026-02-11,29.29,29.25
2026-02-23,27.38,27.38
2026-02-24,26.29,26.27
2026-02-25,29.09,29.1
2026-02-26,26.76,26.77
2026-03-02,30.38,30.38
2026-03-03,32.42,32.39
2026-03-04,39.17,39.28
2026-03-05,34.06,33.96
2026-03-06,34.04,34.03
2026-03-09,41.63,41.5
2026-03-10,36.95,36.69
2026-03-11,34.6,34.71
2026-03-12,36.82,36.83
2026-03-13,38.19,38.2
2026-03-16,37.0,37.0
2026-03-17,34.88,34.89
2026-03-18,31.81,31.81
2026-03-19,35.7,35.4
2026-03-20,34.83,34.89
2026-03-23,39.23,39.21
2026-03-24,38.46,38.45
2026-03-25,36.31,36.32
2026-03-26,36.81,36.83
