target,predictor,n,status,best_lag,p_by_lag,best_raw_p,lag_adjusted_p,family_bonferroni_p,family_pass_5pct
SPY,CL_volshock,4843,ok,1,"{'1': 1.2065847972505575e-08, '2': 1.0174031350948934e-05, '3': 0.0012798981989928192, '4': 0.028466878623962022, '5': 0.10686295622785734}",1.2065847972505575e-08,6.032923986252787e-08,1.809877195875836e-06,True
SPY,USO_volshock,4846,ok,1,"{'1': 3.179110896140914e-11, '2': 3.716607458451452e-07, '3': 4.7189014020790874e-05, '4': 0.0028310707191803674, '5': 0.015898991020251774}",3.179110896140914e-11,1.589555448070457e-10,4.768666344211371e-09,True
SPY,CL_vov,4824,ok,1,"{'1': 0.07512937946177668, '2': 0.18412144434346325, '3': 0.48201208615696445, '4': 0.4065796393549663, '5': 0.5424600508354411}",0.07512937946177668,0.3756468973088834,1.0,False
SPY,USO_vov,4827,ok,1,"{'1': 0.3648531245936698, '2': 0.5080860553033603, '3': 0.44375781632000266, '4': 0.4279172561200977, '5': 0.4787061781086247}",0.3648531245936698,1.0,1.0,False
SPY,OVX_level_z,4679,ok,1,"{'1': 1.2354054315259009e-52, '2': 8.032429077185e-39, '3': 5.745818327060919e-29, '4': 5.803734102494662e-24, '5': 1.7429260789932658e-22}",1.2354054315259009e-52,6.177027157629505e-52,1.8531081472888514e-50,True
XLE,CL_volshock,4843,ok,1,"{'1': 0.0014254497924904267, '2': 0.006720702700952927, '3': 0.06184258543030994, '4': 0.3480946632883038, '5': 0.13589542173383162}",0.0014254497924904267,0.007127248962452133,0.21381746887356398,False
XLE,USO_volshock,4846,ok,1,"{'1': 0.00020661110006727032, '2': 0.0017981761274242884, '3': 0.008533695845529725, '4': 0.11235536868040585, '5': 0.030708469397161663}",0.00020661110006727032,0.0010330555003363515,0.030991665010090545,True
XLE,CL_vov,4824,ok,1,"{'1': 0.7816616894322889, '2': 0.8269949867692573, '3': 0.9196689813894136, '4': 0.8115230489004756, '5': 0.8994304384863793}",0.7816616894322889,1.0,1.0,False
XLE,USO_vov,4827,ok,1,"{'1': 0.04619806915129927, '2': 0.15457715631190994, '3': 0.26323650225854045, '4': 0.27473998176813974, '5': 0.392719589788228}",0.04619806915129927,0.23099034575649635,1.0,False
XLE,OVX_level_z,4679,ok,1,"{'1': 1.0373620334044581e-41, '2': 1.9035164630112023e-32, '3': 1.5710913328143014e-26, '4': 2.375045525785076e-22, '5': 3.6559659206436986e-19}",1.0373620334044581e-41,5.186810167022291e-41,1.5560430501066872e-39,True
XOP,CL_volshock,4843,ok,1,"{'1': 0.007340271465402003, '2': 0.05166529268811887, '3': 0.31964263753782785, '4': 0.6532952349676691, '5': 0.14862156753785666}",0.007340271465402003,0.03670135732701001,1.0,False
XOP,USO_volshock,4846,ok,1,"{'1': 7.320449254678259e-05, '2': 0.002474280217899167, '3': 0.07169063751973823, '4': 0.39676279302003087, '5': 0.14429671727163507}",7.320449254678259e-05,0.00036602246273391295,0.01098067388201739,True
XOP,CL_vov,4824,ok,1,"{'1': 0.5733555749302964, '2': 0.8898411691872464, '3': 0.8002073010288616, '4': 0.9407920236780083, '5': 0.8919817922835228}",0.5733555749302964,1.0,1.0,False
XOP,USO_vov,4827,ok,1,"{'1': 0.14593258993211433, '2': 0.35099614136161705, '3': 0.4087055558784014, '4': 0.5611659107481438, '5': 0.4685122084957617}",0.14593258993211433,0.7296629496605717,1.0,False
XOP,OVX_level_z,4679,ok,1,"{'1': 1.166550663949898e-41, '2': 2.420404362642492e-34, '3': 1.2319963808063005e-28, '4': 9.632708806528175e-25, '5': 5.906617187451406e-20}",1.166550663949898e-41,5.83275331974949e-41,1.749825995924847e-39,True
OIH,CL_volshock,4843,ok,1,"{'1': 0.03843476095285471, '2': 0.09445377998111161, '3': 0.3649347652966036, '4': 0.23240693188807773, '5': 0.055293175310972754}",0.03843476095285471,0.19217380476427354,1.0,False
OIH,USO_volshock,4846,ok,1,"{'1': 0.0113971130892293, '2': 0.028434430429935882, '3': 0.22826180974328053, '4': 0.2777570394485239, '5': 0.05105416305384675}",0.0113971130892293,0.0569855654461465,1.0,False
OIH,CL_vov,4824,ok,1,"{'1': 0.3503935956803178, '2': 0.6375353202465209, '3': 0.787114996109462, '4': 0.6386800440242861, '5': 0.7234968398307311}",0.3503935956803178,1.0,1.0,False
OIH,USO_vov,4827,ok,2,"{'1': 0.8108914375594748, '2': 0.45720494391261185, '3': 0.6360994906756963, '4': 0.7448397287332422, '5': 0.7584937185471249}",0.45720494391261185,1.0,1.0,False
OIH,OVX_level_z,4679,ok,1,"{'1': 9.664672637501908e-30, '2': 1.915639304867509e-24, '3': 1.9350043344053285e-20, '4': 9.604473260374001e-18, '5': 5.575832005115689e-15}",9.664672637501908e-30,4.832336318750954e-29,1.4497008956252863e-27,True
XOM,CL_volshock,4843,ok,1,"{'1': 9.015970050959458e-07, '2': 0.00020571000723636278, '3': 0.006841877569502729, '4': 0.06967360866124613, '5': 0.3003223802938645}",9.015970050959458e-07,4.507985025479729e-06,0.00013523955076439188,True
XOM,USO_volshock,4846,ok,1,"{'1': 1.7308860967070415e-07, '2': 4.700889843925271e-05, '3': 0.0017905523549764874, '4': 0.03605452083764957, '5': 0.11752236080009598}",1.7308860967070415e-07,8.654430483535207e-07,2.5963291450605622e-05,True
XOM,CL_vov,4824,ok,4,"{'1': 0.9274066491505492, '2': 0.29621131539795315, '3': 0.38071894209883067, '4': 0.21267476386766052, '5': 0.2304221928611206}",0.21267476386766052,1.0,1.0,False
XOM,USO_vov,4827,ok,2,"{'1': 0.29532686067118946, '2': 0.08556439582107292, '3': 0.1463731740851517, '4': 0.2660849995634647, '5': 0.4107152578958566}",0.08556439582107292,0.42782197910536457,1.0,False
XOM,OVX_level_z,4679,ok,1,"{'1': 1.6399595821732394e-38, '2': 2.261353435687311e-30, '3': 4.2556930758566896e-24, '4': 6.188115506762207e-20, '5': 5.582585098537965e-17}",1.6399595821732394e-38,8.199797910866197e-38,2.459939373259859e-36,True
CVX,CL_volshock,4843,ok,1,"{'1': 1.1883786409844794e-05, '2': 0.0004862875601280082, '3': 0.011990694153430062, '4': 0.06374371881599594, '5': 0.29818128725077137}",1.1883786409844794e-05,5.941893204922397e-05,0.001782567961476719,True
CVX,USO_volshock,4846,ok,1,"{'1': 2.83873353584968e-05, '2': 0.0005804529265282197, '3': 0.007572110001958545, '4': 0.052891241403405675, '5': 0.12568287129694267}",2.83873353584968e-05,0.00014193667679248399,0.004258100303774519,True
CVX,CL_vov,4824,ok,4,"{'1': 0.6728471141651116, '2': 0.9066872347874936, '3': 0.3422627690175562, '4': 0.21399406706544166, '5': 0.34793489143731565}",0.21399406706544166,1.0,1.0,False
CVX,USO_vov,4827,ok,5,"{'1': 0.23785731379084207, '2': 0.41847657431019203, '3': 0.19434302871402337, '4': 0.06771352278983779, '5': 0.0249038794157765}",0.0249038794157765,0.1245193970788825,1.0,False
CVX,OVX_level_z,4679,ok,1,"{'1': 9.339502058385484e-39, '2': 1.1393788234771511e-32, '3': 3.183570220661106e-25, '4': 7.479154508769859e-22, '5': 7.575484820664569e-18}",9.339502058385484e-39,4.669751029192742e-38,1.4009253087578226e-36,True
