date,news_count,gdelt_total,news_share,log_news_share,news_z
2017-01-01,3095,427906,0.0072328969446560695,-4.929115639155654,
2017-01-02,4402,592774,0.007426101684621795,-4.902754230266622,
2017-01-03,4310,757916,0.005686646013542398,-5.169634657444001,
2017-01-04,5348,822862,0.0064992671918256036,-5.036065848155284,
2017-01-05,6721,830028,0.008097317198937868,-4.816222482173563,
2017-01-06,5486,766969,0.007152831470372336,-4.9402469908251385,
2017-01-07,3150,520691,0.006049653249239952,-5.107754322757121,
2017-01-08,2597,488784,0.005313185374316671,-5.237563741416808,
2017-01-09,5013,813487,0.0061623603081548935,-5.08929540791814,
2017-01-10,6792,884856,0.007675825219018688,-4.869679470895465,
2017-01-11,10172,879968,0.011559511254954725,-4.460246695614842,
2017-01-12,7249,873198,0.00830166812109052,-4.791298805928406,
2017-01-13,6107,847105,0.007209259772991541,-4.932388999669939,
2017-01-14,3867,538257,0.00718430043640863,-4.935857128643897,
2017-01-15,3530,485270,0.007274300904651019,-4.923407566122673,
2017-01-16,5807,778396,0.007460213053510039,-4.898171305722533,
2017-01-17,8428,872725,0.00965710848205334,-4.640061004545557,
2017-01-18,13154,903497,0.014558985807368481,-4.229546894727025,
2017-01-19,10309,897136,0.01149101139626545,-4.466190166951371,
2017-01-20,11540,840244,0.01373410580736072,-4.287873064767841,
2017-01-21,8213,542714,0.015133200912451125,-4.190864212919789,
2017-01-22,5539,507306,0.01091845947022113,-4.517300392772847,
2017-01-23,7484,816816,0.009162406221229751,-4.692646446885347,
2017-01-24,11815,882520,0.013387798576802792,-4.3134115408013,
2017-01-25,12437,888646,0.013995449256509342,-4.269023055314566,
2017-01-26,10674,850165,0.012555209871025036,-4.377619570381276,
2017-01-27,9303,814253,0.011425195854359763,-4.471934199735256,
2017-01-28,4592,540104,0.008502066268718618,-4.767446054590075,
2017-01-29,3850,492134,0.007823072577793853,-4.850677888833561,
2017-01-30,5629,800343,0.007033234500707822,-4.95710857929902,
2017-01-31,5573,866957,0.006428231157946703,-5.047055870654093,
2017-02-01,6738,877514,0.0076785099724904675,-4.869329764644344,
2017-02-02,6512,878535,0.00741233986124628,-4.904609118770746,
2017-02-03,5631,849054,0.006632087005066816,-5.015835742256485,
2017-02-04,3166,547610,0.005781486824564927,-5.1530943932934825,
2017-02-05,3378,489387,0.0069025127353199,-4.975869769131619,
2017-02-06,4844,810397,0.005977317290167658,-5.119783425361159,
2017-02-07,5692,886593,0.006420082269993108,-5.048324346721703,
2017-02-08,6110,908408,0.006726052610721174,-5.001766843702208,
2017-02-09,5782,895654,0.006455617906021745,-5.042804534087241,
2017-02-10,5796,851022,0.006810634742697603,-4.989269955719678,
2017-02-11,3697,535178,0.0069079820171980165,-4.975077721886094,
2017-02-12,3535,501551,0.007048136680018582,-4.954991997798131,
2017-02-13,4955,828201,0.005982847159083362,-5.118858710766603,
2017-02-14,5302,888105,0.0059700148068077535,-5.121005871378398,
2017-02-15,5661,902442,0.006272979316122255,-5.071503867159392,
2017-02-16,7015,899621,0.007797728154411691,-4.853922849966591,
2017-02-17,8230,845037,0.009739218519425776,-4.631594398691822,
2017-02-18,4066,546303,0.007442756126179062,-4.900514051668632,
2017-02-19,2625,492129,0.005333967313448303,-5.233659981203538,
2017-02-20,5440,770453,0.007060781124870693,-4.953199592680712,
2017-02-21,5503,863510,0.006372827182082431,-5.055712080217967,
2017-02-22,5593,896676,0.006237481542943048,-5.077178776956084,
2017-02-23,5454,882237,0.006182012316418377,-5.086111442970998,
2017-02-24,5323,831927,0.006398397936357397,-5.05170764239656,
