Date,GC=F,GLD,SI=F,SLV,^VIX
2006-01-03,7.0,4606500.0,33.0,,0.0
2006-01-04,8.0,5287900.0,137.0,,0.0
2006-01-05,10.0,7661800.0,11.0,,0.0
2006-01-06,10.0,4629800.0,4.0,,0.0
2006-01-09,10.0,5394200.0,17.0,,0.0
2006-01-10,2.0,5700600.0,1.0,,0.0
2006-01-11,0.0,4209500.0,13.0,,0.0
2006-01-12,0.0,3603000.0,43.0,,0.0
2006-01-13,0.0,4346200.0,25.0,,0.0
2006-01-17,0.0,5130400.0,75.0,,0.0
2006-01-18,0.0,4565200.0,51.0,,0.0
2006-01-19,22.0,5290700.0,4.0,,0.0
2006-01-20,22.0,7270600.0,4.0,,0.0
2006-01-23,1.0,4968500.0,117.0,,0.0
2006-01-24,2.0,3419100.0,117.0,,0.0
2006-01-25,2.0,10005200.0,107.0,,0.0
2006-01-26,2.0,4306500.0,324.0,,0.0
2006-01-27,79958.0,4285400.0,2.0,,0.0
2006-01-30,35179.0,3969200.0,3.0,,0.0
2006-01-31,6749.0,5011700.0,13.0,,0.0
2006-02-01,3768.0,4700900.0,12.0,,0.0
2006-02-02,887.0,5114300.0,13.0,,0.0
2006-02-03,686.0,5054000.0,40.0,,0.0
2006-02-06,649.0,3455200.0,38.0,,0.0
2006-02-07,1276.0,10197200.0,1.0,,0.0
2006-02-08,762.0,5375900.0,10.0,,0.0
2006-02-09,227.0,5299300.0,10.0,,0.0
2006-02-10,222.0,4328600.0,10.0,,0.0
2006-02-13,645.0,5122900.0,2.0,,0.0
2006-02-14,142.0,3611000.0,1.0,,0.0
2006-02-15,150.0,4813900.0,1.0,,0.0
2006-02-16,96.0,5589300.0,104.0,,0.0
2006-02-17,55.0,3927200.0,0.0,,0.0
2006-02-21,86.0,3352600.0,0.0,,0.0
2006-02-22,253.0,3835700.0,0.0,,0.0
2006-02-23,174.0,2428700.0,0.0,,0.0
2006-02-24,14.0,4927100.0,29220.0,,0.0
2006-02-27,24.0,2291600.0,15936.0,,0.0
2006-02-28,49.0,3425900.0,4128.0,,0.0
2006-03-01,1.0,4266500.0,960.0,,0.0
2006-03-02,1.0,3862000.0,1022.0,,0.0
2006-03-03,2.0,3102800.0,598.0,,0.0
2006-03-06,2.0,5432000.0,183.0,,0.0
2006-03-07,3.0,4385400.0,169.0,,0.0
2006-03-08,3.0,6712100.0,426.0,,0.0
2006-03-09,25.0,3799200.0,198.0,,0.0
2006-03-10,3.0,6489200.0,473.0,,0.0
2006-03-13,4.0,2425700.0,133.0,,0.0
2006-03-14,4.0,2671700.0,75.0,,0.0
2006-03-15,4.0,4706800.0,12.0,,0.0
2006-03-16,4.0,3342200.0,391.0,,0.0
2006-03-17,4.0,2236000.0,58.0,,0.0
2006-03-20,4.0,1884000.0,22.0,,0.0
2006-03-21,4.0,4518900.0,139.0,,0.0
2006-03-22,300.0,1077300.0,19.0,,0.0
2006-03-23,547.0,4000800.0,192.0,,0.0
2006-03-24,547.0,3785000.0,84.0,,0.0
2006-03-27,547.0,4081900.0,96.0,,0.0
2006-03-28,547.0,3419700.0,133.0,,0.0
2006-03-29,64190.0,5536700.0,5.0,,0.0
2006-03-30,25210.0,5875300.0,94.0,,0.0
2006-03-31,2845.0,5076400.0,358.0,,0.0
2006-04-03,729.0,4894500.0,3.0,,0.0
2006-04-04,1293.0,5094500.0,1.0,,0.0
2006-04-05,736.0,6660300.0,69.0,,0.0
2006-04-06,855.0,5644000.0,115.0,,0.0
2006-04-07,450.0,3427000.0,117.0,,0.0
2006-04-10,316.0,3682000.0,32.0,,0.0
2006-04-11,697.0,5023400.0,53.0,,0.0
2006-04-12,38.0,3709300.0,2.0,,0.0
2006-04-13,107.0,2812500.0,1.0,,0.0
2006-04-17,1125.0,6072600.0,187.0,,0.0
2006-04-18,502.0,5130700.0,5.0,,0.0
2006-04-19,99.0,11285100.0,4.0,,0.0
2006-04-20,537.0,12977900.0,113.0,,0.0
2006-04-21,222.0,7528100.0,692.0,,0.0
2006-04-24,288.0,7385300.0,5.0,,0.0
2006-04-25,112.0,5611200.0,2.0,,0.0
2006-04-26,3.0,5795200.0,29501.0,,0.0
2006-04-27,6.0,6421200.0,16035.0,,0.0
2006-04-28,6.0,8378000.0,6648.0,23432000.0,0.0
2006-05-01,9.0,7556200.0,726.0,14835000.0,0.0
2006-05-02,2.0,6194800.0,683.0,12511000.0,0.0
2006-05-03,1.0,11554600.0,797.0,15141000.0,0.0
2006-05-04,1.0,14123500.0,815.0,11075000.0,0.0
2006-05-05,1.0,9270900.0,135.0,6586000.0,0.0
2006-05-08,2.0,6528700.0,160.0,9453000.0,0.0
2006-05-09,8.0,12056900.0,979.0,11054000.0,0.0
2006-05-10,4.0,10312100.0,33.0,13913000.0,0.0
2006-05-11,10.0,17781400.0,173.0,12533000.0,0.0
2006-05-12,32.0,20635500.0,66.0,10129000.0,0.0
2006-05-15,32.0,18383800.0,101.0,12581000.0,0.0
2006-05-16,0.0,12221900.0,136.0,7200000.0,0.0
2006-05-17,0.0,16414700.0,136.0,7821000.0,0.0
2006-05-18,0.0,12720700.0,39.0,8020000.0,0.0
2006-05-19,0.0,18687500.0,184.0,8460000.0,0.0
2006-05-22,0.0,11977700.0,423.0,5949000.0,0.0
2006-05-23,0.0,10509700.0,674.0,8188000.0,0.0
2006-05-24,0.0,11065600.0,351.0,5349000.0,0.0
2006-05-25,0.0,6505400.0,36.0,4998000.0,0.0
2006-05-26,80564.0,5265900.0,88.0,3477000.0,0.0
2006-05-30,51461.0,8240200.0,31.0,6204000.0,0.0
2006-05-31,5034.0,7573300.0,60.0,6342000.0,0.0
2006-06-01,1682.0,11751400.0,50.0,8007000.0,0.0
2006-06-02,1151.0,6958900.0,81.0,3807000.0,0.0
2006-06-05,613.0,6018600.0,6.0,4317000.0,0.0
2006-06-06,361.0,7175100.0,142.0,6764000.0,0.0
2006-06-07,793.0,10172700.0,87.0,6712000.0,0.0
2006-06-08,532.0,14228500.0,87.0,6754000.0,0.0
2006-06-09,73.0,7414800.0,87.0,4204000.0,0.0
2006-06-12,19.0,4122500.0,34.0,5380000.0,0.0
2006-06-13,207.0,26220600.0,75.0,20708000.0,0.0
2006-06-14,243.0,12655100.0,3.0,9620000.0,0.0
2006-06-15,135.0,11907900.0,4.0,8796000.0,0.0
2006-06-16,4.0,7319400.0,4.0,4103000.0,0.0
2006-06-19,6.0,5737400.0,4.0,3696000.0,0.0
2006-06-20,4.0,11072400.0,210.0,2978000.0,0.0
2006-06-21,60.0,6162100.0,0.0,3908000.0,0.0
2006-06-22,14.0,5374800.0,20.0,2434000.0,0.0
2006-06-23,19.0,6106700.0,60.0,5332000.0,0.0
2006-06-26,119.0,3423700.0,34.0,2010000.0,0.0
2006-06-27,39.0,6515900.0,0.0,5217000.0,0.0
2006-06-28,1.0,2898900.0,22300.0,2816000.0,0.0
2006-06-29,104.0,10748500.0,13642.0,6410000.0,0.0
2006-06-30,18.0,7773800.0,0.0,7536000.0,0.0
2006-07-03,,3078500.0,1223.0,2103000.0,0.0
2006-07-05,94.0,8178400.0,548.0,3619000.0,0.0
2006-07-06,6.0,5686600.0,458.0,3919000.0,0.0
2006-07-07,6.0,5328700.0,86.0,3436000.0,0.0
2006-07-10,6.0,3512000.0,34.0,2749000.0,0.0
2006-07-11,6.0,5787000.0,28.0,2908000.0,0.0
2006-07-12,6.0,9450300.0,122.0,5695000.0,0.0
