Date,adjclose,high,low,close,volume
1999-05-04,48.44162368774414,77.25,70.0,70.375,22320900
1999-05-05,47.58119201660156,69.875,66.25,69.125,7565700
1999-05-06,46.763816833496094,69.375,67.0625,67.9375,2905700
1999-05-07,51.022884368896484,74.875,66.75,74.125,4862300
1999-05-10,48.65672302246094,73.5,70.25,70.6875,2589400
1999-05-11,48.613712310791016,71.1875,69.5,70.625,1839800
1999-05-12,50.59266662597656,74.875,69.125,73.5,2659300
1999-05-13,50.37755584716797,75.25,72.5,73.1875,1142900
1999-05-14,48.31257629394531,72.25,69.0625,70.1875,2058400
1999-05-17,47.237056732177734,70.25,68.0,68.625,2075000
1999-05-18,47.237056732177734,70.4375,68.125,68.625,1407100
1999-05-19,47.71026611328125,69.8125,68.75,69.3125,727400
1999-05-20,47.0649528503418,70.125,68.375,68.375,520800
1999-05-21,46.46265411376953,68.8125,67.5,67.5,936200
1999-05-24,44.95691680908203,67.25,65.0,65.3125,1493000
1999-05-25,44.39765930175781,65.9375,64.0,64.5,1662400
1999-05-26,45.47317886352539,66.625,63.0625,66.0625,1602900
1999-05-27,46.6347541809082,67.75,64.6875,67.75,1220500
1999-05-28,46.763816833496094,68.8125,67.0,67.9375,901900
1999-06-01,44.18253707885742,66.625,63.5625,64.1875,953900
1999-06-02,43.537235260009766,64.0625,62.0,63.25,2204300
1999-06-03,43.79536437988281,64.1875,63.125,63.625,852600
1999-06-04,44.99993896484375,67.0,64.3125,65.375,1357400
1999-06-07,45.38714599609375,67.75,65.1875,65.9375,891900
1999-06-08,43.88140869140625,65.6875,63.75,63.75,571700
1999-06-09,45.08598709106445,65.5,63.625,65.5,611400
1999-06-10,43.62325668334961,64.9375,63.3125,63.375,664200
1999-06-11,43.537235260009766,64.3125,62.3125,63.25,969300
1999-06-14,42.16055679321289,64.0,60.5,61.25,821100
1999-06-15,43.193058013916016,63.375,62.25,62.75,831700
1999-06-16,44.91390609741211,65.4375,63.9375,65.25,690300
1999-06-17,44.74181365966797,66.875,64.5,65.0,955700
1999-06-18,44.61274719238281,64.875,63.5,64.8125,613900
1999-06-21,47.839351654052734,69.9375,66.5625,69.5,1811000
1999-06-22,46.80682373046875,70.125,67.75,68.0,1165900
1999-06-23,44.74181365966797,67.4375,64.875,65.0,1351700
1999-06-24,44.784828186035156,66.5,64.5,65.0625,1408900
1999-06-25,45.602237701416016,66.8125,65.375,66.25,1111500
1999-06-28,45.81736373901367,67.5,65.75,66.5625,784600
1999-06-29,46.6347541809082,68.5,66.0,67.75,629800
1999-06-30,49.732242584228516,72.25,66.125,72.25,2127600
1999-07-01,48.742774963378906,71.4375,69.75,70.8125,813600
1999-07-02,48.82881164550781,71.1875,69.6875,70.9375,536900
1999-07-06,48.52765655517578,71.1875,69.25,70.5,747600
1999-07-07,46.80682373046875,70.0,68.0,68.0,648800
1999-07-08,46.29056930541992,68.875,67.1875,67.25,424400
1999-07-09,46.29056930541992,68.1875,67.25,67.25,312700
1999-07-12,47.0649528503418,68.9375,67.875,68.375,547700
1999-07-13,46.72079849243164,68.6875,67.625,67.875,969600
1999-07-14,46.5487174987793,67.75,67.3125,67.625,888200
1999-07-15,46.763816833496094,68.0,67.5,67.9375,864700
1999-07-16,46.849853515625,68.75,67.75,68.0625,476700
1999-07-19,47.79633331298828,70.75,68.25,69.4375,646100
1999-07-20,46.892860412597656,70.4375,67.875,68.125,886100
1999-07-21,46.72079849243164,68.0625,67.125,67.875,626100
1999-07-22,45.77432632446289,68.25,66.5,66.5,579500
1999-07-23,44.09650802612305,66.375,64.0,64.0625,767200
1999-07-26,43.537235260009766,64.75,63.1875,63.25,749500
1999-07-27,45.08598709106445,65.75,63.3125,65.5,592200
1999-07-28,45.47317886352539,66.375,64.0,66.0625,584800
1999-07-29,44.74181365966797,65.5,64.5,65.0,646000
