n_fcm,hhi_seg,cr4_seg,total_seg,hhi_total,cr4_total,asof_file,year,month,era,month_end,avail_date
69,0.06654521721002345,0.4167656142269975,155542164104.0,0.06654521721002345,0.4167656142269975,,2013,12,B,2013-12-31,2014-02-14
69,0.06751660647576997,0.4270741883174085,160563114559.0,0.06775504595630431,0.4005281261097544,2014-01-31,2014,1,B,2014-01-31,2014-03-17
69,0.06676270664018172,0.42413955901831,165839817851.0,0.06677874882630366,0.3984334977289403,2014-02-28,2014,2,B,2014-02-28,2014-04-14
67,0.06684460348523735,0.4246296442800257,164975681297.0,0.06710151774582138,0.3978897551922899,2014-03-31,2014,3,B,2014-03-31,2014-05-15
67,0.06529849973136068,0.41833408709391273,161655442500.0,0.06616864847054028,0.39716999075158355,2014-04-30,2014,4,B,2014-04-30,2014-06-14
67,0.06489832019313099,0.4179382152283572,161675318212.0,0.0654221939488395,0.38875468706684574,2014-05-31,2014,5,B,2014-05-31,2014-07-15
65,0.06308600724161456,0.4066969098039679,161810009918.0,0.0651810323600737,0.3932409302652438,2014-06-30,2014,6,B,2014-06-30,2014-08-14
65,0.06246202694663871,0.39822686505973687,160764907017.0,0.06483109120971886,0.39283671275622156,2014-07-31,2014,7,B,2014-07-31,2014-09-14
64,0.06491855855689638,0.40856331721322553,163084690947.0,0.06621443978678732,0.39993073336846857,2014-08-31,2014,8,B,2014-08-31,2014-10-15
64,0.06392982950506272,0.40141706001442523,159957740034.0,0.06610317123157958,0.40397082064029866,2014-09-30,2014,9,B,2014-09-30,2014-11-14
63,0.06571096726396947,0.4129913707167867,162372616284.0,0.0670562647968367,0.406708003117906,2014-10-31,2014,10,B,2014-10-31,2014-12-15
62,0.06362082863269033,0.403567052450984,164798554010.0,0.06559160507298559,0.3991423277827407,2014-11-30,2014,11,B,2014-11-30,2015-01-14
62,0.06402013578147252,0.40601802579244994,160442398637.0,0.06658791065574139,0.40885883233067544,2014-12-31,2014,12,B,2014-12-31,2015-02-14
61,0.06626241453706308,0.41426425177655507,169370307286.0,0.06846842333391015,0.4233937425902407,2015-01-31,2015,1,B,2015-01-31,2015-03-17
61,0.06883009463400576,0.4335801310389177,166639725584.0,0.07125142883542974,0.44417425270270416,2015-02-28,2015,2,B,2015-02-28,2015-04-14
60,0.06712914016447447,0.42567909403707593,165825280045.0,0.06972147295761995,0.431436360634003,2015-03-31,2015,3,B,2015-03-31,2015-05-15
60,0.06735387741632332,0.4269604375414695,161332215314.0,0.07029026960156486,0.43048020454045305,2015-04-30,2015,4,B,2015-04-30,2015-06-14
60,0.06775333156520337,0.42536436397123584,161429519638.0,0.07127445065440678,0.43990062220859055,2015-05-31,2015,5,B,2015-05-31,2015-07-15
61,0.0678384798738966,0.42854058908883763,157895334794.0,0.0708789377646521,0.43517542376239166,2015-06-30,2015,6,B,2015-06-30,2015-08-14
61,0.06747472844804978,0.4277333357623853,163944124023.0,0.06919490813118599,0.42619305578224753,2015-07-31,2015,7,B,2015-07-31,2015-09-14
61,0.06855832108507715,0.4273508625635923,165500194046.0,0.0702933381855082,0.4330110982384806,2015-08-31,2015,8,B,2015-08-31,2015-10-15
59,0.06752203577289101,0.42333279256617634,164497927649.0,0.06995184378306205,0.42924053895145015,2015-09-30,2015,9,B,2015-09-30,2015-11-14
58,0.06742845141584256,0.4222089660157977,164681757953.0,0.06907133678728981,0.4172180865561006,2015-10-31,2015,10,B,2015-10-31,2015-12-15
58,0.06713093205668316,0.4232843894384154,165205836742.0,0.06830959790570217,0.40986764362303013,2015-11-30,2015,11,B,2015-11-30,2016-01-14
58,0.06713280148481786,0.4234530180130336,159691647596.0,0.06826757577812366,0.41254249743895266,2015-12-31,2015,12,B,2015-12-31,2016-02-14
58,0.06883065267093781,0.42732864853638547,167076080931.0,0.06945417781805636,0.41549957120608716,2016-01-31,2016,1,B,2016-01-31,2016-03-16
57,0.06774225389323188,0.4268788956480218,168779415695.0,0.06903399413023412,0.41225657540340527,2016-02-29,2016,2,B,2016-02-29,2016-04-14
57,0.06743339420654765,0.43058755726454023,163877143848.0,0.06949704645358451,0.41500134029462704,2016-03-31,2016,3,B,2016-03-31,2016-05-15
57,0.06748780642213321,0.4329457822000845,163381977502.0,0.06988401854581593,0.4143757896631572,2016-04-30,2016,4,B,2016-04-30,2016-06-14
58,0.06645172607208832,0.42857764864182546,161069054403.0,0.0696559991684156,0.4138422895426626,2016-05-31,2016,5,B,2016-05-31,2016-07-15
58,0.06760277314766738,0.4355668921768494,168504692049.0,0.06993542942640545,0.41726524269610155,2016-06-30,2016,6,B,2016-06-30,2016-08-14
59,0.06994662802464302,0.44974018870613847,170840863922.0,0.07185698951918554,0.43319763108374154,2016-07-31,2016,7,B,2016-07-31,2016-09-14
58,0.06760872062709128,0.43726019065861094,168799116688.0,0.07068936955662848,0.4258911659106371,2016-08-31,2016,8,B,2016-08-31,2016-10-15
58,0.0701896510917165,0.4457188901850738,167453568138.0,0.07253361716883548,0.43372403573189294,2016-09-30,2016,9,B,2016-09-30,2016-11-14
57,0.06873318311286472,0.44032343851534983,163492582888.0,0.07223930804363089,0.43079087626853285,2016-10-31,2016,10,B,2016-10-31,2016-12-15
57,0.07235785848151638,0.4464912812539037,172730825725.0,0.07478359907316552,0.4418337881607635,2016-11-30,2016,11,B,2016-11-30,2017-01-14
57,0.06969942153174405,0.43382611470874355,170879122606.0,0.07392549754448513,0.44227664279561535,2016-12-31,2016,12,B,2016-12-31,2017-02-14
57,0.07072820159576819,0.44095925136064174,172949044606.0,0.07501547621673554,0.45007091298675134,2017-01-31,2017,1,B,2017-01-31,2017-03-17
56,0.07056422993447758,0.43959736909589486,173472480547.0,0.07482228520869709,0.44771623362989454,2017-02-28,2017,2,B,2017-02-28,2017-04-14
