nfp_date_proxy,trading_day,spy_ret_day0_pct,vix_chg_day0_pts,spy_ret_next_day_pct
2025-06-06,2025-06-06,1.027,-1.71,0.09
2025-07-04,2025-07-07,-0.745,1.41,-0.055
2025-08-01,2025-08-01,-1.639,3.66,1.52
2025-09-05,2025-09-05,-0.29,-0.12,0.246
2025-10-03,2025-10-03,-0.001,0.02,0.359
2025-11-07,2025-11-07,0.098,-0.42,1.56
2025-12-05,2025-12-05,0.19,-0.37,-0.3
2026-01-02,2026-01-02,0.183,-0.44,0.666
2026-02-06,2026-02-06,1.918,-1.4,0.482
2026-03-06,2026-03-06,-1.311,5.74,0.876
2026-04-03,2026-04-06,0.473,0.3,0.044
2026-05-01,2026-05-01,0.277,0.1,-0.366
2026-06-05,2026-06-05,-2.581,6.11,0.226
