announce_date,period,guide_updated,guide_midpoint,guide_delta_pct,note,stock
2014-03-14,201312,1,1.3,0.0,FY2014 guide ~$1.3bn (annual report),2303.TW
2014-05-02,201403,0,1.3,0.0,held,2303.TW
2014-07-31,201406,0,1.3,0.0,held,2303.TW
2014-10-31,201409,0,1.3,0.0,held,2303.TW
2015-03-19,201412,1,1.5,15.384615384615381,FY2015 guide ~$1.5bn (annual report),2303.TW
2015-04-30,201503,0,1.5,0.0,held,2303.TW
2015-07-30,201506,1,1.35,-9.999999999999995,FY2015 tightened down (slowdown),2303.TW
2015-10-30,201509,0,1.35,0.0,held,2303.TW
2016-03-18,201512,1,2.8,107.40740740740738,FY2016 guide ~$2.8bn (28nm ramp),2303.TW
2016-04-29,201603,0,2.8,0.0,held,2303.TW
2016-07-29,201606,0,2.8,0.0,held,2303.TW
2016-10-27,201609,0,2.8,0.0,held,2303.TW
2017-02-23,201612,1,2.0,-28.57142857142857,FY2017 guide ~$2.0bn,2303.TW
2017-05-04,201703,0,2.0,0.0,held,2303.TW
2017-07-28,201706,0,2.0,0.0,held,2303.TW
2017-10-27,201709,1,1.5,-25.0,FY2017 trimmed to ~$1.5bn,2303.TW
2018-03-09,201712,1,1.0,-33.333333333333336,FY2018 guide ~$1.0bn (mature-node focus),2303.TW
2018-04-26,201803,0,1.0,0.0,held,2303.TW
2018-07-27,201806,0,1.0,0.0,held,2303.TW
2018-10-24,201809,0,1.0,0.0,held,2303.TW
2019-03-08,201812,1,0.6,-40.0,FY2019 guide ~$0.6bn (asset-lite pivot),2303.TW
2019-04-30,201903,0,0.6,0.0,held,2303.TW
2019-07-24,201906,0,0.6,0.0,held,2303.TW
2019-10-30,201909,0,0.6,0.0,held,2303.TW
2020-02-26,201912,1,1.0,66.66666666666667,FY2020 guide ~$1.0bn,2303.TW
2020-04-27,202003,0,1.0,0.0,held,2303.TW
2020-07-29,202006,0,1.0,0.0,held,2303.TW
2020-10-29,202009,1,1.25,25.0,FY2020 RAISED (capacity tight),2303.TW
2021-02-24,202012,1,1.5,20.0,FY2021 guide ~$1.5bn (structural),2303.TW
2021-04-28,202103,1,1.8,20.000000000000004,FY2021 RAISED (28nm expansion),2303.TW
2021-07-28,202106,1,2.3,27.777777777777764,FY2021 further RAISED,2303.TW
2021-10-27,202109,1,2.8,21.73913043478261,FY2021 RAISED again (P6 Singapore),2303.TW
2022-02-24,202112,1,3.0,7.1428571428571495,FY2022 guide ~$3.0bn sharp raise,2303.TW
2022-04-27,202203,0,3.0,0.0,held,2303.TW
2022-07-27,202206,0,3.0,0.0,held,2303.TW
2022-11-02,202209,1,2.7,-9.999999999999995,FY2022 CUT (demand softening),2303.TW
2023-02-22,202212,1,3.0,11.111111111111104,FY2023 guide ~$3.0bn,2303.TW
2023-04-26,202303,1,2.7,-9.999999999999995,FY2023 trimmed,2303.TW
2023-07-26,202306,0,2.7,0.0,held,2303.TW
2023-10-25,202309,0,2.7,0.0,held,2303.TW
2024-02-27,202312,1,3.3,22.222222222222207,FY2024 guide ~$3.3bn,2303.TW
2024-04-24,202403,0,3.3,0.0,held,2303.TW
2024-07-31,202406,0,3.3,0.0,held,2303.TW
2024-10-30,202409,0,3.3,0.0,held,2303.TW
2025-02-26,202412,1,1.8,-45.454545454545446,FY2025 guide ~$1.8bn (slowdown),2303.TW
2025-04-23,202503,0,1.8,0.0,held,2303.TW
2025-07-30,202506,0,1.8,0.0,held,2303.TW
2025-10-29,202509,1,1.65,-8.333333333333341,FY2025 trimmed,2303.TW
