DATE,VALUE,RELEASE_DATE
1971-01-08,0.513,1971-01-13
1971-01-15,0.575,1971-01-20
1971-01-22,0.656,1971-01-27
1971-01-29,0.745,1971-02-03
1971-02-05,0.835,1971-02-10
1971-02-12,0.913,1971-02-17
1971-02-19,0.972,1971-02-24
1971-02-26,1.009,1971-03-03
1971-03-05,1.026,1971-03-10
1971-03-12,1.031,1971-03-17
1971-03-19,1.035,1971-03-24
1971-03-26,1.056,1971-03-31
1971-04-02,1.109,1971-04-07
1971-04-09,1.205,1971-04-14
1971-04-16,1.347,1971-04-21
1971-04-23,1.521,1971-04-28
1971-04-30,1.706,1971-05-05
1971-05-07,1.87,1971-05-12
1971-05-14,1.978,1971-05-19
1971-05-21,2.002,1971-05-26
1971-05-28,1.928,1971-06-02
1971-06-04,1.758,1971-06-09
1971-06-11,1.501,1971-06-16
1971-06-18,1.195,1971-06-23
1971-06-25,0.883,1971-06-30
1971-07-02,0.613,1971-07-07
1971-07-09,0.441,1971-07-14
1971-07-16,0.409,1971-07-21
1971-07-23,0.54,1971-07-28
1971-07-30,0.83,1971-08-04
1971-08-06,1.243,1971-08-11
1971-08-13,1.718,1971-08-18
1971-08-20,2.185,1971-08-25
1971-08-27,2.571,1971-09-01
1971-09-03,2.83,1971-09-08
1971-09-10,2.934,1971-09-15
1971-09-17,2.888,1971-09-22
1971-09-24,2.712,1971-09-29
1971-10-01,2.445,1971-10-06
1971-10-08,2.133,1971-10-13
1971-10-15,1.824,1971-10-20
1971-10-22,1.562,1971-10-27
1971-10-29,1.378,1971-11-03
1971-11-05,1.289,1971-11-10
1971-11-12,1.292,1971-11-17
1971-11-19,1.372,1971-11-24
1971-11-26,1.501,1971-12-01
1971-12-03,1.646,1971-12-08
1971-12-10,1.777,1971-12-15
1971-12-17,1.865,1971-12-22
1971-12-24,1.89,1971-12-29
1971-12-31,1.849,1972-01-05
1972-01-07,1.733,1972-01-12
1972-01-14,1.568,1972-01-19
1972-01-21,1.37,1972-01-26
1972-01-28,1.165,1972-02-02
1972-02-04,0.975,1972-02-09
1972-02-11,0.815,1972-02-16
1972-02-18,0.691,1972-02-23
1972-02-25,0.605,1972-03-01
1972-03-03,0.554,1972-03-08
1972-03-10,0.532,1972-03-15
1972-03-17,0.532,1972-03-22
1972-03-24,0.54,1972-03-29
1972-03-31,0.543,1972-04-05
1972-04-07,0.528,1972-04-12
1972-04-14,0.489,1972-04-19
1972-04-21,0.419,1972-04-26
1972-04-28,0.329,1972-05-03
1972-05-05,0.227,1972-05-10
1972-05-12,0.13,1972-05-17
1972-05-19,0.055,1972-05-24
1972-05-26,0.017,1972-05-31
1972-06-02,0.023,1972-06-07
1972-06-09,0.077,1972-06-14
1972-06-16,0.173,1972-06-21
1972-06-23,0.299,1972-06-28
1972-06-30,0.436,1972-07-05
1972-07-07,0.564,1972-07-12
1972-07-14,0.663,1972-07-19
1972-07-21,0.717,1972-07-26
1972-07-28,0.714,1972-08-02
1972-08-04,0.65,1972-08-09
1972-08-11,0.531,1972-08-16
1972-08-18,0.368,1972-08-23
1972-08-25,0.182,1972-08-30
1972-09-01,-0.006,1972-09-06
1972-09-08,-0.17,1972-09-13
1972-09-15,-0.295,1972-09-20
1972-09-22,-0.374,1972-09-27
1972-09-29,-0.407,1972-10-04
1972-10-06,-0.405,1972-10-11
1972-10-13,-0.381,1972-10-18
1972-10-20,-0.35,1972-10-25
1972-10-27,-0.322,1972-11-01
1972-11-03,-0.309,1972-11-08
1972-11-10,-0.315,1972-11-15
1972-11-17,-0.346,1972-11-22
1972-11-24,-0.4,1972-11-29
1972-12-01,-0.472,1972-12-06
1972-12-08,-0.55,1972-12-13
1972-12-15,-0.622,1972-12-20
1972-12-22,-0.669,1972-12-27
1972-12-29,-0.674,1973-01-03
1973-01-05,-0.626,1973-01-10
1973-01-12,-0.517,1973-01-17
1973-01-19,-0.346,1973-01-24
1973-01-26,-0.12,1973-01-31
1973-02-02,0.146,1973-02-07
1973-02-09,0.429,1973-02-14
1973-02-16,0.702,1973-02-21
1973-02-23,0.94,1973-02-28
1973-03-02,1.121,1973-03-07
1973-03-09,1.233,1973-03-14
1973-03-16,1.277,1973-03-21
1973-03-23,1.265,1973-03-28
1973-03-30,1.215,1973-04-04
1973-04-06,1.143,1973-04-11
1973-04-13,1.07,1973-04-18
1973-04-20,1.003,1973-04-25
1973-04-27,0.946,1973-05-02
1973-05-04,0.897,1973-05-09
1973-05-11,0.851,1973-05-16
1973-05-18,0.802,1973-05-23
1973-05-25,0.752,1973-05-30
1973-06-01,0.704,1973-06-06
1973-06-08,0.669,1973-06-13
1973-06-15,0.657,1973-06-20
1973-06-22,0.677,1973-06-27
1973-06-29,0.735,1973-07-04
1973-07-06,0.831,1973-07-11
1973-07-13,0.964,1973-07-18
1973-07-20,1.126,1973-07-25
1973-07-27,1.31,1973-08-01
1973-08-03,1.506,1973-08-08
1973-08-10,1.701,1973-08-15
1973-08-17,1.881,1973-08-22
1973-08-24,2.035,1973-08-29
1973-08-31,2.15,1973-09-05
1973-09-07,2.217,1973-09-12
1973-09-14,2.235,1973-09-19
1973-09-21,2.204,1973-09-26
1973-09-28,2.125,1973-10-03
1973-10-05,1.997,1973-10-10
1973-10-12,1.835,1973-10-17
1973-10-19,1.651,1973-10-24
1973-10-26,1.479,1973-10-31
1973-11-02,1.348,1973-11-07
1973-11-09,1.291,1973-11-14
1973-11-16,1.322,1973-11-21
1973-11-23,1.425,1973-11-28
1973-11-30,1.565,1973-12-05
1973-12-07,1.689,1973-12-12
1973-12-14,1.752,1973-12-19
1973-12-21,1.724,1973-12-26
1973-12-28,1.599,1974-01-02
1974-01-04,1.391,1974-01-09
1974-01-11,1.131,1974-01-16
1974-01-18,0.844,1974-01-23
1974-01-25,0.554,1974-01-30
1974-02-01,0.278,1974-02-06
1974-02-08,0.033,1974-02-13
1974-02-15,-0.165,1974-02-20
1974-02-22,-0.298,1974-02-27
1974-03-01,-0.355,1974-03-06
1974-03-08,-0.334,1974-03-13
1974-03-15,-0.241,1974-03-20
1974-03-22,-0.093,1974-03-27
1974-03-29,0.094,1974-04-03
1974-04-05,0.312,1974-04-10
1974-04-12,0.561,1974-04-17
1974-04-19,0.843,1974-04-24
1974-04-26,1.161,1974-05-01
1974-05-03,1.511,1974-05-08
1974-05-10,1.889,1974-05-15
1974-05-17,2.29,1974-05-22
1974-05-24,2.707,1974-05-29
1974-05-31,3.142,1974-06-05
1974-06-07,3.592,1974-06-12
1974-06-14,4.041,1974-06-19
1974-06-21,4.463,1974-06-26
1974-06-28,4.819,1974-07-03
1974-07-05,5.072,1974-07-10
1974-07-12,5.198,1974-07-17
1974-07-19,5.196,1974-07-24
1974-07-26,5.087,1974-07-31
1974-08-02,4.907,1974-08-07
1974-08-09,4.692,1974-08-14
1974-08-16,4.484,1974-08-21
1974-08-23,4.307,1974-08-28
1974-08-30,4.178,1974-09-04
1974-09-06,4.091,1974-09-11
1974-09-13,4.031,1974-09-18
1974-09-20,3.969,1974-09-25
1974-09-27,3.865,1974-10-02
1974-10-04,3.696,1974-10-09
1974-10-11,3.452,1974-10-16
1974-10-18,3.157,1974-10-23
1974-10-25,2.85,1974-10-30
1974-11-01,2.575,1974-11-06
1974-11-08,2.371,1974-11-13
1974-11-15,2.254,1974-11-20
1974-11-22,2.218,1974-11-27
1974-11-29,2.241,1974-12-04
1974-12-06,2.294,1974-12-11
1974-12-13,2.344,1974-12-18
1974-12-20,2.366,1974-12-25
1974-12-27,2.336,1975-01-01
1975-01-03,2.241,1975-01-08
1975-01-10,2.079,1975-01-15
1975-01-17,1.86,1975-01-22
1975-01-24,1.605,1975-01-29
1975-01-31,1.342,1975-02-05
1975-02-07,1.095,1975-02-12
1975-02-14,0.885,1975-02-19
1975-02-21,0.714,1975-02-26
1975-02-28,0.58,1975-03-05
1975-03-07,0.475,1975-03-12
1975-03-14,0.391,1975-03-19
1975-03-21,0.322,1975-03-26
1975-03-28,0.26,1975-04-02
1975-04-04,0.202,1975-04-09
1975-04-11,0.14,1975-04-16
1975-04-18,0.068,1975-04-23
1975-04-25,-0.021,1975-04-30
1975-05-02,-0.121,1975-05-07
1975-05-09,-0.227,1975-05-14
1975-05-16,-0.328,1975-05-21
1975-05-23,-0.414,1975-05-28
1975-05-30,-0.475,1975-06-04
