week_end,obs_date,release_date,value
1985-01-04,1985-01-03,1985-01-04,56.06
1985-01-11,1985-01-10,1985-01-11,201.74
1985-01-18,1985-01-17,1985-01-18,190.6
1985-01-25,1985-01-24,1985-01-25,47.3
1985-02-01,1985-01-31,1985-02-01,143.48
1985-02-08,1985-02-07,1985-02-08,265.1
1985-02-15,1985-02-14,1985-02-15,46.4
1985-02-22,1985-02-21,1985-02-22,45.04
1985-03-01,1985-02-28,1985-03-01,180.07
1985-03-08,1985-03-07,1985-03-08,40.62
1985-03-15,1985-03-14,1985-03-15,83.11
1985-03-22,1985-03-21,1985-03-22,41.24
1985-03-29,1985-03-28,1985-03-29,42.82
1985-04-05,1985-04-04,1985-04-05,179.75
1985-04-12,1985-04-11,1985-04-12,36.5
1985-04-19,1985-04-18,1985-04-19,36.75
1985-04-26,1985-04-25,1985-04-26,74.81
1985-05-03,1985-05-02,1985-05-03,109.93
1985-05-10,1985-05-09,1985-05-10,183.54
1985-05-17,1985-05-16,1985-05-17,178.38
1985-05-24,1985-05-23,1985-05-24,69.26
1985-05-31,1985-05-30,1985-05-31,184.33
1985-06-07,1985-06-06,1985-06-07,34.8
1985-06-14,1985-06-13,1985-06-14,137.72
1985-06-21,1985-06-20,1985-06-21,105.41
1985-06-28,1985-06-27,1985-06-28,141.81
1985-07-05,1985-07-04,1985-07-05,153.57
1985-07-12,1985-07-11,1985-07-12,172.97
1985-07-19,1985-07-18,1985-07-19,68.45
1985-07-26,1985-07-25,1985-07-26,32.9
1985-08-02,1985-08-01,1985-08-02,237.67
1985-08-09,1985-08-08,1985-08-09,63.89
1985-08-16,1985-08-15,1985-08-16,33.49
1985-08-23,1985-08-22,1985-08-23,31.75
1985-08-30,1985-08-29,1985-08-30,186.67
1985-09-06,1985-09-05,1985-09-06,31.45
1985-09-13,1985-09-12,1985-09-13,32.79
1985-09-20,1985-09-19,1985-09-20,65.81
1985-09-27,1985-09-26,1985-09-27,226.79
1985-10-04,1985-10-03,1985-10-04,62.99
1985-10-11,1985-10-10,1985-10-11,59.85
1985-10-18,1985-10-17,1985-10-18,123.29
1985-10-25,1985-10-24,1985-10-25,55.92
1985-11-01,1985-10-31,1985-11-01,107.03
1985-11-08,1985-11-07,1985-11-08,26.19
1985-11-15,1985-11-14,1985-11-15,187.98
1985-11-22,1985-11-21,1985-11-22,26.69
1985-11-29,1985-11-28,1985-11-29,30.64
1985-12-06,1985-12-05,1985-12-06,80.86
1985-12-13,1985-12-12,1985-12-13,128.2
1985-12-20,1985-12-19,1985-12-20,163.05
1985-12-27,1985-12-26,1985-12-27,81.07
1986-01-03,1986-01-02,1986-01-03,161.63
1986-01-10,1986-01-09,1986-01-10,97.54
1986-01-17,1986-01-16,1986-01-17,164.48
1986-01-24,1986-01-23,1986-01-24,90.63
1986-01-31,1986-01-30,1986-01-31,185.02
1986-02-07,1986-02-06,1986-02-07,234.07
1986-02-14,1986-02-13,1986-02-14,112.84
1986-02-21,1986-02-20,1986-02-21,70.28
1986-02-28,1986-02-27,1986-02-28,98.17
1986-03-07,1986-03-06,1986-03-07,22.38
1986-03-14,1986-03-13,1986-03-14,21.64
1986-03-21,1986-03-20,1986-03-21,64.86
1986-03-28,1986-03-27,1986-03-28,67.94
1986-04-04,1986-04-03,1986-04-04,93.12
1986-04-11,1986-04-10,1986-04-11,108.5
1986-04-18,1986-04-17,1986-04-18,109.63
1986-04-25,1986-04-24,1986-04-25,22.01
1986-05-02,1986-05-01,1986-05-02,44.76
1986-05-09,1986-05-08,1986-05-09,66.66
1986-05-16,1986-05-15,1986-05-16,87.52
1986-05-23,1986-05-22,1986-05-23,167.4
1986-05-30,1986-05-29,1986-05-30,21.79
1986-06-06,1986-06-05,1986-06-06,42.98
1986-06-13,1986-06-12,1986-06-13,173.34
1986-06-20,1986-06-19,1986-06-20,249.67
1986-06-27,1986-06-26,1986-06-27,217.36
1986-07-04,1986-07-03,1986-07-04,44.14
1986-07-11,1986-07-10,1986-07-11,45.44
1986-07-18,1986-07-17,1986-07-18,46.18
1986-07-25,1986-07-24,1986-07-25,69.21
1986-08-01,1986-07-31,1986-08-01,185.22
1986-08-08,1986-08-07,1986-08-08,202.71
1986-08-15,1986-08-14,1986-08-15,66.05
1986-08-22,1986-08-21,1986-08-22,111.3
1986-08-29,1986-08-28,1986-08-29,42.58
1986-09-05,1986-09-04,1986-09-05,130.03
1986-09-12,1986-09-11,1986-09-12,85.94
1986-09-19,1986-09-18,1986-09-19,43.62
1986-09-26,1986-09-25,1986-09-26,84.75
1986-10-03,1986-10-02,1986-10-03,86.45
1986-10-10,1986-10-09,1986-10-10,103.7
1986-10-17,1986-10-16,1986-10-17,42.11
1986-10-24,1986-10-23,1986-10-24,468.47
1986-10-31,1986-10-30,1986-10-31,83.96
1986-11-07,1986-11-06,1986-11-07,136.82
1986-11-14,1986-11-13,1986-11-14,20.5
1986-11-21,1986-11-20,1986-11-21,61.15
1986-11-28,1986-11-27,1986-11-28,47.79
1986-12-05,1986-12-04,1986-12-05,142.13
1986-12-12,1986-12-11,1986-12-12,78.76
1986-12-19,1986-12-18,1986-12-19,38.76
1986-12-26,1986-12-25,1986-12-26,32.66
1987-01-02,1987-01-01,1987-01-02,112.33
1987-01-09,1987-01-08,1987-01-09,77.73
1987-01-16,1987-01-15,1987-01-16,37.93
1987-01-23,1987-01-22,1987-01-23,93.43
1987-01-30,1987-01-29,1987-01-30,92.47
1987-02-06,1987-02-05,1987-02-06,92.08
1987-02-13,1987-02-12,1987-02-13,35.12
1987-02-20,1987-02-19,1987-02-20,18.26
1987-02-27,1987-02-26,1987-02-27,107.76
1987-03-06,1987-03-05,1987-03-06,35.82
1987-03-13,1987-03-12,1987-03-13,124.41
1987-03-20,1987-03-19,1987-03-20,55.22
1987-03-27,1987-03-26,1987-03-27,36.82
1987-04-03,1987-04-02,1987-04-03,71.81
1987-04-10,1987-04-09,1987-04-10,89.88
1987-04-17,1987-04-16,1987-04-17,72.78
1987-04-24,1987-04-23,1987-04-24,70.22
1987-05-01,1987-04-30,1987-05-01,109.07
