DATE,VALUE,RELEASE_DATE,SOURCE_SERIES
2017-12-01,81.16,2017-12-01,WLEMUINDXD
2017-12-02,12.58,2017-12-04,WLEMUINDXD
2017-12-03,13.64,2017-12-04,WLEMUINDXD
2017-12-04,79.2,2017-12-04,WLEMUINDXD
2017-12-05,556.21,2017-12-05,WLEMUINDXD
2017-12-06,38.55,2017-12-06,WLEMUINDXD
2017-12-07,34.77,2017-12-07,WLEMUINDXD
2017-12-08,40.07,2017-12-08,WLEMUINDXD
2017-12-09,13.69,2017-12-11,WLEMUINDXD
2017-12-10,15.14,2017-12-11,WLEMUINDXD
2017-12-11,99.47,2017-12-11,WLEMUINDXD
2017-12-12,62.72,2017-12-12,WLEMUINDXD
2017-12-13,42.15,2017-12-13,WLEMUINDXD
2017-12-14,36.13,2017-12-14,WLEMUINDXD
2017-12-15,42.24,2017-12-15,WLEMUINDXD
2017-12-16,79.38,2017-12-18,WLEMUINDXD
2017-12-17,73.65,2017-12-18,WLEMUINDXD
2017-12-18,170.97,2017-12-18,WLEMUINDXD
2017-12-19,62.07,2017-12-19,WLEMUINDXD
2017-12-20,44.71,2017-12-20,WLEMUINDXD
2017-12-21,167.68,2017-12-21,WLEMUINDXD
2017-12-22,41.08,2017-12-22,WLEMUINDXD
2017-12-23,17.84,2017-12-25,WLEMUINDXD
2017-12-24,82.0,2017-12-25,WLEMUINDXD
2017-12-25,107.31,2017-12-25,WLEMUINDXD
2017-12-26,154.46,2017-12-26,WLEMUINDXD
2017-12-27,51.49,2017-12-27,WLEMUINDXD
2017-12-28,42.23,2017-12-28,WLEMUINDXD
2017-12-29,49.79,2017-12-29,WLEMUINDXD
2017-12-30,53.26,2018-01-03,WLEMUINDXD
2017-12-31,66.05,2018-01-03,WLEMUINDXD
2018-01-01,24.69,2018-01-03,WLEMUINDXD
2018-01-02,17.18,2018-01-03,WLEMUINDXD
2018-01-03,47.02,2018-01-03,WLEMUINDXD
2018-01-04,386.59,2018-01-04,WLEMUINDXD
2018-01-05,133.42,2018-01-05,WLEMUINDXD
2018-01-06,16.06,2018-01-08,WLEMUINDXD
2018-01-07,59.27,2018-01-08,WLEMUINDXD
2018-01-08,80.05,2018-01-08,WLEMUINDXD
2018-01-09,71.45,2018-01-09,WLEMUINDXD
2018-01-10,44.22,2018-01-10,WLEMUINDXD
2018-01-11,34.17,2018-01-11,WLEMUINDXD
2018-01-12,39.49,2018-01-12,WLEMUINDXD
2018-01-13,15.55,2018-01-15,WLEMUINDXD
2018-01-14,198.87,2018-01-15,WLEMUINDXD
2018-01-15,79.2,2018-01-15,WLEMUINDXD
2018-01-16,64.39,2018-01-16,WLEMUINDXD
2018-01-17,261.73,2018-01-17,WLEMUINDXD
2018-01-18,36.97,2018-01-18,WLEMUINDXD
2018-01-19,45.57,2018-01-19,WLEMUINDXD
2018-01-20,62.05,2018-01-22,WLEMUINDXD
2018-01-21,14.73,2018-01-22,WLEMUINDXD
2018-01-22,81.85,2018-01-22,WLEMUINDXD
2018-01-23,136.09,2018-01-23,WLEMUINDXD
2018-01-24,41.28,2018-01-24,WLEMUINDXD
2018-01-25,98.67,2018-01-25,WLEMUINDXD
2018-01-26,42.27,2018-01-26,WLEMUINDXD
2018-01-27,35.1,2018-01-29,WLEMUINDXD
2018-01-28,88.65,2018-01-29,WLEMUINDXD
2018-01-29,77.34,2018-01-29,WLEMUINDXD
2018-01-30,65.21,2018-01-30,WLEMUINDXD
2018-01-31,49.22,2018-01-31,WLEMUINDXD
2018-02-01,41.21,2018-02-01,WLEMUINDXD
2018-02-02,42.41,2018-02-02,WLEMUINDXD
2018-02-03,16.84,2018-02-05,WLEMUINDXD
2018-02-04,14.19,2018-02-05,WLEMUINDXD
2018-02-05,157.81,2018-02-05,WLEMUINDXD
2018-02-06,549.78,2018-02-06,WLEMUINDXD
2018-02-07,76.75,2018-02-07,WLEMUINDXD
2018-02-08,107.5,2018-02-08,WLEMUINDXD
2018-02-09,80.52,2018-02-09,WLEMUINDXD
2018-02-10,174.65,2018-02-12,WLEMUINDXD
2018-02-11,203.63,2018-02-12,WLEMUINDXD
2018-02-12,73.06,2018-02-12,WLEMUINDXD
2018-02-13,60.48,2018-02-13,WLEMUINDXD
2018-02-14,40.91,2018-02-14,WLEMUINDXD
2018-02-15,34.77,2018-02-15,WLEMUINDXD
2018-02-16,40.18,2018-02-16,WLEMUINDXD
2018-02-17,16.74,2018-02-19,WLEMUINDXD
2018-02-18,41.63,2018-02-19,WLEMUINDXD
2018-02-19,84.36,2018-02-19,WLEMUINDXD
2018-02-20,129.39,2018-02-20,WLEMUINDXD
2018-02-21,40.3,2018-02-21,WLEMUINDXD
2018-02-22,35.59,2018-02-22,WLEMUINDXD
2018-02-23,41.59,2018-02-23,WLEMUINDXD
2018-02-24,15.18,2018-02-26,WLEMUINDXD
2018-02-25,13.53,2018-02-26,WLEMUINDXD
