DATE,VALUE,RELEASE_DATE
2000-01-01,4.620955049951481,2000-02-29
2000-02-01,4.313335681097841,2000-03-31
2000-03-01,4.447293166354416,2000-04-30
2000-04-01,4.828026846244748,2000-05-31
2000-05-01,4.451469064576807,2000-06-30
2000-06-01,4.574285752844154,2000-07-31
2000-07-01,3.7698485910728996,2000-08-31
2000-08-01,3.0734226950164922,2000-09-30
2000-09-01,3.968806853188922,2000-10-31
2000-10-01,2.3142184859096693,2000-11-30
2000-11-01,1.8491278756576968,2000-12-31
2000-12-01,0.7397718173229428,2001-01-31
2001-01-01,0.3976490637767949,2001-02-28
2001-02-01,-0.5668458865284554,2001-03-31
2001-03-01,-1.122295725249156,2001-04-30
2001-04-01,-2.0602186217959284,2001-05-31
2001-05-01,-2.791181055600911,2001-06-30
2001-06-01,-3.3422163718917375,2001-07-31
2001-07-01,-3.773511714911293,2001-08-31
2001-08-01,-3.6215277665228585,2001-09-30
2001-09-01,-4.55015745457048,2001-10-31
2001-10-01,-4.440502321905382,2001-11-30
2001-11-01,-5.044913960783126,2001-12-31
2001-12-01,-4.774776238202749,2002-01-31
2002-01-01,-3.682618441383212,2002-02-28
2002-02-01,-3.0399744149724905,2002-03-31
2002-03-01,-2.1374903694403535,2002-04-30
2002-04-01,-1.3053329089064758,2002-05-31
2002-05-01,-0.43328851038398897,2002-06-30
2002-06-01,0.920910919642548,2002-07-31
2002-07-01,1.5386975548359105,2002-08-31
2002-08-01,1.5424836015125454,2002-09-30
2002-09-01,2.146064440525741,2002-10-31
2002-10-01,2.2135422551443185,2002-11-30
2002-11-01,3.4115039217915255,2002-12-31
2002-12-01,2.880394484854265,2003-01-31
2003-01-01,3.071140654513904,2003-02-28
2003-02-01,3.1817124112425654,2003-03-31
2003-03-01,2.1709435832793167,2003-04-30
2003-04-01,1.0688138922369639,2003-05-31
2003-05-01,0.636921435240767,2003-06-30
2003-06-01,-0.05887145406980876,2003-07-31
2003-07-01,0.48700385655000566,2003-08-31
2003-08-01,0.37923869625795525,2003-09-30
2003-09-01,0.9407289987876988,2003-10-31
2003-10-01,1.2759729528664998,2003-11-30
2003-11-01,1.387033904173962,2003-12-31
2003-12-01,1.9841883950955763,2004-01-31
2004-01-01,1.2763588097255418,2004-02-29
2004-02-01,1.7663898756903773,2004-03-31
2004-03-01,1.626375894029275,2004-04-30
2004-04-01,2.615123170170186,2004-05-31
2004-05-01,3.38458309862264,2004-06-30
2004-06-01,2.447031362551799,2004-07-31
2004-07-01,2.6848554355043186,2004-08-31
2004-08-01,2.9784524146032165,2004-09-30
2004-09-01,2.448803847620762,2004-10-31
2004-10-01,3.1957484615569243,2004-11-30
2004-11-01,2.763005391785356,2004-12-31
2004-12-01,3.551152067738861,2005-01-31
2005-01-01,3.7656681883018184,2005-02-28
2005-02-01,3.8921878697906642,2005-03-31
2005-03-01,4.168552298887196,2005-04-30
2005-04-01,4.006456472613795,2005-05-31
2005-05-01,3.3534790649275337,2005-06-30
2005-06-01,4.6347083589064475,2005-07-31
2005-07-01,3.5298493345260917,2005-08-31
2005-08-01,3.797594088074363,2005-09-30
2005-09-01,1.6574450087309733,2005-10-31
2005-10-01,2.0209103457029087,2005-11-30
2005-11-01,2.9120723180627417,2005-12-31
2005-12-01,2.6259073757150198,2006-01-31
2006-01-01,2.4194801632455576,2006-02-28
2006-02-01,1.7242361205308532,2006-03-31
2006-03-01,2.091541760329152,2006-04-30
2006-04-01,2.1816142662632876,2006-05-31
2006-05-01,2.1156664964513183,2006-06-30
2006-06-01,1.9803386251444621,2006-07-31
2006-07-01,2.251836527383766,2006-08-31
2006-08-01,2.3669704568583194,2006-09-30
2006-09-01,4.2159275134967755,2006-10-31
2006-10-01,2.8481025781383007,2006-11-30
2006-11-01,1.6621660136106442,2006-12-31
2006-12-01,2.1707334984272686,2007-01-31
2007-01-01,1.6646656462990128,2007-02-28
2007-02-01,2.5793632616832207,2007-03-31
2007-03-01,2.5308035115800154,2007-04-30
2007-04-01,2.9076019270608766,2007-05-31
2007-05-01,2.9798485426711263,2007-06-30
2007-06-01,2.7140344521729087,2007-07-31
2007-07-01,2.6434417747193573,2007-08-31
2007-08-01,2.3917510021752353,2007-09-30
2007-09-01,2.7901202497425004,2007-10-31
2007-10-01,2.6179282370540014,2007-11-30
2007-11-01,3.2087670061424323,2007-12-31
2007-12-01,2.2029778334589523,2008-01-31
2008-01-01,2.4141930753466267,2008-02-29
