date,open,high,low,close
2021-03-24,84.8,95.94,80.52,95.04
2021-03-25,95.03,97.43,87.25,89.74
2021-03-26,89.74,89.74,80.22,84.52
2021-03-27,84.52,84.6,77.81,79.69
2021-03-28,79.69,81.28,78.2,79.07
2021-03-29,79.07,83.74,78.88,83.71
2021-03-30,83.71,86.36,82.0,85.08
2021-03-31,85.08,86.82,83.74,86.45
2021-04-01,86.45,86.63,81.2,82.38
2021-04-02,82.38,83.77,78.59,81.28
2021-04-03,81.28,82.23,80.55,81.29
2021-04-04,81.28,82.42,79.7,82.42
2021-04-05,82.42,82.6,78.73,80.22
2021-04-06,80.22,81.3,79.67,81.01
2021-04-07,81.01,81.14,78.36,78.78
2021-04-08,78.78,79.0,72.79,74.31
2021-04-09,74.32,77.54,72.19,77.07
2021-04-10,77.07,83.3,76.93,81.54
2021-04-11,81.54,83.08,79.38,82.61
2021-04-12,82.61,84.81,78.98,84.5
2021-04-13,84.5,89.14,84.46,88.64
2021-04-14,88.64,88.67,83.41,83.85
2021-04-15,83.85,84.25,76.12,77.08
2021-04-16,77.08,79.26,74.98,77.67
2021-04-17,77.67,77.67,72.89,74.43
2021-04-18,74.43,92.45,74.27,88.4
2021-04-19,88.4,89.25,82.29,83.2
2021-04-20,83.2,84.97,80.79,82.96
2021-04-21,82.96,83.55,80.11,83.0
2021-04-22,83.0,95.93,76.69,87.39
2021-04-23,87.39,96.28,87.39,89.31
2021-04-24,89.31,94.28,85.95,94.08
2021-04-25,94.08,95.78,91.15,93.46
2021-04-26,93.46,93.57,80.3,82.66
2021-04-27,82.66,82.66,74.21,77.53
2021-04-28,77.53,79.2,75.52,76.96
2021-04-29,76.96,80.62,75.8,80.2
2021-04-30,80.2,80.65,73.95,75.09
2021-05-01,75.09,76.32,73.64,76.15
2021-05-02,76.15,80.63,74.93,79.09
2021-05-03,79.09,82.3,75.18,81.79
2021-05-04,81.79,88.18,81.79,87.96
2021-05-05,87.96,88.2,83.51,84.39
2021-05-06,84.39,85.36,80.31,82.14
2021-05-07,82.14,83.05,78.3,80.56
2021-05-08,80.56,86.04,79.23,83.57
2021-05-09,83.57,86.08,83.57,86.05
2021-05-10,86.05,91.57,85.67,90.26
2021-05-11,90.26,90.54,84.91,86.27
2021-05-12,86.27,94.13,82.91,93.86
2021-05-13,93.87,103.81,89.19,92.9
2021-05-14,90.72,101.15,90.37,98.46
2021-05-15,98.46,103.82,97.57,102.85
2021-05-16,102.85,112.08,97.97,105.28
2021-05-17,105.28,158.72,104.94,123.02
2021-05-18,123.01,123.01,112.83,117.01
2021-05-19,117.01,144.63,115.28,124.83
