[K1167-fetch] tickers n=110
  [001/110] 2330.TW (TW): instPctHeld=0.41823003
  [002/110] 2303.TW (TW): instPctHeld=0.37787998
  [003/110] 6239.TW (TW): instPctHeld=0.39099997
  [004/110] 2454.TW (TW): instPctHeld=0.43749002
  [005/110] 2379.TW (TW): instPctHeld=0.49078998
  [006/110] 3034.TW (TW): instPctHeld=0.46422002
  [007/110] 3035.TW (TW): instPctHeld=0.14632
  [008/110] 3443.TW (TW): instPctHeld=0.31055
  [009/110] 2388.TW (TW): instPctHeld=0.03259
  [010/110] 2881.TW (TW): instPctHeld=0.22516
  [011/110] 2882.TW (TW): instPctHeld=0.31827998
  [012/110] 2883.TW (TW): instPctHeld=0.23103
  [013/110] 2886.TW (TW): instPctHeld=0.33956
  [014/110] 2887.TW (TW): instPctHeld=0.20579
  [015/110] 2603.TW (TW): instPctHeld=0.24931
  [016/110] 2615.TW (TW): instPctHeld=0.09956
  [017/110] 2609.TW (TW): instPctHeld=0.33035
  [018/110] 1301.TW (TW): instPctHeld=0.10755
  [019/110] 1303.TW (TW): instPctHeld=0.12695
  [020/110] 1326.TW (TW): instPctHeld=0.07983
  [021/110] 2002.TW (TW): instPctHeld=0.13748999
  [022/110] 2027.TW (TW): instPctHeld=0.09222
  [023/110] 2317.TW (TW): instPctHeld=0.27219
  [024/110] 3045.TW (TW): instPctHeld=0.27891
  [025/110] 2382.TW (TW): instPctHeld=0.2565
  [026/110] 2912.TW (TW): instPctHeld=0.26983
  [027/110] 2637.TW (TW): instPctHeld=0.14979
  [028/110] 1215.TW (TW): instPctHeld=0.17622
  [029/110] 2347.TW (TW): instPctHeld=0.21728
  [030/110] 1210.TW (TW): instPctHeld=0.14001
  [031/110] 2892.TW (TW): instPctHeld=0.2831
  [032/110] AAPL (US): instPctHeld=0.65293
  [033/110] MSFT (US): instPctHeld=0.75967
  [034/110] NVDA (US): instPctHeld=0.69736
  [035/110] GOOGL (US): instPctHeld=0.80774003
  [036/110] AMZN (US): instPctHeld=0.67116
  [037/110] META (US): instPctHeld=0.78695
  [038/110] TSLA (US): instPctHeld=0.44672
  [039/110] BRK-B (US): instPctHeld=0.66120005
  [040/110] UNH (US): instPctHeld=0.84252
  [041/110] V (US): instPctHeld=0.90654
  [042/110] JPM (US): instPctHeld=0.75359
  [043/110] WMT (US): instPctHeld=0.38740003
  [044/110] MA (US): instPctHeld=0.91049004
  [045/110] JNJ (US): instPctHeld=0.75685996
  [046/110] XOM (US): instPctHeld=0.67573
  [047/110] PG (US): instPctHeld=0.70386004
  [048/110] HD (US): instPctHeld=0.74435997
  [049/110] CVX (US): instPctHeld=0.67990994
  [050/110] ABBV (US): instPctHeld=0.76412004
  [051/110] AVGO (US): instPctHeld=0.79488
  [052/110] COST (US): instPctHeld=0.72523004
  [053/110] PEP (US): instPctHeld=0.79783
  [054/110] KO (US): instPctHeld=0.66629
  [055/110] MRK (US): instPctHeld=0.81394994
  [056/110] ADBE (US): instPctHeld=0.88281
  [057/110] CSCO (US): instPctHeld=0.82066
  [058/110] TMO (US): instPctHeld=0.95455
  [059/110] CRM (US): instPctHeld=0.84975
  [060/110] MCD (US): instPctHeld=0.75496
  [061/110] ABT (US): instPctHeld=0.81991
  [062/110] 7203.T (JP): instPctHeld=0.25719
  [063/110] 6758.T (JP): instPctHeld=0.47841
  [064/110] 9984.T (JP): instPctHeld=0.34604
  [065/110] 8306.T (JP): instPctHeld=0.38498002
  [066/110] 6861.T (JP): instPctHeld=0.36143002
  [067/110] 9432.T (JP): instPctHeld=0.14161
  [068/110] 6098.T (JP): instPctHeld=0.52511
  [069/110] 7974.T (JP): instPctHeld=0.51199
  [070/110] 6594.T (JP): instPctHeld=0.44194
  [071/110] 8035.T (JP): instPctHeld=0.57637
  [072/110] 4063.T (JP): instPctHeld=0.54113996
  [073/110] 6501.T (JP): instPctHeld=0.48965
  [074/110] 9433.T (JP): instPctHeld=0.37305
  [075/110] 8316.T (JP): instPctHeld=0.40655
  [076/110] 8411.T (JP): instPctHeld=0.36903998
  [077/110] 6902.T (JP): instPctHeld=0.26541
  [078/110] 6367.T (JP): instPctHeld=0.55483
  [079/110] 8001.T (JP): instPctHeld=0.3948
  [080/110] 8058.T (JP): instPctHeld=0.30967
  [081/110] 4502.T (JP): instPctHeld=0.48728
  [082/110] 6273.T (JP): instPctHeld=0.52162
  [083/110] 7741.T (JP): instPctHeld=0.53069997
  [084/110] 6981.T (JP): instPctHeld=0.52099
  [085/110] 8801.T (JP): instPctHeld=0.4743
  [086/110] 6178.T (JP): instPctHeld=0.19701
  [087/110] 7267.T (JP): instPctHeld=0.42605
  [088/110] 8031.T (JP): instPctHeld=0.34576
  [089/110] 4503.T (JP): instPctHeld=0.5787
  [090/110] 8002.T (JP): instPctHeld=0.40405998
  [091/110] 6701.T (JP): instPctHeld=0.53682
  [092/110] SAP.DE (EU): instPctHeld=0.39055002
  [093/110] SIE.DE (EU): instPctHeld=0.43032002
  [094/110] ALV.DE (EU): instPctHeld=0.4077
  [095/110] MRK.DE (EU): instPctHeld=0.55451
  [096/110] BMW.DE (EU): instPctHeld=0.2384
  [097/110] BAS.DE (EU): instPctHeld=0.32076
  [098/110] MBG.DE (EU): instPctHeld=0.37265998
  [099/110] DTE.DE (EU): instPctHeld=0.31672
  [100/110] ADS.DE (EU): instPctHeld=0.5175
  [101/110] VOW3.DE (EU): instPctHeld=0.28405002
  [102/110] TTE.PA (EU): instPctHeld=0.57407004
  [103/110] AIR.PA (EU): instPctHeld=0.37576
  [104/110] SAN.PA (EU): instPctHeld=0.42721
  [105/110] BNP.PA (EU): instPctHeld=0.41202998
  [106/110] SHEL.L (EU): instPctHeld=0.35216
  [107/110] AZN.L (EU): instPctHeld=0.57147
  [108/110] HSBA.L (EU): instPctHeld=0.50997
  [109/110] BP.L (EU): instPctHeld=0.37825
  [110/110] GSK.L (EU): instPctHeld=0.4665
[K1167-fetch] wrote /Users/yhlai0911/Desktop/volpred-research/.claude/worktrees/agent-a58989aa/experiments/k1167/data/institutional_ownership.json
