ticker,market,release_date,report_type,source
BHP.AX,AU,2015-02-24,H1,HAND_CODED_COMPANY_IR
BHP.AX,AU,2015-08-25,FY,HAND_CODED_COMPANY_IR
BHP.AX,AU,2016-02-23,H1,HAND_CODED_COMPANY_IR
BHP.AX,AU,2016-08-16,FY,HAND_CODED_COMPANY_IR
BHP.AX,AU,2017-02-21,H1,HAND_CODED_COMPANY_IR
BHP.AX,AU,2017-08-22,FY,HAND_CODED_COMPANY_IR
BHP.AX,AU,2018-02-20,H1,HAND_CODED_COMPANY_IR
BHP.AX,AU,2018-08-21,FY,HAND_CODED_COMPANY_IR
BHP.AX,AU,2019-02-19,H1,HAND_CODED_COMPANY_IR
BHP.AX,AU,2019-08-20,FY,HAND_CODED_COMPANY_IR
BHP.AX,AU,2020-02-18,H1,HAND_CODED_COMPANY_IR
BHP.AX,AU,2020-08-18,FY,HAND_CODED_COMPANY_IR
BHP.AX,AU,2021-02-16,H1,HAND_CODED_COMPANY_IR
BHP.AX,AU,2021-08-17,FY,HAND_CODED_COMPANY_IR
BHP.AX,AU,2022-02-15,H1,HAND_CODED_COMPANY_IR
BHP.AX,AU,2022-08-16,FY,HAND_CODED_COMPANY_IR
BHP.AX,AU,2023-02-21,H1,HAND_CODED_COMPANY_IR
BHP.AX,AU,2023-08-22,FY,HAND_CODED_COMPANY_IR
BHP.AX,AU,2024-02-20,H1,HAND_CODED_COMPANY_IR
BHP.AX,AU,2024-08-27,FY,HAND_CODED_COMPANY_IR
BHP.AX,AU,2025-02-18,H1,HAND_CODED_COMPANY_IR
BHP.AX,AU,2025-08-19,FY,HAND_CODED_COMPANY_IR
CBA.AX,AU,2015-02-11,H1,HAND_CODED_COMPANY_IR
CBA.AX,AU,2015-08-12,FY,HAND_CODED_COMPANY_IR
CBA.AX,AU,2016-02-10,H1,HAND_CODED_COMPANY_IR
CBA.AX,AU,2016-08-10,FY,HAND_CODED_COMPANY_IR
CBA.AX,AU,2017-02-15,H1,HAND_CODED_COMPANY_IR
CBA.AX,AU,2017-08-09,FY,HAND_CODED_COMPANY_IR
CBA.AX,AU,2018-02-07,H1,HAND_CODED_COMPANY_IR
CBA.AX,AU,2018-08-08,FY,HAND_CODED_COMPANY_IR
CBA.AX,AU,2019-02-06,H1,HAND_CODED_COMPANY_IR
CBA.AX,AU,2019-08-07,FY,HAND_CODED_COMPANY_IR
CBA.AX,AU,2020-02-12,H1,HAND_CODED_COMPANY_IR
CBA.AX,AU,2020-08-12,FY,HAND_CODED_COMPANY_IR
CBA.AX,AU,2021-02-10,H1,HAND_CODED_COMPANY_IR
CBA.AX,AU,2021-08-11,FY,HAND_CODED_COMPANY_IR
CBA.AX,AU,2022-02-09,H1,HAND_CODED_COMPANY_IR
CBA.AX,AU,2022-08-10,FY,HAND_CODED_COMPANY_IR
CBA.AX,AU,2023-02-15,H1,HAND_CODED_COMPANY_IR
CBA.AX,AU,2023-08-09,FY,HAND_CODED_COMPANY_IR
CBA.AX,AU,2024-02-14,H1,HAND_CODED_COMPANY_IR
CBA.AX,AU,2024-08-14,FY,HAND_CODED_COMPANY_IR
CBA.AX,AU,2025-02-12,H1,HAND_CODED_COMPANY_IR
CBA.AX,AU,2025-08-13,FY,HAND_CODED_COMPANY_IR
CSL.AX,AU,2015-02-11,H1,HAND_CODED_COMPANY_IR
CSL.AX,AU,2015-08-12,FY,HAND_CODED_COMPANY_IR
CSL.AX,AU,2016-02-17,H1,HAND_CODED_COMPANY_IR
CSL.AX,AU,2016-08-17,FY,HAND_CODED_COMPANY_IR
CSL.AX,AU,2017-02-15,H1,HAND_CODED_COMPANY_IR
CSL.AX,AU,2017-08-16,FY,HAND_CODED_COMPANY_IR
CSL.AX,AU,2018-02-14,H1,HAND_CODED_COMPANY_IR
CSL.AX,AU,2018-08-15,FY,HAND_CODED_COMPANY_IR
CSL.AX,AU,2019-02-13,H1,HAND_CODED_COMPANY_IR
CSL.AX,AU,2019-08-14,FY,HAND_CODED_COMPANY_IR
CSL.AX,AU,2020-02-12,H1,HAND_CODED_COMPANY_IR
CSL.AX,AU,2020-08-19,FY,HAND_CODED_COMPANY_IR
CSL.AX,AU,2021-02-17,H1,HAND_CODED_COMPANY_IR
CSL.AX,AU,2021-08-18,FY,HAND_CODED_COMPANY_IR
CSL.AX,AU,2022-02-16,H1,HAND_CODED_COMPANY_IR
CSL.AX,AU,2022-08-17,FY,HAND_CODED_COMPANY_IR
CSL.AX,AU,2023-02-14,H1,HAND_CODED_COMPANY_IR
CSL.AX,AU,2023-08-15,FY,HAND_CODED_COMPANY_IR
CSL.AX,AU,2024-02-13,H1,HAND_CODED_COMPANY_IR
CSL.AX,AU,2024-08-13,FY,HAND_CODED_COMPANY_IR
CSL.AX,AU,2025-02-11,H1,HAND_CODED_COMPANY_IR
CSL.AX,AU,2025-08-19,FY,HAND_CODED_COMPANY_IR
NAB.AX,AU,2015-05-07,H1,HAND_CODED_COMPANY_IR
NAB.AX,AU,2015-10-28,FY,HAND_CODED_COMPANY_IR
NAB.AX,AU,2016-05-05,H1,HAND_CODED_COMPANY_IR
NAB.AX,AU,2016-10-27,FY,HAND_CODED_COMPANY_IR
NAB.AX,AU,2017-05-04,H1,HAND_CODED_COMPANY_IR
NAB.AX,AU,2017-11-02,FY,HAND_CODED_COMPANY_IR
NAB.AX,AU,2018-05-03,H1,HAND_CODED_COMPANY_IR
NAB.AX,AU,2018-11-01,FY,HAND_CODED_COMPANY_IR
NAB.AX,AU,2019-05-02,H1,HAND_CODED_COMPANY_IR
NAB.AX,AU,2019-11-07,FY,HAND_CODED_COMPANY_IR
NAB.AX,AU,2020-05-07,H1,HAND_CODED_COMPANY_IR
NAB.AX,AU,2020-11-05,FY,HAND_CODED_COMPANY_IR
NAB.AX,AU,2021-05-06,H1,HAND_CODED_COMPANY_IR
NAB.AX,AU,2021-11-09,FY,HAND_CODED_COMPANY_IR
NAB.AX,AU,2022-05-05,H1,HAND_CODED_COMPANY_IR
NAB.AX,AU,2022-11-09,FY,HAND_CODED_COMPANY_IR
NAB.AX,AU,2023-05-04,H1,HAND_CODED_COMPANY_IR
NAB.AX,AU,2023-11-09,FY,HAND_CODED_COMPANY_IR
NAB.AX,AU,2024-05-02,H1,HAND_CODED_COMPANY_IR
NAB.AX,AU,2024-11-07,FY,HAND_CODED_COMPANY_IR
NAB.AX,AU,2025-05-07,H1,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2015-05-05,H1,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2015-10-29,FY,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2016-05-03,H1,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2016-11-03,FY,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2017-05-02,H1,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2017-10-26,FY,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2018-05-01,H1,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2018-10-31,FY,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2019-05-01,H1,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2019-10-31,FY,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2020-04-30,H1,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2020-10-29,FY,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2021-05-05,H1,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2021-10-28,FY,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2022-05-04,H1,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2022-10-27,FY,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2023-05-05,H1,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2023-11-10,FY,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2024-05-07,H1,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2024-11-08,FY,HAND_CODED_COMPANY_IR
ANZ.AX,AU,2025-05-08,H1,HAND_CODED_COMPANY_IR
WBC.AX,AU,2015-05-04,H1,HAND_CODED_COMPANY_IR
WBC.AX,AU,2015-11-02,FY,HAND_CODED_COMPANY_IR
WBC.AX,AU,2016-05-02,H1,HAND_CODED_COMPANY_IR
WBC.AX,AU,2016-11-07,FY,HAND_CODED_COMPANY_IR
WBC.AX,AU,2017-05-08,H1,HAND_CODED_COMPANY_IR
WBC.AX,AU,2017-11-06,FY,HAND_CODED_COMPANY_IR
WBC.AX,AU,2018-05-07,H1,HAND_CODED_COMPANY_IR
WBC.AX,AU,2018-11-05,FY,HAND_CODED_COMPANY_IR
