ticker,event_date,count_t0,count_tm2,count_tm1,count_tp1,count_tp2,count_total,pcr_event
000660.KS,2024-04-24,1.0,0.0,0.0,1.0,0.0,2.0,0.5
005380.KS,2024-03-06,0.0,1.0,0.0,0.0,0.0,1.0,0.0
005380.KS,2024-05-16,0.0,1.0,1.0,0.0,0.0,2.0,0.0
005930.KS,2024-01-30,1.0,0.0,0.0,0.0,0.0,1.0,1.0
005930.KS,2024-04-29,0.0,0.0,0.0,1.0,1.0,2.0,0.0
0700.HK,2024-03-20,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0700.HK,2024-05-14,4.0,0.0,2.0,0.0,0.0,6.0,0.6666666666666666
2303.TW,2024-04-24,1.0,0.0,0.0,1.0,0.0,2.0,0.5
2317.TW,2024-03-15,0.0,0.0,2.0,0.0,0.0,2.0,0.0
2317.TW,2024-05-14,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2330.TW,2024-01-18,5.0,0.0,0.0,3.0,2.0,10.0,0.5
2330.TW,2024-04-18,2.0,0.0,1.0,2.0,0.0,5.0,0.4
2330.TW,2024-07-18,7.0,0.0,4.0,2.0,1.0,14.0,0.5
2454.TW,2024-04-26,2.0,0.0,2.0,0.0,0.0,4.0,0.5
6758.T,2024-02-14,8.0,6.0,9.0,5.0,7.0,35.0,0.22857142857142856
6758.T,2024-05-14,13.0,1.0,2.0,7.0,3.0,26.0,0.5
7203.T,2024-02-06,4.0,2.0,1.0,9.0,4.0,20.0,0.2
7203.T,2024-05-08,5.0,2.0,0.0,2.0,6.0,15.0,0.3333333333333333
7974.T,2024-02-06,1.0,0.0,0.0,0.0,0.0,1.0,1.0
7974.T,2024-05-07,2.0,0.0,0.0,0.0,0.0,2.0,1.0
AAPL,2024-02-01,3.0,7.0,1.0,6.0,0.0,17.0,0.17647058823529413
AAPL,2024-05-02,3.0,8.0,2.0,2.0,2.0,17.0,0.17647058823529413
ADS.DE,2024-03-13,4.0,0.0,2.0,0.0,0.0,6.0,0.6666666666666666
ADS.DE,2024-04-30,1.0,0.0,0.0,0.0,0.0,1.0,1.0
AMZN,2024-02-01,1.0,2.0,2.0,0.0,0.0,5.0,0.2
AMZN,2024-04-30,3.0,0.0,0.0,2.0,1.0,6.0,0.5
ASML.AS,2024-07-17,0.0,0.0,0.0,1.0,0.0,1.0,0.0
CNQ.TO,2024-02-29,0.0,0.0,0.0,1.0,0.0,1.0,0.0
CP.TO,2024-01-30,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ENB.TO,2024-02-09,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ENB.TO,2024-05-10,1.0,0.0,0.0,0.0,0.0,1.0,1.0
INFY.NS,2024-01-11,2.0,1.0,1.0,0.0,0.0,4.0,0.5
INFY.NS,2024-04-18,11.0,5.0,3.0,3.0,0.0,22.0,0.5
INFY.NS,2024-07-18,13.0,1.0,0.0,2.0,0.0,16.0,0.8125
MBG.DE,2024-03-20,0.0,1.0,0.0,2.0,1.0,4.0,0.0
MBG.DE,2024-04-30,1.0,8.0,0.0,0.0,0.0,9.0,0.1111111111111111
META,2024-02-01,38.0,33.0,29.0,43.0,18.0,161.0,0.2360248447204969
META,2024-04-24,65.0,32.0,45.0,57.0,51.0,250.0,0.26
NVDA,2024-02-21,9.0,11.0,10.0,19.0,21.0,70.0,0.12857142857142856
NVDA,2024-05-22,13.0,5.0,13.0,12.0,8.0,51.0,0.2549019607843137
SAP.DE,2024-01-23,4.0,1.0,3.0,2.0,6.0,16.0,0.25
SAP.DE,2024-04-22,3.0,1.0,1.0,7.0,6.0,18.0,0.16666666666666666
SAP.DE,2024-07-22,1.0,0.0,5.0,10.0,5.0,21.0,0.047619047619047616
TCS.NS,2024-01-11,1.0,0.0,1.0,0.0,0.0,2.0,0.5
TCS.NS,2024-04-12,7.0,0.0,0.0,1.0,0.0,8.0,0.875
TCS.NS,2024-07-11,2.0,0.0,3.0,3.0,0.0,8.0,0.25
