stock,announce_date,utilisation_delta_pp,wafer_asp_delta_pct,rd_delta_pct,util_source,asp_source,rd_source
2330.TW,2014-02-26,2.0,0.5,10.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2014-05-15,3.0,1.0,12.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2014-08-14,4.0,1.0,11.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2014-11-13,5.0,1.5,13.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2015-02-25,-2.0,0.5,10.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2015-05-12,-4.0,-0.5,8.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2015-08-12,-3.0,-0.5,9.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2015-11-12,1.0,0.0,11.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2016-05-12,2.0,1.0,10.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2016-08-05,4.0,1.5,11.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2016-11-10,5.0,2.0,12.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2017-02-17,3.0,1.5,9.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2017-05-11,2.0,1.5,10.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2017-08-09,5.0,1.5,11.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2017-11-15,6.0,1.5,12.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2018-02-22,-1.0,1.0,10.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2018-05-03,-4.0,-1.0,9.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2018-08-15,-3.0,-0.5,8.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2018-11-14,-5.0,-1.0,7.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2019-02-25,-5.0,-0.5,5.0,HAND_CODED,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2019-05-16,-3.0,-0.5,6.0,HAND_CODED,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2019-08-15,3.0,0.5,8.0,HAND_CODED,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2019-11-15,4.0,1.0,10.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2020-03-02,2.0,1.0,9.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2020-05-15,-2.0,1.0,11.0,HAND_CODED,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2020-08-17,4.0,1.5,12.0,HAND_CODED,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2020-11-16,6.0,2.0,13.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2021-03-02,4.0,3.0,12.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2021-05-17,5.0,3.0,13.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2021-08-16,5.0,3.0,14.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2021-11-15,4.0,3.5,15.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2022-03-01,2.0,4.0,13.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2022-05-16,1.0,3.0,12.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2022-08-15,-3.0,2.0,11.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2022-11-15,-6.0,1.0,10.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2023-03-01,-8.0,2.0,9.0,HAND_CODED,HAND_CODED,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2023-05-15,-5.0,0.0,8.0,HAND_CODED,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2023-08-15,2.0,0.0,9.0,HAND_CODED,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2023-11-15,4.0,1.0,10.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2330.TW,2024-03-01,5.0,1.5,11.703872666177473,HAND_CODED,HAND_CODED,PROXY_ANNUAL
2330.TW,2024-05-16,3.0,2.0,11.703872666177473,HAND_CODED,HAND_CODED,PROXY_ANNUAL
2330.TW,2024-08-15,6.0,2.0,11.703872666177473,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,PROXY_ANNUAL
2330.TW,2024-11-15,5.0,2.5,11.703872666177473,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,PROXY_ANNUAL
2330.TW,2025-03-03,4.0,3.0,11.960068037431547,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,PROXY_ANNUAL
2330.TW,2025-05-16,-3.3631342086737126,-0.2086550217576199,11.960068037431547,PROXY_PIT,PROXY_PIT,PROXY_ANNUAL
2330.TW,2025-08-15,11.264556719290052,-0.1718376695572065,11.960068037431547,PROXY_PIT,PROXY_PIT,PROXY_ANNUAL
2330.TW,2025-11-17,6.010595172573718,0.8357701695361874,20.760941050389192,PROXY_PIT,PROXY_PIT,PROXY_PIT
2303.TW,2014-03-17,2.0,0.5,5.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2303.TW,2014-05-05,3.0,0.5,5.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2303.TW,2014-08-01,3.0,0.5,6.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
2303.TW,2014-11-03,4.0,1.0,7.0,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC,LLM_EXTRACTED_FROM_PUBLIC
