asset,asset_class,native_iv,source_experiment,source_commit,variant,base_t,epu_t,finstress_t,all_t,best_alt_qlike_improvement_pct,qlike_5pct_gate_pass,harvey_t3_any_alt_challenger_wins
SPY,us_broad_equity,^VIX,K1116c,64a9d569,pit_shift0,-3.0211,-2.6034,-3.0010,-2.5372,-0.669,FAIL,FALSE
QQQ,us_tech_equity,^VXN,K1201,87059567,pit_shift0,-2.1862,-1.9669,-2.4385,-1.9675,-0.561,FAIL,FALSE
GLD,precious_metal_commodity,^GVZ,K1116f,885d7b0b,pit_shift0,-2.1031,-2.0695,-3.3412,-2.2458,-0.630,FAIL,FALSE
USO,energy_commodity,^OVX,K1201,87059567,pit_shift0,-3.0489,-5.5962,-2.5836,-3.7349,-0.845,FAIL,FALSE
TLT,long_duration_treasuries,^MOVE,K1116f,885d7b0b,pit_shift0,+1.4331,-2.4769,+3.7434,-5.6655,+0.498,FAIL,TRUE_but_regime_artefact
BTC-USD,cryptocurrency,rv30_self,K1116f,885d7b0b,pit_shift0,-5.4936,-3.5504,+1.3699,+0.2033,+0.227,FAIL,FALSE
EEM,emerging_market_equity,^VIX_spillover,K1203,477c504a,pit_shift0,-2.5965,-3.5395,-1.4335,-0.9991,-0.130,FAIL,FALSE
SPY,us_broad_equity,^VIX,K1116c,64a9d569,pit_shift1,-3.0211,-2.7109,-3.6644,-1.9844,-0.296,FAIL,FALSE
QQQ,us_tech_equity,^VXN,K1201,87059567,pit_shift1,-2.1862,-1.9785,-3.0011,-1.6964,-0.286,FAIL,FALSE
GLD,precious_metal_commodity,^GVZ,K1116f,885d7b0b,pit_shift1,-2.1031,-2.9416,-3.0289,-0.6126,-0.089,FAIL,FALSE
USO,energy_commodity,^OVX,K1201,87059567,pit_shift1,-3.0489,-5.2816,-2.6942,-3.5624,-0.799,FAIL,FALSE
TLT,long_duration_treasuries,^MOVE,K1116f,885d7b0b,pit_shift1,+1.4331,-1.3853,+1.9999,-5.5999,+0.177,FAIL,FALSE
BTC-USD,cryptocurrency,rv30_self,K1116f,885d7b0b,pit_shift1,-5.4936,-3.3868,+1.0346,+0.1424,+0.135,FAIL,FALSE
EEM,emerging_market_equity,^VIX_spillover,K1203,477c504a,pit_shift1,-2.5965,-3.2968,-3.6161,-1.7108,-0.427,FAIL,FALSE
