converged,reason,fun,start_seed,start_theta_eav,start_theta0,market,theta0,theta_vix,theta_eav,loglik,nit,mean_sigma2
False,penalty-trap,10000000000000.0,43,1.132554875961837e-06,5.76150766343344e-05,CH,,,,,,
True,,,44,1.2449818583770718e-05,2.141907118426978e-06,CH,2.1875240886726923e-06,-1.0087323200817238e-06,-8.833520957776236e-05,71541.3022149163,5.0,0.0003523132441568119
True,,,45,0.00011509834820107835,3.522592869595156e-05,CH,0.00026311433472998614,1.0689818762275772e-07,0.00033248341049539983,77634.79971717046,27.0,0.0003523132441568119
False,penalty-trap,10000000000000.0,46,5.4407352746566345e-06,0.00027809858465410546,CH,,,,,,
True,,,47,1.8009776333784686e-05,0.00010048502217734858,CH,0.00029194775629367935,1.2764108773894553e-07,0.0005360838661421645,77725.56936921833,31.0,0.0003523132441568119
True,,,48,2.436308381612445e-05,1.1127313550901642e-05,CH,0.000237524199233619,1.9008072710221288e-07,0.00024343731598104785,77504.70270127441,27.0,0.0003523132441568119
True,,,49,1.1425148807831397e-05,9.535260907994748e-06,CH,0.0002871076768177646,1.5803169266026805e-07,0.0004091693719912181,77640.44290617824,25.0,0.0003523132441568119
True,,,50,3.011464190246085e-05,0.00013342285396419502,CH,0.0002501868507636466,1.0661613960975224e-07,0.000860584290224707,77460.04418705223,25.0,0.0003523132441568119
False,penalty-trap,6415586233.918601,51,4.87512056084135e-06,0.00034963952341182495,CH,,,,,,
True,,,52,2.524832292533634e-05,4.591195063624828e-05,CH,0.0003208163868935158,1.1200842330357443e-07,0.00013510365942397945,77817.34555252822,5.0,0.0003523132441568119
True,,,53,7.828929036770207e-06,1.071596840758407e-06,CH,0.00036107186807255234,9.221351130080666e-08,0.00016458046110548412,77611.33155865177,9.0,0.0003523132441568119
True,,,54,1.6405281277794262e-06,3.9846487727265224e-06,CH,0.0002865712044112816,1.1066957956106338e-07,0.00011468233187756056,77483.64800594033,12.0,0.0003523132441568119
True,,,55,3.8846528562406475e-06,0.00017628837689328424,CH,0.0002752514544974758,1.4161790669757795e-07,0.00031152535360970775,77646.50073374646,21.0,0.0003523132441568119
False,penalty-trap,10000000000000.0,56,0.00044376460756318545,9.115750463865973e-05,CH,,,,,,
True,,,57,0.0001864079546879464,7.023367761511215e-05,CH,0.00025892814235246034,1.4532467398651306e-07,0.00012211510835743574,77511.31682736237,24.0,0.0003523132441568119
True,,,58,4.529982639888567e-06,6.8236003171799026e-06,CH,0.00026977861333551636,8.616485319640497e-08,0.00010974813913976839,77447.99684518277,13.0,0.0003523132441568119
True,,,59,2.06836773785462e-06,3.857553441493934e-05,CH,3.857553441493934e-05,1.554039195392234e-07,2.06836773785462e-06,74775.50588863312,0.0,0.0003523132441568119
True,,,60,1.4050443529891941e-06,7.502953992022563e-06,CH,7.502953992022563e-06,-2.2536316623615498e-07,1.4050443529891941e-06,73788.33951438394,5.0,0.0003523132441568119
