week_end,NFCI
2020-01-03,-0.79
2020-01-10,-0.79
2020-01-17,-0.79
2020-01-24,-0.82
2020-01-31,-0.82
2020-02-07,-0.79
2020-02-14,-0.81
2020-02-21,-0.83
2020-02-28,-0.84
2020-03-06,-0.76
2020-03-13,-0.67
2020-03-20,-0.48
2020-03-27,-0.17
2020-04-03,0.05
2020-04-10,0.07
2020-04-17,-0.02
2020-04-24,-0.15
2020-05-01,-0.23
2020-05-08,-0.28
2020-05-15,-0.4
2020-05-22,-0.46
2020-05-29,-0.51
2020-06-05,-0.51
2020-06-12,-0.58
2020-06-19,-0.59
2020-06-26,-0.59
2020-07-03,-0.6
2020-07-10,-0.39
2020-07-17,-0.43
2020-07-24,-0.47
2020-07-31,-0.5
2020-08-07,-0.47
2020-08-14,-0.52
2020-08-21,-0.53
2020-08-28,-0.53871
2020-09-04,-0.53305
2020-09-11,-0.50764
2020-09-18,-0.4798
2020-09-25,-0.49027
2020-10-02,-0.48696
2020-10-09,-0.48585
2020-10-16,-0.50183
2020-10-23,-0.5178
2020-10-30,-0.51891
2020-11-06,-0.49689
2020-11-13,-0.47838
2020-11-20,-0.52767
2020-11-27,-0.57355
2020-12-04,-0.60098
2020-12-11,-0.61311
2020-12-18,-0.62094
2020-12-25,-0.61428
2021-01-01,-0.60471
2021-01-08,-0.60442
2021-01-15,-0.61765
2021-01-22,-0.6171
2021-01-29,-0.63774
2021-02-05,-0.59809
2021-02-12,-0.62002
2021-02-19,-0.64392
2021-02-26,-0.65002
2021-03-05,-0.63587
2021-03-12,-0.62517
2021-03-19,-0.62826
2021-03-26,-0.62672
2021-04-02,-0.63474
2021-04-09,-0.65224
2021-04-16,-0.6747
2021-04-23,-0.68654
2021-04-30,-0.68461
2021-05-07,-0.70671
2021-05-14,-0.7022
2021-05-21,-0.6979
2021-05-28,-0.68875
2021-06-04,-0.70655
2021-06-11,-0.71256
2021-06-18,-0.71895
2021-06-25,-0.70998
2021-07-02,-0.7165
2021-07-09,-0.71149
