week_end,USEPU
2020-01-03,10.92
2020-01-10,76.48
2020-01-17,68.93
2020-01-24,228.25
2020-01-31,179.54
2020-02-07,263.68
2020-02-14,70.83
2020-02-21,144.56
2020-02-28,533.78
2020-03-06,569.81
2020-03-13,189.38
2020-03-20,663.73
2020-03-27,729.13
2020-04-03,885.01
2020-04-10,382.36
2020-04-17,475.0
2020-04-24,483.69
2020-05-01,477.82
2020-05-08,580.4
2020-05-15,613.91
2020-05-22,866.86
2020-05-29,458.25
2020-06-05,224.34
2020-06-12,219.8
2020-06-19,264.86
2020-06-26,252.72
2020-07-03,204.25
2020-07-10,364.04
2020-07-17,234.23
2020-07-24,237.36
2020-07-31,283.47
2020-08-07,269.96
2020-08-14,213.17
2020-08-21,201.8
2020-08-28,160.86
2020-09-04,236.86
2020-09-11,161.98
2020-09-18,254.37
2020-09-25,258.93
2020-10-02,291.17
2020-10-09,270.12
2020-10-16,140.46
2020-10-23,112.01
2020-10-30,327.22
2020-11-06,264.63
2020-11-13,134.19
2020-11-20,217.89
2020-11-27,135.82
2020-12-04,180.42
2020-12-11,233.11
2020-12-18,426.59
2020-12-25,196.62
2021-01-01,246.04
2021-01-08,82.99
2021-01-15,127.28
2021-01-22,298.68
2021-01-29,131.55
2021-02-05,113.23
2021-02-12,120.8
2021-02-19,105.49
2021-02-26,99.11
2021-03-05,72.17
2021-03-12,311.78
2021-03-19,134.85
2021-03-26,118.5
2021-04-02,73.71
2021-04-09,150.11
2021-04-16,124.47
2021-04-23,45.21
2021-04-30,165.23
2021-05-07,118.21
2021-05-14,92.55
2021-05-21,213.07
2021-05-28,16.7
2021-06-04,103.4
2021-06-11,142.68
2021-06-18,45.06
2021-06-25,112.4
2021-07-02,83.32
2021-07-09,37.86
2021-07-16,180.22
2021-07-23,107.52
2021-07-30,208.68
2021-08-06,145.66
2021-08-13,119.96
2021-08-20,113.99
2021-08-27,53.59
2021-09-03,71.45
2021-09-10,42.54
2021-09-17,44.27
2021-09-24,55.71
2021-10-01,75.88
2021-10-08,81.05
2021-10-15,108.27
2021-10-22,68.56
2021-10-29,104.95
2021-11-05,103.79
2021-11-12,80.42
2021-11-19,228.1
2021-11-26,38.04
2021-12-03,77.42
2021-12-10,42.39
2021-12-17,258.87
2021-12-24,130.16
2021-12-31,127.37
2022-01-07,248.45
2022-01-14,56.43
2022-01-21,61.73
2022-01-28,224.3
2022-02-04,268.36
2022-02-11,320.34
2022-02-18,312.88
2022-02-25,436.74
2022-03-04,436.74
2022-03-11,436.74
2022-03-18,436.74
2022-03-25,436.74
2022-04-01,60.42
2022-04-08,248.33
2022-04-15,138.92
2022-04-22,69.72
2022-04-29,53.55
2022-05-06,107.88
2022-05-13,122.78
2022-05-20,171.15
2022-05-27,152.06
2022-06-03,60.23
2022-06-10,51.12
2022-06-17,187.99
2022-06-24,52.45
2022-07-01,163.07
2022-07-08,114.14
2022-07-15,215.21
2022-07-22,107.99
2022-07-29,105.19
2022-08-05,56.09
2022-08-12,93.68
2022-08-19,95.81
2022-08-26,112.57
2022-09-02,38.68
2022-09-09,53.45
2022-09-16,68.86
2022-09-23,128.79
2022-09-30,114.25
2022-10-07,180.13
2022-10-14,134.43
2022-10-21,87.25
2022-10-28,148.5
2022-11-04,144.3
2022-11-11,142.65
2022-11-18,108.17
2022-11-25,311.91
2022-12-02,229.47
2022-12-09,149.02
2022-12-16,47.45
2022-12-23,133.47
2022-12-30,152.91
2023-01-06,274.56
2023-01-13,255.41
2023-01-20,115.94
2023-01-27,57.69
2023-02-03,148.85
2023-02-10,154.77
2023-02-17,257.8
2023-02-24,285.75
2023-03-03,145.19
2023-03-10,141.8
2023-03-17,303.92
2023-03-24,227.3
2023-03-31,81.26
2023-04-07,44.5
2023-04-14,308.54
2023-04-21,95.37
2023-04-28,131.27
2023-05-05,179.77
2023-05-12,179.77
2023-05-19,179.77
2023-05-26,179.77
2023-06-02,139.48
2023-06-09,47.59
2023-06-16,87.77
2023-06-23,95.01
2023-06-30,132.66
2023-07-07,37.62
2023-07-14,77.14
2023-07-21,276.08
2023-07-28,106.15
2023-08-04,64.57
2023-08-11,61.03
2023-08-18,89.33
2023-08-25,90.71
2023-09-01,279.56
2023-09-08,60.83
2023-09-15,54.79
2023-09-22,178.99
2023-09-29,106.49
2023-10-06,38.28
2023-10-13,257.29
2023-10-20,351.63
2023-10-27,21.82
2023-11-03,54.27
2023-11-10,236.06
