week_end,WLEMU
2020-01-03,28.66
2020-01-10,67.13
2020-01-17,65.51
2020-01-24,64.84
2020-01-31,548.66
2020-02-07,60.31
2020-02-14,65.35
2020-02-21,188.43
2020-02-28,485.29
2020-03-06,424.15
2020-03-13,316.56
2020-03-20,645.64
2020-03-27,497.63
2020-04-03,530.81
2020-04-10,320.74
2020-04-17,95.49
2020-04-24,321.07
2020-05-01,327.24
2020-05-08,351.38
2020-05-15,300.84
2020-05-22,222.62
2020-05-29,154.93
2020-06-05,25.51
2020-06-12,274.48
2020-06-19,25.24
2020-06-26,26.43
2020-07-03,56.27
2020-07-10,105.04
2020-07-17,117.13
2020-07-24,79.64
2020-07-31,26.91
2020-08-07,50.96
2020-08-14,164.67
2020-08-21,168.68
2020-08-28,54.04
2020-09-04,159.54
2020-09-11,75.71
2020-09-18,289.93
2020-09-25,24.38
2020-10-02,25.07
2020-10-09,48.09
2020-10-16,57.29
2020-10-23,46.82
2020-10-30,297.34
2020-11-06,219.78
2020-11-13,286.5
2020-11-20,69.19
2020-11-27,138.68
2020-12-04,24.94
2020-12-11,24.5
2020-12-18,388.54
2020-12-25,29.91
2021-01-01,83.94
2021-01-08,105.12
2021-01-15,50.85
2021-01-22,25.76
2021-01-29,121.28
2021-02-05,47.17
2021-02-12,48.15
2021-02-19,24.88
2021-02-26,23.29
2021-03-05,23.34
2021-03-12,22.94
2021-03-19,46.4
2021-03-26,47.59
2021-04-02,71.84
2021-04-09,22.94
2021-04-16,23.08
2021-04-23,22.2
2021-04-30,40.68
2021-05-07,20.57
2021-05-14,21.78
2021-05-21,67.61
2021-05-28,21.65
2021-06-04,44.99
2021-06-11,23.1
2021-06-18,23.17
2021-06-25,48.42
2021-07-02,23.83
2021-07-09,24.51
2021-07-16,24.51
2021-07-23,70.34
2021-07-30,45.14
2021-08-06,94.98
2021-08-13,95.31
2021-08-20,45.16
2021-08-27,23.24
2021-09-03,91.89
2021-09-10,22.16
2021-09-17,22.7
2021-09-24,29.19
2021-10-01,21.94
2021-10-08,21.22
2021-10-15,21.68
2021-10-22,44.73
2021-10-29,84.3
2021-11-05,22.43
2021-11-12,23.19
2021-11-19,45.86
2021-11-26,33.22
2021-12-03,67.41
2021-12-10,44.33
2021-12-17,87.73
2021-12-24,97.16
2021-12-31,25.62
2022-01-07,23.67
2022-01-14,48.57
2022-01-21,23.03
2022-01-28,257.76
2022-02-04,409.74
2022-02-11,204.56
2022-02-18,484.45
2022-02-25,200.36
2022-03-04,200.36
2022-03-11,200.36
2022-03-18,200.36
2022-03-25,200.36
2022-04-01,35.12
2022-04-08,71.41
2022-04-15,36.09
2022-04-22,36.46
2022-04-29,34.9
2022-05-06,173.66
2022-05-13,17.79
2022-05-20,93.13
2022-05-27,39.63
2022-06-03,78.74
2022-06-10,93.81
2022-06-17,78.49
2022-06-24,39.12
2022-07-01,62.53
2022-07-08,84.8
2022-07-15,145.12
2022-07-22,20.16
2022-07-29,165.64
2022-08-05,48.73
2022-08-12,44.47
2022-08-19,22.77
2022-08-26,135.42
2022-09-02,25.22
2022-09-09,23.21
2022-09-16,30.08
2022-09-23,186.55
2022-09-30,42.62
2022-10-07,56.53
2022-10-14,33.51
2022-10-21,163.15
2022-10-28,70.48
2022-11-04,179.64
2022-11-11,88.75
2022-11-18,229.52
2022-11-25,255.41
2022-12-02,136.73
