ticker,sector_name,ai_labor_exposure,ai_labor_exposure_median,n_aiie_industries,naics_prefixes,ai_exposure_z,exposure_group
XLB,Materials,-0.8025357363636364,-0.90400885,22,"2122,2123,321,322,325,326,327,331,332",-1.3070186263778145,low
XLE,Energy,-0.1562127000000001,-0.1562127000000001,2,"211,213",-0.530974342891333,low
XLF,Financials,2.05267,2.0917825,8,52,2.1212455158833454,high
XLI,Industrials,-0.3709596068965517,-0.4659076499999999,58,"23,333,336,48,49,5413,561",-0.7888223540516681,low
XLK,Technology,1.32037981,1.3889045,10,"334,5112,518,519,5415",1.241979910559947,high
XLP,Consumer Staples,-0.7375816999999999,-0.7953504499999999,14,"311,312,445,446",-1.2290278914459827,low
XLU,Utilities,0.13284996666666662,0.2096186999999999,3,221,-0.18389491447093811,mid
XLV,Health Care,0.5466657866666665,0.6741955,15,"3254,621,622,623",0.31297643848914775,high
XLY,Consumer Discretionary,-0.144657378125,-0.08671545,32,"441,442,448,451,452,453,454,71,72",-0.5170997925807128,mid
XLRE,Real Estate,0.5238351,0.5238351,1,531,0.28556348416305555,mid
XLC,Communication Services,0.7816075727272728,0.6088023,11,"512,515,517,519,711",0.5950725727229537,high
