date,index_call,index_put,index_total,index_pcr
2003-10-17,134785,270102,404887,2.0
2003-10-20,110019,120439,230458,1.09
2003-10-21,125388,159054,284442,1.27
2003-10-22,122259,231406,353665,1.89
2003-10-23,86575,138675,225250,1.6
2003-10-24,123056,183230,306286,1.49
2003-10-27,76810,105423,182233,1.37
2003-10-28,149146,157514,306660,1.06
2003-10-29,116039,106728,222767,0.92
2003-10-30,97951,145896,243847,1.49
2003-10-31,86560,143092,229652,1.65
2003-11-03,137879,177315,315194,1.29
2003-11-04,86700,124310,211010,1.43
2003-11-05,89603,140662,230265,1.57
2003-11-06,120642,175800,296442,1.46
2003-11-07,101311,187180,288491,1.85
2003-11-10,82980,130443,213423,1.57
2003-11-11,89307,187646,276953,2.1
2003-11-12,109708,154215,263923,1.41
2003-11-13,111442,176554,287996,1.58
2003-11-14,122824,179625,302449,1.46
2003-11-17,177267,270481,447748,1.53
2003-11-18,176808,209303,386111,1.18
2003-11-19,225563,254269,479832,1.13
2003-11-20,296911,325572,622483,1.1
2003-11-21,162962,227786,390748,1.4
2003-11-24,123635,170080,293715,1.38
2003-11-25,142426,166273,308699,1.17
2003-11-26,84186,143051,227237,1.7
2003-11-28,51140,65321,116461,1.28
2003-12-01,162526,215623,378149,1.33
2003-12-02,133669,209190,342859,1.56
2003-12-03,135485,189668,325153,1.4
2003-12-04,97605,158264,255869,1.62
2003-12-05,89445,155274,244719,1.74
2003-12-08,103387,197225,300612,1.91
2003-12-09,158683,219007,377690,1.38
2003-12-10,120195,175243,295438,1.46
2003-12-11,177196,217512,394708,1.23
2003-12-12,171585,255705,427290,1.49
2003-12-15,246929,274187,521116,1.11
2003-12-16,179100,241150,420250,1.35
2003-12-17,177900,244314,422214,1.37
2003-12-18,417612,363051,780663,0.87
2003-12-19,197453,310471,507924,1.57
2003-12-22,88536,290201,378737,3.28
2003-12-23,94889,159860,254749,1.68
2003-12-24,23748,74160,97908,3.12
2003-12-26,18282,53168,71450,2.91
2003-12-29,148169,161103,309272,1.09
2003-12-30,103034,187525,290559,1.82
2003-12-31,96249,285095,381344,2.96
2004-01-02,104506,202793,307299,1.94
2004-01-05,173455,249311,422766,1.44
2004-01-06,130708,219917,350625,1.68
2004-01-07,147532,245815,393347,1.67
2004-01-08,190103,252740,442843,1.33
2004-01-09,172937,302049,474986,1.75
2004-01-12,152566,253693,406259,1.66
2004-01-13,249237,266363,515600,1.07
2004-01-14,239148,272415,511563,1.14
2004-01-15,300702,317611,618313,1.06
2004-01-16,172955,337843,510798,1.95
2004-01-20,131868,160472,292340,1.22
2004-01-21,125059,258543,383602,2.07
2004-01-22,102720,230597,333317,2.24
2004-01-23,96202,208957,305159,2.17
2004-01-26,107590,131611,239201,1.22
2004-01-27,108285,244761,353046,2.26
2004-01-28,139283,264067,403350,1.9
2004-01-29,124091,225259,349350,1.82
2004-01-30,122369,158787,281156,1.3
2004-02-02,93002,141056,234058,1.52
2004-02-03,75253,129385,204638,1.72
2004-02-04,97978,198732,296710,2.03
2004-02-05,103436,140353,243789,1.36
2004-02-06,117750,203003,320753,1.72
2004-02-09,75899,119351,195250,1.57
2004-02-10,103863,132899,236762,1.28
2004-02-11,173464,206868,380332,1.19
2004-02-12,95488,154084,249572,1.61
2004-02-13,133854,211958,345812,1.58
2004-02-17,139413,168291,307704,1.21
2004-02-18,175654,235140,410794,1.34
2004-02-19,288970,330032,619002,1.14
2004-02-20,178598,360781,539379,2.02
2004-02-23,115030,183939,298969,1.6
2004-02-24,108201,160919,269120,1.49
2004-02-25,76886,149798,226684,1.95
2004-02-26,107614,143869,251483,1.34
2004-02-27,96090,134628,230718,1.4
2004-03-01,125511,157738,283249,1.26
2004-03-02,102285,190216,292501,1.86
2004-03-03,111688,138406,250094,1.24
2004-03-04,122186,149181,271367,1.22
2004-03-05,140029,210313,350342,1.5
2004-03-08,122022,202696,324718,1.66
2004-03-09,193309,256685,449994,1.33
2004-03-10,246283,349459,595742,1.42
2004-03-11,235514,451181,686695,1.92
2004-03-12,194511,331355,525866,1.7
2004-03-15,201129,321431,522560,1.6
2004-03-16,241657,325578,567235,1.35
2004-03-17,280068,324325,604393,1.16
2004-03-18,269193,307298,576491,1.14
2004-03-19,175617,281549,457166,1.6
2004-03-22,208274,349929,558203,1.68
2004-03-23,177945,188525,366470,1.06
2004-03-24,147460,209965,357425,1.42
2004-03-25,160446,190647,351093,1.19
2004-03-26,101358,148087,249445,1.46
2004-03-29,144087,208663,352750,1.45
2004-03-30,103965,150896,254861,1.45
2004-03-31,113987,258635,372622,2.27
2004-04-01,185616,206067,391683,1.11
2004-04-02,158380,256449,414829,1.62
2004-04-05,161039,247854,408893,1.54
2004-04-06,118809,186971,305780,1.57
2004-04-07,120460,183065,303525,1.52
2004-04-08,125670,178637,304307,1.42
2004-04-12,98129,177378,275507,1.81
2004-04-13,197213,274188,471401,1.39
2004-04-14,224969,319518,544487,1.42
2004-04-15,248265,339585,587850,1.37
2004-04-16,177220,298987,476207,1.69
2004-04-19,123797,152500,276297,1.23
2004-04-20,133901,195846,329747,1.46
2004-04-21,133999,184088,318087,1.37
2004-04-22,176969,187207,364176,1.06
2004-04-23,100463,116461,216924,1.16
2004-04-26,71412,114369,185781,1.6
2004-04-27,103353,186257,289610,1.8
2004-04-28,114503,266791,381294,2.33
2004-04-29,133169,284011,417180,2.13
2004-04-30,112584,162625,275209,1.44
2004-05-03,99544,170212,269756,1.71
2004-05-04,115321,175945,291266,1.53
2004-05-05,95147,186567,281714,1.96
2004-05-06,143902,297406,441308,2.07
2004-05-07,155003,274538,429541,1.77
2004-05-10,231241,557835,789076,2.41
2004-05-11,195763,329273,525036,1.68
2004-05-12,256292,391376,647668,1.53
2004-05-13,145455,274349,419804,1.89
2004-05-14,131119,189060,320179,1.44
2004-05-17,180113,335932,516045,1.87
2004-05-18,152590,286542,439132,1.88
2004-05-19,246368,366489,612857,1.49
2004-05-20,209719,337465,547184,1.61
2004-05-21,207021,439191,646212,2.12
2004-05-24,129005,179341,308346,1.39
2004-05-25,180024,300188,480212,1.67
2004-05-26,98810,241880,340690,2.45
2004-05-27,135738,287841,423579,2.12
2004-05-28,63203,179147,242350,2.83
2004-06-01,77598,161572,239170,2.08
2004-06-02,118708,233978,352686,1.97
2004-06-03,110363,175184,285547,1.59
2004-06-04,145739,229548,375287,1.58
2004-06-07,228976,310122,539098,1.35
2004-06-08,160203,230350,390553,1.44
2004-06-09,113625,192256,305881,1.69
2004-06-10,121969,192477,314446,1.58
2004-06-14,173871,277058,450929,1.59
2004-06-15,201844,240916,442760,1.19
2004-06-16,246768,253031,499799,1.03
2004-06-17,213372,263177,476549,1.23
2004-06-18,187987,334500,522487,1.78
2004-06-21,119745,212622,332367,1.78
2004-06-22,137246,188053,325299,1.37
2004-06-23,117472,257814,375286,2.19
2004-06-24,162232,230245,392477,1.42
2004-06-25,90593,112563,203156,1.24
2004-06-28,102158,142896,245054,1.4
2004-06-29,88133,124967,213100,1.42
2004-06-30,136735,130859,267594,0.96
2004-07-01,159981,257784,417765,1.61
2004-07-02,100185,126743,226928,1.27
2004-07-06,155476,206298,361774,1.33
2004-07-07,122204,163168,285372,1.34
2004-07-08,150572,190358,340930,1.26
2004-07-09,145615,142263,287878,0.98
