date,ai_infrastructure,private_credit,cyber
2023-01-01,0.054,0.0,0.0263
2023-01-02,0.1434,0.0005,0.0432
2023-01-03,0.2758,0.0039,0.1015
2023-01-04,0.3353,0.0067,0.1338
2023-01-05,0.3225,0.0024,0.119
2023-01-06,0.2609,0.0027,0.1384
2023-01-07,0.1459,0.0017,0.0677
2023-01-08,0.0909,0.0006,0.0406
2023-01-09,0.2939,0.0092,0.0944
2023-01-10,0.2882,0.0088,0.1853
2023-01-11,0.2359,0.0079,0.3604
2023-01-12,0.2308,0.0083,0.2478
2023-01-13,0.1542,0.0053,0.1397
2023-01-14,0.0934,0.0042,0.0644
2023-01-15,0.1149,0.0012,0.047
2023-01-16,0.1524,0.0011,0.0786
2023-01-17,0.3096,0.0023,0.1467
2023-01-18,0.3805,0.006,0.135
2023-01-19,0.3713,0.0057,0.1622
2023-01-20,0.4025,0.0047,0.3068
2023-01-21,0.1719,0.001,0.0839
2023-01-22,0.0996,0.0017,0.0641
2023-01-23,0.2192,0.0084,0.1061
2023-01-24,0.251,0.006,0.1466
2023-01-25,0.2404,0.0059,0.1258
2023-01-26,0.3122,0.003,0.2291
2023-01-27,0.2348,0.006,0.1142
2023-01-28,0.1222,0.0011,0.0434
2023-01-29,0.0922,0.004,0.0519
2023-01-30,0.1925,0.0032,0.0975
2023-01-31,0.3169,0.0094,0.1599
2023-02-01,0.3662,0.0156,0.1215
2023-02-02,0.337,0.0072,0.1741
2023-02-03,0.2977,0.004,0.1281
2023-02-04,0.1343,0.0005,0.1279
2023-02-05,0.1055,0.0012,0.0486
2023-02-06,0.2305,0.0038,0.1195
2023-02-07,0.5154,0.0045,0.1493
2023-02-08,0.3523,0.0072,0.1696
2023-02-09,0.3491,0.0057,0.2187
2023-02-10,0.2238,0.0056,0.1268
2023-02-11,0.1701,0.0038,0.0945
2023-02-12,0.1149,0.0006,0.1304
2023-02-13,0.243,0.0056,0.1315
2023-02-14,0.3365,0.0086,0.1399
2023-02-15,0.3376,0.0042,0.1294
2023-02-16,0.4272,0.0044,0.1522
2023-02-17,0.3442,0.0079,0.1248
2023-02-18,0.1689,0.0096,0.0474
2023-02-19,0.1405,0.0024,0.0301
2023-02-20,0.1798,0.0026,0.0601
2023-02-21,0.3352,0.0033,0.1212
2023-02-22,0.3654,0.007,0.1339
2023-02-23,0.3714,0.0081,0.2243
2023-02-24,0.2773,0.0095,0.1138
2023-02-25,0.16,0.0021,0.0673
2023-02-26,0.1095,0.0036,0.0748
2023-02-27,0.2904,0.0072,0.138
2023-02-28,0.3167,0.0095,0.3631
2023-03-01,0.3259,0.0103,0.1546
2023-03-02,0.3675,0.0076,0.2344
2023-03-03,0.3065,0.0057,0.1241
2023-03-04,0.1384,0.0069,0.0511
2023-03-05,0.1018,0.0006,0.025
2023-03-06,0.2785,0.0073,0.109
2023-03-07,0.307,0.0072,0.1332
2023-03-08,0.4043,0.0057,0.1676
2023-03-09,0.2746,0.0083,0.2163
2023-03-10,0.245,0.0065,0.1189
2023-03-11,0.1854,0.0042,0.0719
2023-03-12,0.0881,0.0022,0.0393
2023-03-13,0.2431,0.0073,0.0892
2023-03-14,0.3196,0.0053,0.153
2023-03-15,0.3943,0.005,0.1353
2023-03-16,0.293,0.0034,0.1345
2023-03-17,0.2365,0.0392,0.1477
2023-03-18,0.1478,0.0089,0.0865
2023-03-19,0.1111,0.0012,0.0426
2023-03-20,0.2086,0.0072,0.092
2023-03-21,0.4083,0.0103,0.1373
2023-03-22,0.3388,0.0028,0.1999
2023-03-24,0.4176,0.007,0.2276
2023-03-25,0.1836,0.002,0.0775
2023-03-26,0.1612,0.0062,0.0421
2023-03-27,0.2623,0.0105,0.1929
2023-03-28,0.3414,0.0068,0.1283
2023-03-29,0.3788,0.0043,0.1626
2023-03-30,0.3401,0.0076,0.1297
2023-03-31,0.305,0.0059,0.132
2023-04-01,0.2064,0.0032,0.0847
2023-04-02,0.1952,0.003,0.0503
2023-04-03,0.2825,0.0081,0.1513
2023-04-04,0.3768,0.0113,0.1587
2023-04-05,0.3238,0.0069,0.1722
2023-04-06,0.2883,0.0077,0.155
2023-04-07,0.2556,0.0039,0.1348
2023-04-08,0.1855,0.0023,0.0598
2023-04-09,0.1397,0.0059,0.0459
2023-04-10,0.2706,0.0028,0.1192
2023-04-11,0.3341,0.0057,0.1482
2023-04-12,0.2791,0.0033,0.1252
2023-04-13,0.3226,0.0053,0.1201
2023-04-14,0.3795,0.0052,0.1468
2023-04-15,0.2043,0.0077,0.0538
