month_end,ticker,n_days,month,month_name,year,rv_ann,log_rv_ann,is_winter,is_summer,lag_log_rv_ann
2006-01-31,NG=F,19,1,Jan,2006,0.6971563055772912,-0.36074563858922426,1,0,
2006-02-28,NG=F,19,2,Feb,2006,0.627209690512003,-0.4664743596316174,1,0,-0.36074563858922426
2006-03-31,NG=F,23,3,Mar,2006,0.3964421826811752,-0.9252250677550847,1,0,-0.4664743596316174
2006-04-30,NG=F,19,4,Apr,2006,0.5351199324710153,-0.6252643843660884,0,0,-0.9252250677550847
2006-05-31,NG=F,22,5,May,2006,0.4837342732726388,-0.7262195451973288,0,0,-0.6252643843660884
2006-06-30,NG=F,22,6,Jun,2006,0.6084515312084655,-0.49683802263011306,0,1,-0.7262195451973288
2006-07-31,NG=F,19,7,Jul,2006,0.8486689520106749,-0.16408609567241036,0,1,-0.49683802263011306
2006-08-31,NG=F,23,8,Aug,2006,0.7397572146481778,-0.30143323492994045,0,1,-0.16408609567241036
2006-09-30,NG=F,21,9,Sep,2006,1.0407370051641196,0.039929120984844926,0,0,-0.30143323492994045
2006-10-31,NG=F,22,10,Oct,2006,0.7460083556891572,-0.29301847818539634,0,0,0.039929120984844926
2006-11-30,NG=F,20,11,Nov,2006,0.49560881137832835,-0.7019683501714604,1,0,-0.29301847818539634
2006-12-31,NG=F,20,12,Dec,2006,0.6043448069637962,-0.5036103714763983,1,0,-0.7019683501714604
2007-01-31,NG=F,21,1,Jan,2007,0.7625767542626695,-0.2710521142384908,1,0,-0.5036103714763983
2007-02-28,NG=F,19,2,Feb,2007,0.38857687291708254,-0.9452642576618948,1,0,-0.2710521142384908
2007-03-31,NG=F,22,3,Mar,2007,0.28501416585866846,-1.2552163951814699,1,0,-0.9452642576618948
2007-04-30,NG=F,20,4,Apr,2007,0.32664354682334407,-1.1188857735208793,0,0,-1.2552163951814699
2007-05-31,NG=F,22,5,May,2007,0.2601255879260004,-1.346590734103664,0,0,-1.1188857735208793
2007-06-30,NG=F,21,6,Jun,2007,0.3428222565524905,-1.0705431686003737,0,1,-1.346590734103664
2007-07-31,NG=F,21,7,Jul,2007,0.5126276061251877,-0.6682056114004905,0,1,-1.0705431686003737
2007-08-31,NG=F,23,8,Aug,2007,0.6548957089543099,-0.42327927899472717,0,1,-0.6682056114004905
2007-09-30,NG=F,19,9,Sep,2007,0.6967225829537137,-0.36136796329927506,0,0,-0.42327927899472717
2007-10-31,NG=F,23,10,Oct,2007,0.5647134135643147,-0.5714369091512155,0,0,-0.36136796329927506
2007-11-30,NG=F,21,11,Nov,2007,0.4351564139530808,-0.8320497402181493,1,0,-0.5714369091512155
2007-12-31,NG=F,20,12,Dec,2007,0.3017256761981281,-1.1982370313732937,1,0,-0.8320497402181493
2008-01-31,NG=F,21,1,Jan,2008,0.31367112520722146,-1.159410213902696,1,0,-1.1982370313732937
