ticker,first_price_date,last_price_date,price_rows,valid_memory_signal_rows
SPY,2000-01-03,2026-06-24,6658,5375
QQQ,2000-01-03,2026-06-24,6658,5375
IWM,2000-05-26,2026-06-24,6557,5274
XLB,2000-01-03,2026-06-24,6658,5375
XLE,2000-01-03,2026-06-24,6658,5375
XLF,2000-01-03,2026-06-24,6658,5375
XLI,2000-01-03,2026-06-24,6658,5375
XLK,2000-01-03,2026-06-24,6658,5375
XLP,2000-01-03,2026-06-24,6658,5375
XLU,2000-01-03,2026-06-24,6658,5375
XLV,2000-01-03,2026-06-24,6658,5375
XLY,2000-01-03,2026-06-24,6658,5375
XLRE,2015-10-08,2026-06-24,2692,1409
