date,actual_rv,jump_share_lag1,jump_event_lag1,HAR_forecast,HAR_C_forecast,HAR_RVJ_forecast,HAR_CJ_forecast,HAR_CJ_cluster_forecast
2019-06-28,1.6814585419496237e-05,0.0,0.0,2.0441820499571233e-05,2.1398033504720737e-05,1.9726525299574144e-05,1.974968078933854e-05,1.9687807502293845e-05
2019-07-01,1.3964613852586555e-05,0.20662387147028033,1.0,2.0166335836304112e-05,1.9687642016439303e-05,1.8838970197427457e-05,1.894349226231149e-05,1.8875040610423645e-05
2019-07-02,8.446755398857466e-06,0.0,0.0,1.8836820615937406e-05,1.939130282287016e-05,1.9143401788712486e-05,1.912867419271788e-05,1.9074531010567386e-05
2019-07-03,2.439851865588221e-05,0.0,0.0,1.5806443511090115e-05,1.6396926304132252e-05,1.6451340183183515e-05,1.634080420599713e-05,1.6236080174358314e-05
2019-07-04,1.5715163888969962e-05,0.0,0.0,2.092355930703835e-05,2.1981340493891988e-05,2.2139770427149702e-05,2.2152370351281178e-05,2.194685259411168e-05
2019-07-05,1.4034650069703779e-05,0.1336496143483421,1.0,1.869080570416408e-05,1.880211941740748e-05,1.9249749724699083e-05,1.9270210109043086e-05,1.9120664174860248e-05
2019-07-08,3.4780324775610074e-05,0.10124924976283131,1.0,1.7907744475687884e-05,1.837926984075339e-05,1.79840210708285e-05,1.8007871089706655e-05,1.790296348768984e-05
2019-07-09,1.2569372050851669e-05,0.011249655913302969,1.0,2.4440746370905286e-05,2.5577303756063457e-05,2.4021801882389373e-05,2.415157464680635e-05,2.4125488157721802e-05
2019-07-10,8.643778942958299e-06,0.0,0.0,2.0281108824958117e-05,2.1185405293502025e-05,1.9660339729785924e-05,1.9734816392800528e-05,1.9751904993954397e-05
2019-07-11,1.094114493201581e-05,0.0,0.0,1.7160492809292738e-05,1.7953412513738028e-05,1.6611153589841712e-05,1.6595334998480124e-05,1.6656677889676367e-05
2019-07-12,1.0037892817090293e-05,0.015118106733124128,1.0,1.744734297426951e-05,1.84277324697989e-05,1.6576191466036092e-05,1.650140648339164e-05,1.6515670482459795e-05
2019-07-15,2.9858196136391787e-05,0.09718178149012634,1.0,1.6648977585506595e-05,1.7317203115510065e-05,1.5318413656661518e-05,1.5341660294870932e-05,1.529551800424057e-05
2019-07-16,9.487485829736083e-06,0.0,0.0,2.025739067029357e-05,2.1681535438895463e-05,1.959504081037957e-05,1.9761591664659763e-05,1.9627384715168424e-05
2019-07-17,2.1879445571365552e-05,0.0,0.0,1.5694585509396388e-05,1.6752179836389356e-05,1.5280223368164127e-05,1.5306520194726252e-05,1.5266376664085877e-05
2019-07-18,1.0669656818581155e-05,0.156749755605408,1.0,2.0231989120329496e-05,2.0402504763499077e-05,1.9147996854152208e-05,1.9232955441641516e-05,1.9171054906128248e-05
2019-07-19,1.4202145752434343e-05,0.0,0.0,1.7525661768050185e-05,1.8252647081189264e-05,1.7943261997612347e-05,1.7883928504167983e-05,1.783013344609743e-05
2019-07-22,7.897847057333635e-06,0.2979395470973128,1.0,1.8894375323725725e-05,1.8017207132541927e-05,1.9292269679883772e-05,1.9358695213674393e-05,1.9265029183160252e-05
2019-07-23,9.93145353263602e-06,0.007181634223032918,0.0,1.4497609144873986e-05,1.4659643957474927e-05,1.5849613252459858e-05,1.559584438770221e-05,1.5601975160895073e-05
2019-07-24,6.385882909057674e-06,0.028402283409839767,1.0,1.5158048230564182e-05,1.5246236631185005e-05,1.6155736547174414e-05,1.58947368080074e-05,1.589701189127584e-05
2019-07-25,1.634648330515627e-05,0.0,0.0,1.2018766395412257e-05,1.2433760565227215e-05,1.2561712362550068e-05,1.238778531336055e-05,1.242374835031408e-05
2019-07-26,7.20737107855141e-06,0.0,0.0,1.5316864336991008e-05,1.594768444402351e-05,1.592295754852062e-05,1.5854744021685595e-05,1.5975590674396414e-05
2019-07-29,1.3076033250480277e-05,0.0,0.0,1.2109875164165562e-05,1.3093833212840652e-05,1.212815100996498e-05,1.2118980689026121e-05,1.2253478095163605e-05
2019-07-30,1.4059012854056217e-05,0.09376604002904884,1.0,1.4304476975664161e-05,1.4990782231304362e-05,1.3849496752668953e-05,1.3861384427131206e-05,1.401623178821974e-05
2019-07-31,1.7732108251364597e-05,0.08220692280925035,1.0,1.5057919089570287e-05,1.5695397635661568e-05,1.4874571708174288e-05,1.4861708736236781e-05,1.4980950331292212e-05
2019-08-01,1.540218087573495e-05,0.10481568915825037,1.0,1.729775197896818e-05,1.7672979930223042e-05,1.663650832112931e-05,1.6656647705558602e-05,1.6773375332366858e-05
2019-08-02,3.3244763114769904e-05,0.0,0.0,1.6750503419124326e-05,1.7482931040216335e-05,1.624628105156465e-05,1.6243101834175085e-05,1.6349921827076903e-05
2019-08-05,3.829500677817939e-05,0.0,0.0,2.3063934566880203e-05,2.4151017139778406e-05,2.2410747176348405e-05,2.2651615541766975e-05,2.279377652293955e-05
2019-08-06,9.170660730961725e-05,0.0,0.0,2.7028809768475933e-05,2.8430959217981456e-05,2.6990441218063198e-05,2.7235600314192903e-05,2.739492706351911e-05
2019-08-07,4.366488509652437e-05,0.0,0.0,4.283417337974258e-05,4.4991960717216755e-05,4.410743269866661e-05,4.447147544200547e-05,4.468481962542741e-05
2019-08-08,3.9051209570933086e-05,0.13449554037788644,1.0,3.918873143601387e-05,3.928307311063441e-05,3.974461601286761e-05,3.971350596926049e-05,4.0016451721056554e-05
2019-08-12,3.7746562524667445e-05,0.09637680040537838,1.0,4.0507876074140516e-05,4.05854467294871e-05,4.0768482554711915e-05,4.080884095713496e-05,4.105797723836586e-05
2019-08-13,3.8228138012939165e-05,0.0,0.0,4.081029596923749e-05,4.178622491547374e-05,4.1799916017860404e-05,4.1839556120593115e-05,4.205508714697235e-05
2019-08-14,2.3604795720605956e-05,0.02675373684605029,1.0,4.1113332850599206e-05,4.177438105312502e-05,4.0542389110948173e-05,4.0516779928780735e-05,4.106312355494314e-05
2019-08-15,2.9150398583465902e-05,0.009174811823324804,0.0,3.1699425886560775e-05,3.230511661008122e-05,3.120944307690715e-05,3.1044825935406876e-05,3.1630460498321936e-05
2019-08-16,3.193635714291559e-05,0.0,0.0,3.179779908899864e-05,3.303982264698417e-05,3.1654502698130564e-05,3.1540388871363746e-05,3.200131473675384e-05
2019-08-19,1.1362110448386364e-05,0.1151513235410374,1.0,3.184170592909163e-05,3.2261497151850206e-05,3.10186278018086e-05,3.101147763774525e-05,3.128604671304529e-05
2019-08-20,9.412059604474365e-06,0.0004885998099179932,0.0,2.3421717310048326e-05,2.4308053021531357e-05,2.3599117601946165e-05,2.340761796165864e-05,2.370568834329666e-05
2019-08-21,1.0546810866050576e-05,0.19088056339721954,1.0,1.9883316396126017e-05,1.966976084323732e-05,1.9904329665550935e-05,1.9994721238608332e-05,2.0102151337730472e-05
2019-08-22,2.3711007903668016e-05,0.0,0.0,1.9043501514924923e-05,1.9780071986131052e-05,1.9950655527568893e-05,1.992498294167295e-05,2.0049829211768593e-05
2019-08-23,1.3215049453775847e-05,0.0,0.0,2.214364674734448e-05,2.3080738300913287e-05,2.308410780223403e-05,2.3107026009538027e-05,2.3254470191551348e-05
2019-08-26,3.1007606189876056e-05,0.0,0.0,1.733315125486251e-05,1.8460824123937038e-05,1.8306834479487732e-05,1.8411815052345545e-05,1.8575722496458644e-05
2019-08-27,9.043469071391956e-06,0.08382186133599658,1.0,2.3730402129403244e-05,2.44151261694668e-05,2.3969929433232434e-05,2.4088805454072417e-05,2.4303103392410262e-05
2019-08-28,1.1241495540220135e-05,0.0051281462377500385,0.0,1.8142919642720077e-05,1.9074267967242204e-05,1.8703587660861766e-05,1.8516588615608515e-05,1.8609190158346346e-05
2019-08-29,1.7532223785112543e-05,0.09240126632794907,1.0,1.903282671862998e-05,1.952219649426652e-05,1.866086432851868e-05,1.8577691490029416e-05,1.866120120028594e-05
2019-08-30,8.081226021506005e-06,0.007255913532663643,0.0,2.0197466343407484e-05,2.116831837058361e-05,2.0292503819686076e-05,2.022350357616426e-05,2.0397863466234173e-05
2019-09-02,1.1920384296951787e-05,0.18627006311130442,1.0,1.6543660422256322e-05,1.6392511289178637e-05,1.5974724935619966e-05,1.6048154805734054e-05,1.6222024067802186e-05
