earnings_datetime,EPS Estimate,Reported EPS,surprise_pct,yf_symbol,earnings_date
2026-08-26 20:00:00,1.49,,,A,2026-08-26 20:00:00
2026-05-27 20:00:00,1.41,1.49,5.8,A,2026-05-27 20:00:00
2026-02-25 21:00:00,1.37,1.36,-0.6,A,2026-02-25 21:00:00
2025-11-24 21:00:00,1.58,1.59,0.37,A,2025-11-24 21:00:00
2025-08-27 20:00:00,1.37,1.37,0.17,A,2025-08-27 20:00:00
2025-05-28 20:00:00,1.26,1.31,3.62,A,2025-05-28 20:00:00
2025-02-26 21:00:00,1.27,1.31,2.99,A,2025-02-26 21:00:00
2024-11-25 21:00:00,1.41,1.46,3.9,A,2024-11-25 21:00:00
2024-08-21 20:00:00,1.26,1.32,4.93,A,2024-08-21 20:00:00
2024-05-29 20:00:00,1.19,1.22,2.42,A,2024-05-29 20:00:00
2024-02-27 21:00:00,1.23,1.29,4.68,A,2024-02-27 21:00:00
2023-11-20 21:00:00,1.34,1.38,3.02,A,2023-11-20 21:00:00
2023-08-15 20:00:00,1.37,1.43,4.55,A,2023-08-15 20:00:00
2023-05-23 20:00:00,1.26,1.27,0.63,A,2023-05-23 20:00:00
2023-02-28 21:00:00,1.31,1.37,4.46,A,2023-02-28 21:00:00
2022-11-21 21:00:00,1.39,1.53,10.33,A,2022-11-21 21:00:00
2022-08-16 20:00:00,1.21,1.34,10.96,A,2022-08-16 20:00:00
2022-05-24 20:00:00,1.12,1.13,1.3,A,2022-05-24 20:00:00
2022-02-22 21:00:00,1.18,1.21,2.74,A,2022-02-22 21:00:00
2021-11-22 21:00:00,1.18,1.21,2.86,A,2021-11-22 21:00:00
2021-08-17 20:00:00,0.99,1.1,10.6,A,2021-08-17 20:00:00
2021-05-25 20:00:00,0.83,0.97,16.32,A,2021-05-25 20:00:00
2021-02-16 21:00:00,0.9,1.06,17.7,A,2021-02-16 21:00:00
2020-11-23 21:00:00,0.94,0.98,4.51,A,2020-11-23 21:00:00
2020-08-18 20:00:00,0.67,0.78,16.91,A,2020-08-18 20:00:00
2026-07-30 20:00:00,1.89,,,AAPL,2026-07-30 20:00:00
2026-04-30 20:00:00,1.94,2.01,3.46,AAPL,2026-04-30 20:00:00
2026-01-29 21:00:00,2.67,2.84,6.34,AAPL,2026-01-29 21:00:00
2025-10-30 20:00:00,1.77,1.85,4.52,AAPL,2025-10-30 20:00:00
2025-07-31 20:00:00,1.43,1.57,10.12,AAPL,2025-07-31 20:00:00
2025-05-01 20:00:00,1.62,1.65,1.69,AAPL,2025-05-01 20:00:00
2025-01-30 21:00:00,2.34,2.4,2.52,AAPL,2025-01-30 21:00:00
2024-10-31 20:00:00,0.95,0.97,2.48,AAPL,2024-10-31 20:00:00
2024-08-01 20:00:00,1.34,1.4,4.36,AAPL,2024-08-01 20:00:00
2024-05-02 20:00:00,1.5,1.53,2.05,AAPL,2024-05-02 20:00:00
2024-02-01 21:00:00,2.11,2.18,3.55,AAPL,2024-02-01 21:00:00
