state,label,event_date,event_trading_day,n_betting_tickers,n_control_tickers,betting_post5_rv_log_ratio,control_post5_rv_log_ratio,adj_post5_rv_log_ratio,betting_post22_rv_log_ratio,control_post22_rv_log_ratio,adj_post22_rv_log_ratio,adj_post5_volume_log_ratio,adj_post22_volume_log_ratio
NJ,New Jersey online launch wave,2018-08-06,2018-08-06,3,3,-0.6897093249401355,-0.758405390517877,0.06869606557774155,-0.11376840542109945,-0.368421011600798,0.25465260617969854,0.05038691959034,0.3356950362128788
PA,Pennsylvania online launch,2019-05-31,2019-05-31,3,3,0.6330322052814294,0.30999595104455563,0.3230362542368738,0.24399343045389665,-0.09311026447259985,0.3371036949264965,0.13606776842190266,0.376649042558766
IA,Iowa online launch,2019-08-15,2019-08-15,4,3,0.05777383398855519,0.12727768956106827,-0.06950385557251308,0.11011843353692127,0.15886407196280847,-0.048745638425887194,-1.1888404051483035,-0.20452735588297855
IN,Indiana online launch,2019-10-03,2019-10-03,4,3,-0.29174422063490635,0.006979023145302091,-0.2987232437802084,0.14388165340587347,-0.2424696097504798,0.38635126315635326,-0.2155261224874928,0.7521187498632032
NH,New Hampshire online launch,2019-12-30,2019-12-30,4,3,0.3044466269169329,-0.12197069928696985,0.42641732620390277,1.138425492957075,0.32165541868076497,0.81677007427631,0.4972949190278253,0.8411810564449161
CO,Colorado online launch,2020-05-01,2020-05-01,4,3,-0.599871418397065,-0.9669470300740488,0.36707561167698377,-0.3582353425836732,-0.8392286479948234,0.48099330541115026,0.7356737542811311,1.0524917728704508
IL,Illinois online launch,2020-06-18,2020-06-18,6,3,-0.33926034328485377,-0.08915494569208432,-0.25010539759276945,-0.3312328218678262,-0.08491286483545846,-0.24631995703236775,0.050229549196376885,0.019395538299181475
TN,Tennessee online-only launch,2020-11-01,2020-11-02,7,3,0.17197143534430823,0.4469732374442971,-0.2750018020999889,0.15213489748732462,-0.0011556433870009684,0.1532905408743256,-0.12573103365244315,0.1820477688318969
VA,Virginia online launch,2021-01-21,2021-01-21,7,3,0.3652669889153342,0.22549540437652352,0.1397715845388107,0.19269985698980574,0.18572263083660653,0.006977226153199206,-0.058054651334050744,-0.11372179770192532
MI,Michigan online launch,2021-01-22,2021-01-22,7,3,0.459675018293658,0.39003254621321864,0.06964247208043933,0.20876882930718188,0.21189509471358625,-0.0031262654064043716,-0.1857150721202143,-0.13070138958120187
AZ,Arizona online launch,2021-09-09,2021-09-09,7,3,-0.09892266973043427,-0.12251123460918027,0.023588564878746,-0.054945228117532094,0.40593296005694784,-0.46087818817447995,-0.17179866807411331,-0.35057733412201
CT,Connecticut online launch,2021-10-19,2021-10-19,8,3,-0.44757140499833725,-0.674986914128617,0.22741550913027975,0.04064808682902202,-0.35477533958112223,0.3954234264101443,-0.18327995767391891,-0.0031234854442704907
NY,New York online launch,2022-01-08,2022-01-10,8,3,-0.0632170122492639,-0.008846995943595106,-0.054370016305668796,0.024239425806656764,0.11266245920280822,-0.08842303339615146,-0.15021485249942526,-0.27385919760338945
LA,Louisiana online launch,2022-01-28,2022-01-28,8,3,0.28343283000682745,0.34594824033021027,-0.06251541032338281,0.17556161769612466,0.28987718901196863,-0.11431557131584397,-0.2102013154711215,-0.18456443179077048
KS,Kansas launch,2022-09-01,2022-09-01,8,3,-0.45720260774199867,0.047871412209088166,-0.5050740199510868,0.057819402966182445,0.3612462160357803,-0.30342681306959784,-0.5267654331393924,-0.34840930728290953
MD,Maryland online launch,2022-11-23,2022-11-23,8,3,-0.5484194068257066,-0.1875583875248897,-0.3608610193008168,-0.46392522250750107,-0.3820947419171959,-0.08183048059030518,0.07260919330138704,0.1100240411621039
OH,Ohio launch,2023-01-01,2023-01-03,8,3,0.34874611951076795,0.0056944633683606,0.34305165614240735,0.1197345738174645,-0.019063414028681388,0.1387979878461459,-0.07979441290839968,-0.21437700375834043
MA,Massachusetts online launch,2023-03-10,2023-03-10,8,3,0.039188222781078794,0.2465001238116508,-0.207311901030572,-0.021523997399873485,-0.056423542501870975,0.03489954510199749,-0.4365997691332434,-0.25712983671058626
KY,Kentucky online launch,2023-09-28,2023-09-28,8,3,0.09018605103512212,0.03300110839372256,0.057184942641399554,0.37110586756098785,0.182606271643436,0.18849959591755183,-0.22076563066038601,-0.17065637786150245
ME,Maine online launch,2023-11-03,2023-11-03,8,3,-0.2115839369073019,-0.017509516554722424,-0.1940744203525795,-0.1963697027036635,-0.10130036096103624,-0.09506934174262725,0.4963429765491303,0.3552351582759115
VT,Vermont online launch,2024-01-11,2024-01-11,8,3,0.221871806049332,-0.015482474774127989,0.23735428082345997,0.022752881841411415,0.15045215179691665,-0.12769926995550523,-0.05889364157750408,-0.015409342047029413
NC,North Carolina online launch,2024-03-11,2024-03-11,8,3,-0.3560795160176457,-0.3028195560614992,-0.05325995995614652,0.012459840198491438,-0.2726028600263195,0.28506270022481095,-0.2710701958930363,0.030898972772851675
MO,Missouri online launch,2025-12-01,2025-12-01,8,3,-0.43695365396158403,-0.8693438816108948,0.4323902276493108,-0.4782980577406564,-0.4031455588007183,-0.07515249893993814,-0.07548546016766483,-0.14418255587031867
