symbol,fundingTime,fundingRate,markPrice,date
BTCUSDT,1568102400000,0.0001,,2019-09-10
BTCUSDT,1568131200000,0.0001,,2019-09-10
BTCUSDT,1568160000000,0.0001,,2019-09-11
BTCUSDT,1568188800000,0.0001,,2019-09-11
BTCUSDT,1568217600000,0.0001,,2019-09-11
BTCUSDT,1568246400000,0.0001,,2019-09-12
BTCUSDT,1568275200000,0.0001,,2019-09-12
BTCUSDT,1568304000000,0.0001,,2019-09-12
BTCUSDT,1568332800000,0.0001,,2019-09-13
BTCUSDT,1568361600000,0.0001,,2019-09-13
BTCUSDT,1568390400000,0.0001,,2019-09-13
BTCUSDT,1568419200000,0.0001,,2019-09-14
BTCUSDT,1568448000000,0.0001,,2019-09-14
BTCUSDT,1568476800001,0.0001,,2019-09-14
BTCUSDT,1568505600001,0.0001,,2019-09-15
BTCUSDT,1568534400000,0.0001,,2019-09-15
BTCUSDT,1568563200000,0.0001,,2019-09-15
BTCUSDT,1568592000000,0.0001,,2019-09-16
BTCUSDT,1568620800000,0.0001,,2019-09-16
BTCUSDT,1568649600000,0.0001,,2019-09-16
BTCUSDT,1568678400000,0.0001,,2019-09-17
BTCUSDT,1568707200000,0.0001,,2019-09-17
BTCUSDT,1568736000000,0.0001,,2019-09-17
BTCUSDT,1568764800000,0.0001,,2019-09-18
BTCUSDT,1568793600000,0.0001,,2019-09-18
BTCUSDT,1568822400000,0.0001,,2019-09-18
BTCUSDT,1568851200000,0.0001,,2019-09-19
BTCUSDT,1568880000000,0.0001,,2019-09-19
BTCUSDT,1568908800000,0.0001,,2019-09-19
BTCUSDT,1568937600000,0.0001,,2019-09-20
BTCUSDT,1568966400000,0.0001,,2019-09-20
BTCUSDT,1568995200000,0.0001,,2019-09-20
BTCUSDT,1569024000000,0.0001,,2019-09-21
BTCUSDT,1569052800000,0.0001,,2019-09-21
BTCUSDT,1569081600000,0.0001,,2019-09-21
BTCUSDT,1569110400000,0.0001,,2019-09-22
BTCUSDT,1569139200000,0.0001,,2019-09-22
BTCUSDT,1569168000000,0.0001,,2019-09-22
BTCUSDT,1569196800000,0.0001,,2019-09-23
BTCUSDT,1569225600001,0.0001,,2019-09-23
BTCUSDT,1569254400000,0.0001,,2019-09-23
BTCUSDT,1569283200001,0.0001,,2019-09-24
BTCUSDT,1569312000000,0.0001,,2019-09-24
BTCUSDT,1569340800000,0.0001,,2019-09-24
BTCUSDT,1569369600000,0.0001,,2019-09-25
BTCUSDT,1569398400001,0.0001,,2019-09-25
BTCUSDT,1569427200000,0.0001,,2019-09-25
BTCUSDT,1569456000000,0.0001,,2019-09-26
BTCUSDT,1569484800000,0.0001,,2019-09-26
BTCUSDT,1569513600000,0.0001,,2019-09-26
BTCUSDT,1569542400001,0.0001,,2019-09-27
BTCUSDT,1569571200000,0.0001,,2019-09-27
BTCUSDT,1569600000000,0.0001,,2019-09-27
BTCUSDT,1569628800000,0.0001,,2019-09-28
BTCUSDT,1569657600001,0.0001,,2019-09-28
BTCUSDT,1569686400000,0.0001,,2019-09-28
BTCUSDT,1569715200000,0.0001,,2019-09-29
BTCUSDT,1569744000000,0.0001,,2019-09-29
BTCUSDT,1569772800000,0.0001,,2019-09-29
BTCUSDT,1569801600000,0.0001,,2019-09-30
BTCUSDT,1569830400000,0.0001,,2019-09-30
BTCUSDT,1569859200000,0.0001,,2019-09-30
BTCUSDT,1569888000000,0.0001,,2019-10-01
BTCUSDT,1569916800000,0.0001,,2019-10-01
BTCUSDT,1569945600001,0.0001,,2019-10-01
BTCUSDT,1569974400000,0.0001,,2019-10-02
BTCUSDT,1570003200000,0.0001,,2019-10-02
BTCUSDT,1570032000000,-0.00052458,,2019-10-02
BTCUSDT,1570060800000,-0.0003222,,2019-10-03
BTCUSDT,1570089600001,-6.876e-05,,2019-10-03
BTCUSDT,1570118400000,0.0001,,2019-10-03
BTCUSDT,1570147200001,0.0001,,2019-10-04
BTCUSDT,1570176000000,3.592e-05,,2019-10-04
BTCUSDT,1570204800000,-0.00013704,,2019-10-04
BTCUSDT,1570233600000,-0.00025688,,2019-10-05
BTCUSDT,1570262400000,-0.0002266,,2019-10-05
BTCUSDT,1570291200000,-1.226e-05,,2019-10-05
BTCUSDT,1570320000000,-0.00011057,,2019-10-06
BTCUSDT,1570348800000,-3.644e-05,,2019-10-06
