date,margin_buy_kntwd,margin_sell_kntwd,margin_cash_repay_kntwd,prev_balance_kntwd,today_balance_kntwd,twse_report_date
2014-01-02,10719223.0,10078559.0,157898.0,194476547.0,194959313.0,20140102
2014-01-03,9875716.0,8985084.0,146657.0,194959318.0,195703293.0,20140103
2014-01-06,10327406.0,9944665.0,142114.0,195704315.0,195944942.0,20140106
2014-01-07,10138275.0,8769248.0,118865.0,195944876.0,197195038.0,20140107
2014-01-08,12834658.0,11810825.0,147984.0,197194975.0,198070824.0,20140108
2014-01-09,13886654.0,13272657.0,122450.0,198070030.0,198561577.0,20140109
2014-01-10,10229496.0,9102744.0,177464.0,198561321.0,199510609.0,20140110
2014-01-13,9943236.0,9907962.0,170454.0,199510457.0,199375277.0,20140113
2014-01-14,7602369.0,6959252.0,87040.0,199375274.0,199931351.0,20140114
2014-01-15,9960270.0,9900310.0,121399.0,199931101.0,199869662.0,20140115
2014-01-16,10337913.0,10329511.0,117210.0,199331781.0,199222973.0,20140116
2014-01-17,8835991.0,8827397.0,206011.0,199620039.0,199422622.0,20140117
2014-01-20,9445657.0,9697589.0,130077.0,199422619.0,199040610.0,20140120
2014-01-21,10563687.0,10308921.0,145371.0,199043505.0,199152900.0,20140121
2014-01-22,8036165.0,8726002.0,201058.0,199149872.0,198258977.0,20140122
2014-01-23,7840299.0,7908602.0,168061.0,198258957.0,198022593.0,20140123
2014-01-24,6222523.0,6933488.0,331915.0,198022699.0,196979819.0,20140124
2014-01-27,5706889.0,7341321.0,421423.0,196982757.0,194926902.0,20140127
2014-02-05,7806695.0,5179357.0,116840.0,194870445.0,197380943.0,20140205
2014-02-06,7883967.0,6208965.0,105830.0,197377394.0,198946566.0,20140206
2014-02-07,8311564.0,7811765.0,126204.0,198946462.0,199320057.0,20140207
2014-02-10,7565060.0,7289416.0,85420.0,199385907.0,199576131.0,20140210
2014-02-11,7401607.0,7230675.0,74254.0,199576140.0,199672818.0,20140211
2014-02-12,9171487.0,9014758.0,86726.0,199672848.0,199742851.0,20140212
2014-02-13,7728819.0,7119035.0,69929.0,199742919.0,200282774.0,20140213
2014-02-14,8037856.0,8432669.0,131778.0,200591018.0,200064427.0,20140214
2014-02-17,7108347.0,6876136.0,84851.0,200079713.0,200227073.0,20140217
2014-02-18,7207233.0,6761750.0,92406.0,200226934.0,200580011.0,20140218
2014-02-19,8752783.0,8439719.0,110854.0,200579996.0,200782206.0,20140219
2014-02-20,9242835.0,8914171.0,99312.0,200782206.0,201011558.0,20140220
2014-02-21,9403720.0,9150885.0,136530.0,201011558.0,201127863.0,20140221
2014-02-24,8662603.0,8361256.0,105766.0,201127799.0,201323381.0,20140224
2014-02-25,9154696.0,8569001.0,79651.0,201319859.0,201825903.0,20140225
2014-02-26,10229741.0,9706149.0,200931.0,201825975.0,202148636.0,20140226
2014-02-27,9454230.0,9813980.0,153095.0,202148626.0,201635781.0,20140227
2014-03-03,8182932.0,7595343.0,143042.0,201635807.0,202080354.0,20140303
2014-03-04,9109177.0,8358262.0,134148.0,202080202.0,202696969.0,20140304
2014-03-05,11069759.0,10213871.0,178509.0,202697018.0,203374397.0,20140305
2014-03-06,11739872.0,11175361.0,116371.0,203373341.0,203821481.0,20140306
2014-03-07,12887529.0,13623879.0,246739.0,203821457.0,202838368.0,20140307
2014-03-10,7880463.0,7410636.0,106974.0,202838255.0,203201108.0,20140310
2014-03-11,8931047.0,8094655.0,156063.0,203200820.0,203881149.0,20140311
2014-03-12,8120997.0,7668402.0,143487.0,203881149.0,204190257.0,20140312
2014-03-13,10683592.0,9664363.0,177606.0,204190257.0,205031879.0,20140313
2014-03-14,8272040.0,7957081.0,114766.0,205031907.0,205232100.0,20140314
2014-03-17,9137366.0,8287270.0,176446.0,205232066.0,205905716.0,20140317
2014-03-18,10253224.0,10079458.0,178349.0,205905633.0,205901050.0,20140318
2014-03-19,10315804.0,10578296.0,167454.0,205903316.0,205473370.0,20140319
2014-03-20,7984108.0,7955240.0,148817.0,205473368.0,205353419.0,20140320
2014-03-21,7518426.0,7676094.0,143125.0,205353589.0,205052796.0,20140321
2014-03-24,6290421.0,7078623.0,194889.0,205052744.0,204069653.0,20140324
2014-03-25,8030597.0,7243521.0,147449.0,204062300.0,204701927.0,20140325
2014-03-26,8794612.0,8850872.0,120881.0,204709250.0,204532109.0,20140326
2014-03-27,9607481.0,8525853.0,93662.0,204532109.0,205520075.0,20140327
2014-03-28,9160845.0,10014120.0,138828.0,205520431.0,204528328.0,20140328
2014-03-31,6861836.0,7327362.0,101693.0,204528181.0,203960962.0,20140331
