end,val,form,filed,accn
2012-12-31,16.04,10-K,2023-02-07,0001287750-23-000010
2013-12-31,16.46,10-K,2023-02-07,0001287750-23-000010
2014-12-31,16.82,10-K,2023-02-07,0001287750-23-000010
2015-12-31,16.46,10-K,2023-02-07,0001287750-23-000010
2016-12-31,16.45,10-K,2023-02-07,0001287750-23-000010
2017-12-31,16.65,10-K,2023-02-07,0001287750-23-000010
2018-12-31,17.12,10-K,2023-02-07,0001287750-23-000010
2019-12-31,17.32,10-K,2023-02-07,0001287750-23-000010
2020-12-31,16.97,10-Q,2022-10-25,0001287750-22-000052
2021-09-30,18.52,10-Q,2022-10-25,0001287750-22-000052
2021-12-31,18.96,10-Q,2022-10-25,0001287750-22-000052
2022-03-31,19.03,10-Q,2023-04-25,0001287750-23-000021
2022-06-30,18.81,10-Q,2023-07-25,0001287750-23-000036
2022-09-30,18.56,10-Q,2022-10-25,0001287750-22-000052
2022-12-31,18.4,10-K,2023-02-07,0001287750-23-000010
2023-03-31,18.45,10-Q,2023-04-25,0001287750-23-000021
2023-06-30,18.58,10-Q,2023-07-25,0001287750-23-000036
2023-09-30,18.99,10-Q,2023-10-24,0001287750-23-000045
2023-12-31,19.24,10-K,2024-02-07,0001287750-24-000011
2024-03-31,19.53,10-Q,2024-05-01,0001287750-24-000028
2024-06-30,19.61,10-Q,2024-07-30,0001287750-24-000039
2024-09-30,19.77,10-Q,2024-10-30,0001287750-24-000054
2024-12-31,19.89,10-K,2025-02-05,0001287750-25-000007
2025-03-31,19.82,10-Q,2025-04-29,0001287750-25-000020
2025-06-30,19.9,10-Q,2025-07-29,0001287750-25-000038
2025-09-30,20.01,10-Q,2025-10-28,0001287750-25-000046
2025-12-31,19.94,10-K,2026-02-04,0001287750-26-000006
2026-03-31,19.59,10-Q,2026-04-28,0001628280-26-027688
