end,val,form,filed,accn
2017-12-31,37.2,10-K,2023-02-27,0001628280-23-005258
2018-12-31,31.35,10-K,2023-02-27,0001628280-23-005258
2019-12-31,30.54,10-K,2023-02-27,0001628280-23-005258
2020-12-31,25.02,10-Q,2022-11-07,0001628280-22-028670
2021-12-31,27.17,10-Q,2022-11-07,0001628280-22-028670
2022-09-30,25.3,10-Q,2022-11-07,0001628280-22-028670
2022-12-31,24.89,10-K,2023-02-27,0001628280-23-005258
2023-03-31,24.93,10-Q,2023-05-05,0001628280-23-015965
2023-06-30,24.69,10-Q,2023-08-07,0001628280-23-027800
2023-09-30,24.89,10-Q,2023-11-06,0001628280-23-037067
2023-12-31,24.46,10-K,2024-02-26,0001628280-24-006912
2024-03-31,24.32,10-Q,2024-05-08,0001628280-24-021724
2024-06-30,23.95,10-Q,2024-08-06,0001628280-24-035234
2024-09-30,23.82,10-Q,2024-11-06,0001628280-24-045744
2024-12-31,23.64,10-K,2025-02-26,0001628280-25-008175
2025-03-31,23.37,10-Q,2025-05-07,0001628280-25-023202
2025-06-30,21.93,10-Q,2025-08-06,0001628280-25-038368
2025-09-30,21.99,10-Q,2025-11-05,0001628280-25-049617
2025-12-31,20.89,10-K,2026-02-25,0001628280-26-011734
2026-03-31,18.83,10-Q,2026-05-11,0001628280-26-033118
