end,val,form,filed,accn
2017-06-30,9.32,10-Q,2022-11-09,0001287032-22-000375
2018-06-30,9.35,10-Q,2022-11-09,0001287032-22-000375
2019-06-30,9.01,10-Q,2022-11-09,0001287032-22-000375
2020-06-30,8.18,10-Q,2022-11-09,0001287032-22-000375
2021-06-30,9.81,10-Q,2022-11-09,0001287032-22-000375
2021-09-30,10.12,10-Q,2022-11-09,0001287032-22-000375
2021-12-31,10.6,10-Q,2023-02-08,0001287032-23-000036
2022-03-31,10.81,10-Q,2023-05-09,0001287032-23-000161
2022-06-30,10.48,10-Q,2022-11-09,0001287032-22-000375
2022-09-30,10.01,10-Q,2022-11-09,0001287032-22-000375
2022-12-31,9.94,10-Q,2023-02-08,0001287032-23-000036
2023-03-31,9.48,10-Q,2023-05-09,0001287032-23-000161
2023-06-30,9.24,10-K,2023-09-08,0001287032-23-000283
2023-09-30,9.25,10-Q,2024-02-08,0001287032-24-000043
2023-12-31,8.92,10-Q,2024-02-08,0001287032-24-000043
2024-03-31,8.99,10-Q,2024-05-08,0001287032-24-000152
2024-06-30,8.74,10-K,2024-08-28,0001287032-24-000280
2024-09-30,8.1,10-Q,2024-11-08,0001287032-24-000408
2024-12-31,7.84,10-Q,2025-02-10,0001287032-25-000012
2025-03-31,7.25,10-Q,2025-05-08,0001287032-25-000115
2025-06-30,6.56,10-K,2025-08-26,0001287032-25-000232
2025-09-30,6.45,10-Q,2025-11-06,0001287032-25-000339
2025-12-31,6.21,10-Q,2026-02-09,0001287032-26-000045
2026-03-31,6.05,10-Q,2026-05-07,0001287032-26-000164
