date,company_search,anchor_search
2021-06-27,16,6
2021-07-04,27,9
2021-07-11,21,12
2021-07-18,23,14
2021-07-25,35,13
2021-08-01,22,8
2021-08-08,19,7
2021-08-15,20,13
2021-08-22,19,10
2021-08-29,18,8
2021-09-05,18,8
2021-09-12,16,12
2021-09-19,19,16
2021-09-26,17,13
2021-10-03,19,15
2021-10-10,16,11
2021-10-17,17,10
2021-10-24,33,11
2021-10-31,19,9
2021-11-07,20,9
2021-11-14,22,7
2021-11-21,16,10
2021-11-28,17,17
2021-12-05,19,13
2021-12-12,16,15
2021-12-19,13,9
2021-12-26,16,10
2022-01-02,21,11
2022-01-09,22,14
2022-01-16,28,16
2022-01-23,40,28
2022-01-30,70,14
2022-02-06,40,14
2022-02-13,27,16
2022-02-20,26,23
2022-02-27,22,14
2022-03-06,52,18
2022-03-13,36,20
2022-03-20,29,12
2022-03-27,28,14
2022-04-03,27,13
2022-04-10,24,9
2022-04-17,30,15
2022-04-24,64,18
2022-05-01,51,19
2022-05-08,57,25
2022-05-15,39,22
2022-05-22,50,21
2022-05-29,39,15
2022-06-05,55,15
2022-06-12,47,24
2022-06-19,32,14
2022-06-26,25,15
2022-07-03,22,12
2022-07-10,26,15
2022-07-17,33,17
2022-07-24,54,17
2022-07-31,37,12
2022-08-07,32,14
2022-08-14,29,11
2022-08-21,24,16
2022-08-28,20,16
2022-09-04,17,12
2022-09-11,27,16
2022-09-18,24,17
2022-09-25,24,17
2022-10-02,20,19
2022-10-09,21,18
2022-10-16,22,17
2022-10-23,74,14
2022-10-30,46,18
2022-11-06,45,16
2022-11-13,36,12
2022-11-20,24,10
2022-11-27,24,13
2022-12-04,23,11
2022-12-11,29,18
2022-12-18,26,15
2022-12-25,22,12
2023-01-01,27,15
2023-01-08,29,13
2023-01-15,29,13
2023-01-22,36,14
2023-01-29,62,17
2023-02-05,34,16
2023-02-12,27,17
2023-02-19,22,13
2023-02-26,19,15
2023-03-05,23,17
2023-03-12,28,18
2023-03-19,27,16
2023-03-26,25,13
2023-04-02,23,12
2023-04-09,27,13
2023-04-16,32,13
2023-04-23,68,16
2023-04-30,31,15
2023-05-07,34,15
2023-05-14,37,14
2023-05-21,38,13
2023-05-28,37,13
2023-06-04,35,14
2023-06-11,36,15
2023-06-18,32,13
2023-06-25,32,13
2023-07-02,22,13
2023-07-09,35,13
2023-07-16,31,15
2023-07-23,35,16
2023-07-30,58,13
2023-08-06,34,13
2023-08-13,29,17
2023-08-20,25,13
2023-08-27,22,14
2023-09-03,18,8
2023-09-10,31,11
2023-09-17,23,14
2023-09-24,27,16
2023-10-01,23,16
2023-10-08,21,13
2023-10-15,22,15
2023-10-22,50,17
2023-10-29,35,13
2023-11-05,32,12
2023-11-12,33,15
2023-11-19,24,7
2023-11-26,28,13
2023-12-03,21,13
2023-12-10,27,16
2023-12-17,33,16
2023-12-24,16,17
2023-12-31,22,11
2024-01-07,31,13
2024-01-14,23,13
2024-01-21,31,14
2024-01-28,68,14
2024-02-04,41,12
2024-02-11,34,15
2024-02-18,32,13
2024-02-25,34,13
2024-03-03,33,15
2024-03-10,28,14
2024-03-17,31,16
2024-03-24,28,11
2024-03-31,34,13
2024-04-07,33,16
2024-04-14,31,18
2024-04-21,39,15
2024-04-28,62,15
2024-05-05,38,14
2024-05-12,43,14
2024-05-19,34,14
2024-05-26,22,11
2024-06-02,34,10
2024-06-09,31,12
2024-06-16,24,11
2024-06-23,44,11
2024-06-30,31,11
2024-07-07,36,12
2024-07-14,36,14
2024-07-21,35,14
2024-07-28,58,15
2024-08-04,52,27
2024-08-11,36,13
2024-08-18,32,17
2024-08-25,28,14
2024-09-01,26,15
2024-09-08,30,17
2024-09-15,37,20
2024-09-22,31,15
2024-09-29,26,12
2024-10-06,30,13
2024-10-13,27,12
2024-10-20,27,14
2024-10-27,57,13
2024-11-03,59,18
2024-11-10,47,17
2024-11-17,34,14
2024-11-24,29,11
2024-12-01,42,13
2024-12-08,41,12
2024-12-15,38,18
2024-12-22,22,14
2024-12-29,25,15
2025-01-05,25,17
2025-01-12,28,18
2025-01-19,31,14
2025-01-26,49,21
2025-02-02,61,23
2025-02-09,39,14
2025-02-16,33,16
2025-02-23,37,21
2025-03-02,43,34
2025-03-09,47,35
2025-03-16,33,20
2025-03-23,36,21
2025-03-30,65,46
2025-04-06,70,64
2025-04-13,34,23
2025-04-20,48,34
2025-04-27,63,24
2025-05-04,36,22
2025-05-11,56,26
2025-05-18,36,22
2025-05-25,31,22
2025-06-01,36,21
2025-06-08,32,18
2025-06-15,31,16
2025-06-22,33,19
2025-06-29,30,13
2025-07-06,37,15
2025-07-13,29,15
2025-07-20,34,18
2025-07-27,61,23
2025-08-03,47,20
2025-08-10,33,19
2025-08-17,31,19
2025-08-24,30,13
2025-08-31,29,15
2025-09-07,34,14
2025-09-14,32,16
2025-09-21,34,14
2025-09-28,29,15
2025-10-05,32,19
2025-10-12,31,20
2025-10-19,41,15
2025-10-26,100,19
2025-11-02,56,20
2025-11-09,43,17
2025-11-16,43,23
2025-11-23,33,15
2025-11-30,34,15
2025-12-07,28,15
2025-12-14,28,12
2025-12-21,20,10
2025-12-28,18,10
2026-01-04,37,16
2026-01-11,33,15
2026-01-18,24,16
2026-01-25,44,17
2026-02-01,75,19
2026-02-08,44,16
2026-02-15,37,11
2026-02-22,38,18
2026-03-01,35,22
2026-03-08,30,20
2026-03-15,34,19
2026-03-22,29,23
2026-03-29,27,21
2026-04-05,46,21
2026-04-12,53,20
2026-04-19,55,19
2026-04-26,83,19
2026-05-03,53,16
2026-05-10,39,16
2026-05-17,35,15
2026-05-24,32,14
2026-05-31,38,18
2026-06-07,32,22
2026-06-14,29,15
2026-06-21,31,16
2026-06-28,25,11
