date,exchange,asset,quote,open,high,low,close,volume
2024-07-21,kraken,BTC,USD,67166.1,68313.0,65857.0,68137.1,1510.0800522
2024-07-22,kraken,BTC,USD,68137.2,68531.4,66600.0,67595.1,1381.72971405
2024-07-23,kraken,BTC,USD,67595.2,67761.1,65458.8,65900.8,2538.76002268
2024-07-24,kraken,BTC,USD,65900.8,67098.3,65134.4,65367.0,1565.37594373
2024-07-25,kraken,BTC,USD,65360.4,66090.9,63427.5,65795.4,1783.90500659
2024-07-26,kraken,BTC,USD,65794.2,69000.0,65755.6,67914.7,2487.78967158
2024-07-27,kraken,BTC,USD,67914.7,69398.3,66624.3,67900.8,3068.23357372
2024-07-28,kraken,BTC,USD,67912.9,68282.0,67090.9,68250.0,995.06551127
2024-07-29,kraken,BTC,USD,68250.0,69985.0,66429.9,66755.3,2738.33894061
2024-07-30,kraken,BTC,USD,66755.4,66973.7,65337.5,66175.1,1726.18820443
2024-07-31,kraken,BTC,USD,66175.1,66799.9,64524.6,64638.1,1565.48572184
2024-08-01,kraken,BTC,USD,64638.1,65550.0,62250.0,65300.0,2421.32198213
2024-08-02,kraken,BTC,USD,65300.1,65500.0,61205.0,61409.9,2656.60031785
2024-08-03,kraken,BTC,USD,61410.0,62126.7,59826.5,60688.5,2560.01992687
2024-08-04,kraken,BTC,USD,60688.6,61040.4,57176.3,58103.0,1993.41704536
2024-08-05,kraken,BTC,USD,58103.1,58270.3,49111.0,54006.5,10612.00555526
2024-08-06,kraken,BTC,USD,54012.4,57056.5,53978.6,56080.0,3145.82396579
2024-08-07,kraken,BTC,USD,56080.0,57720.8,54556.5,55091.0,2780.75950654
2024-08-08,kraken,BTC,USD,55138.1,62700.0,54760.3,61704.7,3570.74854621
2024-08-09,kraken,BTC,USD,61701.9,61732.2,59572.9,60859.9,3535.85878338
2024-08-10,kraken,BTC,USD,60859.9,61444.6,60284.3,60951.7,745.15375745
2024-08-11,kraken,BTC,USD,60951.8,61800.0,58329.9,58717.7,1657.2962015
2024-08-12,kraken,BTC,USD,58717.7,60658.4,57690.0,59359.9,1772.47497441
2024-08-13,kraken,BTC,USD,59359.5,61555.0,58441.2,60600.0,2442.99193825
2024-08-14,kraken,BTC,USD,60600.1,61773.4,58500.0,58693.6,2297.26406239
2024-08-15,kraken,BTC,USD,58693.7,59885.4,56117.7,57554.9,2578.85459852
2024-08-16,kraken,BTC,USD,57555.0,59800.0,57100.9,58898.4,1659.79839491
2024-08-17,kraken,BTC,USD,58895.6,59682.2,58812.4,59473.3,456.34171482
2024-08-18,kraken,BTC,USD,59473.4,60234.4,58451.6,58466.5,812.95931566
2024-08-19,kraken,BTC,USD,58466.5,59593.0,57860.8,59493.7,1313.0208045
2024-08-20,kraken,BTC,USD,59493.7,61391.9,58572.7,59023.3,2101.76376736
2024-08-21,kraken,BTC,USD,59023.3,61800.0,58844.0,61179.7,2153.31118019
2024-08-22,kraken,BTC,USD,61179.8,61416.7,59805.7,60391.1,1586.14888616
2024-08-23,kraken,BTC,USD,60391.1,64950.9,60390.0,64087.4,3155.25945614
2024-08-24,kraken,BTC,USD,64087.5,64481.2,63641.0,64176.0,953.24449315
2024-08-25,kraken,BTC,USD,64176.1,65070.7,63834.5,64288.1,707.02067492
2024-08-26,kraken,BTC,USD,64288.1,64455.5,62851.0,62854.7,1136.40633879
2024-08-27,kraken,BTC,USD,62851.1,63200.0,58009.6,59458.0,2317.8799107
2024-08-28,kraken,BTC,USD,59458.0,60216.2,57870.8,59025.6,1959.75911169
2024-08-29,kraken,BTC,USD,59025.6,61143.1,58717.4,59385.5,1464.07565396
2024-08-30,kraken,BTC,USD,59385.5,59899.0,57755.0,59105.0,1521.27611375
2024-08-31,kraken,BTC,USD,59110.0,59443.0,58736.9,58972.3,558.76100338
2024-09-01,kraken,BTC,USD,58972.3,59026.7,57210.0,57321.2,1772.08376068
2024-09-02,kraken,BTC,USD,57318.5,59388.0,57124.2,59128.6,1728.8002215
2024-09-03,kraken,BTC,USD,59128.7,59773.0,57406.4,57497.6,1444.7019588
2024-09-04,kraken,BTC,USD,57482.4,58508.0,55617.7,57970.0,2253.64124921
2024-09-05,kraken,BTC,USD,57970.1,58285.9,55601.5,56163.9,2115.36409133
2024-09-06,kraken,BTC,USD,56163.9,56964.1,52569.0,53948.3,3806.68584457
2024-09-07,kraken,BTC,USD,53948.3,54810.2,53739.0,54146.4,1015.36745899
2024-09-08,kraken,BTC,USD,54146.5,55317.6,53636.6,54856.8,980.64078512
2024-09-09,kraken,BTC,USD,54856.9,58050.8,54580.3,57062.7,1806.65055351
2024-09-10,kraken,BTC,USD,57062.7,58000.0,56440.2,57630.0,1234.54187638
2024-09-11,kraken,BTC,USD,57630.0,57990.0,55548.1,57350.6,2108.12975023
2024-09-12,kraken,BTC,USD,57350.7,58546.4,57339.0,58133.1,1392.83982615
2024-09-13,kraken,BTC,USD,58133.4,60657.4,57658.3,60581.0,2992.83088973
2024-09-14,kraken,BTC,USD,60581.1,60650.0,59478.3,60000.1,1011.96700566
2024-09-15,kraken,BTC,USD,60000.2,60350.0,58679.1,59135.1,911.81154664
2024-09-16,kraken,BTC,USD,59135.1,59176.7,57488.7,58197.2,1394.86006272
2024-09-17,kraken,BTC,USD,58197.3,61300.0,57619.9,60317.2,2381.81722631
2024-09-18,kraken,BTC,USD,60317.1,61777.7,59164.6,61777.7,2374.42823592
2024-09-19,kraken,BTC,USD,61777.7,63840.0,61599.2,62922.1,2674.7679481
2024-09-20,kraken,BTC,USD,62922.2,64087.0,62373.3,63210.2,2234.54850294
2024-09-21,kraken,BTC,USD,63210.3,63539.5,62801.0,63376.1,1769.28073004
2024-09-22,kraken,BTC,USD,63376.1,64000.0,62440.6,63615.2,2192.35369043
2024-09-23,kraken,BTC,USD,63615.2,64777.3,62643.0,63332.4,2429.20341709
