date,rv_aligned,active_delivery,n_returns,anchor_ok,rolled
2017-01-04,9.813820144516154e-06,201701,61,True,False
2017-01-05,2.4655863531018274e-05,201701,62,True,False
2017-01-06,6.684499070158993e-06,201701,62,True,False
2017-01-09,2.7139920172961643e-05,201701,61,True,False
2017-01-10,1.2346964057331774e-05,201701,62,True,False
2017-01-11,3.530344624075214e-05,201701,62,True,False
2017-01-12,2.797268136005002e-05,201701,62,True,False
2017-01-13,1.7530576708792653e-05,201701,62,True,False
2017-01-16,3.9762193297482834e-05,201701,62,True,False
2017-01-17,8.77040516020974e-06,201701,61,True,False
2017-01-18,6.930541756823607e-06,201702,61,True,True
2017-01-19,2.210054590125837e-05,201702,61,True,False
2017-01-20,1.605615770597181e-05,201702,62,True,False
2017-01-23,3.823446825156341e-05,201702,62,True,False
2017-01-24,7.471401160790267e-06,201702,62,True,False
2017-02-02,6.533987245643622e-05,201702,62,True,False
2017-02-03,5.337476203471752e-05,201702,61,True,False
2017-02-06,2.622769584822435e-05,201702,62,True,False
2017-02-07,1.085760560281053e-05,201702,62,True,False
2017-02-08,3.3470460827300754e-05,201702,61,True,False
2017-02-09,2.1182057389422046e-05,201702,62,True,False
2017-02-10,2.499587836088933e-05,201702,62,True,False
2017-02-13,1.521780695857129e-05,201702,62,True,False
2017-02-14,3.0225125460918736e-05,201702,62,True,False
2017-02-15,2.0708160708590714e-05,201703,61,True,True
2017-02-16,4.296124983126497e-05,201703,62,True,False
2017-02-17,1.688567263760845e-05,201703,62,True,False
2017-02-18,5.997498936325518e-06,201703,62,True,False
2017-02-20,1.5510247712730545e-05,201703,61,True,False
2017-02-21,1.3086426499426796e-05,201703,61,True,False
2017-02-22,2.67516891719864e-05,201703,62,True,False
2017-02-23,2.011262329098316e-05,201703,61,True,False
2017-02-24,1.8425141499591975e-05,201703,62,True,False
2017-03-01,3.040271352162942e-05,201703,62,True,False
2017-03-02,9.165794770500821e-05,201703,61,True,False
2017-03-03,5.251339388110288e-05,201703,62,True,False
2017-03-06,2.0381809113927764e-05,201703,61,True,False
2017-03-07,1.8630597696429154e-05,201703,62,True,False
2017-03-08,1.1564143259051662e-05,201703,61,True,False
2017-03-09,2.364956621801967e-05,201703,61,True,False
2017-03-10,3.67929470728529e-05,201703,62,True,False
2017-03-13,2.1635133238258526e-05,201703,62,True,False
2017-03-14,1.7320901914214717e-05,201703,62,True,False
2017-03-15,1.2470956881182935e-05,201703,61,True,False
2017-03-16,7.025916408407384e-05,201704,62,True,True
2017-03-17,1.759401748909228e-05,201704,62,True,False
2017-03-20,1.6680232786316813e-05,201704,62,True,False
2017-03-21,1.849634720949397e-05,201704,62,True,False
2017-03-22,6.361490845179918e-05,201704,62,True,False
2017-03-23,4.041576346746456e-05,201704,62,True,False
2017-03-24,1.888083852492262e-05,201704,62,True,False
2017-03-27,3.161134778766621e-05,201704,62,True,False
2017-03-28,6.596322991276537e-05,201704,62,True,False
2017-03-29,1.1958664042549661e-05,201704,62,True,False
2017-03-30,1.8459988812107865e-05,201704,62,True,False
2017-03-31,1.0229384072271545e-05,201704,61,True,False
2017-04-05,2.5292289288681397e-05,201704,62,True,False
2017-04-06,2.289137386667073e-05,201704,62,True,False
2017-04-07,5.412087658004126e-05,201704,62,True,False
2017-04-10,2.0258164162798194e-05,201704,61,True,False
2017-04-11,2.339230541982824e-05,201704,61,True,False
2017-04-12,1.316845082034517e-05,201704,62,True,False
2017-04-13,3.4746061128664206e-05,201704,62,True,False
2017-04-14,5.359290191368948e-05,201704,62,True,False
2017-04-17,2.9692500160556465e-05,201704,62,True,False
2017-04-18,3.308073928183602e-05,201704,62,True,False
2017-04-19,6.631894713133529e-05,201704,61,True,False
2017-04-20,3.330942967465005e-05,201705,62,True,True
2017-04-21,3.8525366149780507e-05,201705,61,True,False
2017-04-24,4.6634171703629574e-05,201705,62,True,False
2017-04-25,2.622413798149499e-05,201705,62,True,False
2017-04-26,4.2144222466299094e-05,201705,62,True,False
2017-04-27,1.1318781009773919e-05,201705,62,True,False
2017-04-28,1.419473638376819e-05,201705,62,True,False
2017-05-02,3.963273046023056e-05,201705,62,True,False
2017-05-03,4.031857149891732e-06,201705,62,True,False
2017-05-04,1.233506549700777e-05,201705,62,True,False
2017-05-05,1.2848812429250427e-05,201705,61,True,False
2017-05-08,4.103688370603303e-05,201705,62,True,False
2017-05-09,2.9730133772958875e-05,201705,62,True,False
2017-05-10,1.8311316389641802e-05,201705,61,True,False
2017-05-11,1.2547648152915562e-05,201705,61,True,False
2017-05-12,6.626213118267938e-06,201705,62,True,False
2017-05-15,8.499249556921512e-06,201705,61,True,False
2017-05-16,8.80475997001198e-06,201705,212,True,False
2017-05-17,2.191031227740324e-05,201705,193,True,False
2017-05-18,2.969190539195287e-05,201706,230,True,True
2017-05-19,1.9409202675029e-05,201706,230,True,False
2017-05-22,8.72608726235709e-06,201706,230,True,False
2017-05-23,1.2219551583520982e-05,201706,228,True,False
2017-05-24,7.373270660899979e-06,201706,224,True,False
2017-05-25,1.0029808583085411e-05,201706,223,True,False
2017-05-26,1.8859650637015405e-05,201706,229,True,False
2017-05-31,1.6574614152050675e-05,201706,223,True,False
2017-06-01,1.4630880458491829e-05,201706,230,True,False
2017-06-02,1.8264251542177837e-05,201706,226,True,False
