date,added,removed,reason
1976-07-01,DIS,AYE,"Major restructuring of S&P 500 to have fewer industrials and utilities, and more financial companies to add ""new strength and breadth""[280]"
1976-07-01,BUD,HNG,"Major restructuring of S&P 500 to have fewer industrials and utilities, and more financial companies to add ""new strength and breadth""[280]"
1994-09-30,NCC,MCK,McKesson sold PCS Health Services to Eli Lilly.[279]
1997-06-17,CCR,USL,AIG acquired USLife.[278]
1998-12-11,CCL,GRN,Berkshire Hathaway purchased General Re.[277]
1998-12-11,CPWR,SUN,AIG purchased SunAmerica.[277]
1998-12-11,FSR,AN,BP purchased Amoco.[277]
1999-04-12,ACT,,Actavis plc (NYSE:ACT) added to S&P 500
1999-06-09,WLP,HPH,Harnischfeger filed for bankruptcy.[276]
1999-12-08,YHOO,LDW,Market capitalization change.[275]
2000-06-07,SBUX,SMS,Siemens AG acquired Shared Medical Systems.[274]
2000-06-12,CVG,TMC,Tribune Co. acquired Times Mirror.[274]
2000-07-27,JDSU,RAD,Market Cap change.[273]
2000-12-05,SBL,OI,Market Cap changes.
2000-12-05,INTU,BS,Market Cap changes.[272]
2000-12-05,ABK,CCK,Market Cap changes.
2000-12-05,AYE,GRA,Market Cap changes.
2003-09-25,ESRX,QTRN,Taken private
2005-07-01,STZ,GLK,Acquired by Crompton Corp.
2005-11-18,AMZN,T,AT&T Corp. acquired by SBC Communications[271]
2006-06-02,JNPR,ABS,Albertsons acquired by SuperValu and CVS Corp.[270]
2007-01-10,AVB,SBL,Acquired by Motorola[269]
2007-03-30,KFT,TSG,Taken Private[268]
2007-07-02,DFS,ADCT,Discover Financial Services debuts on New York Stock Exchange.[267]
2007-08-24,LUK,KSE,Acquired by National Grid plc[266]
2007-09-26,ICE,FDC,FDC acquired by KKR.[265]
2007-09-27,TSO,MXIM,MXIM delisted from NASDAQ exchange.[265]
2007-10-01,TDC,NCR,Teradata spun off by NCR Corporation.[265]
2007-10-02,EXPE,SLR,Solectron acquired by Flextronics.[265]
2007-10-26,JEC,AV,Taken private[264]
2007-12-13,GME,DJ,Acquired by News Corporation
2007-12-20,RRC,TRB,Taken private[263]
2008-06-10,LO,ABK,Market Value Decline[262]
2008-06-23,MEE,OMX,Market capitalization change.[261]
2008-06-23,COG,BC,Market capitalization change.[261]
2008-07-01,AKS,CFC,Ak Steel replaced Countrywide Financial.[260]
2008-09-12,FAST,FNM,Capitalization rebalance.[259]
2008-09-12,CRM,FRE,Capitalization rebalance.[259]
2008-09-16,HRS,LEH,Lehman Brothers filed for bankruptcy.[258]
2008-12-31,OI,WB,Wachovia Bank acquired by Wells Fargo.[257]
2009-03-03,HRL,ACAS,Capitalization rebalance.[256]
2009-03-03,VTR,JNY,Capitalization rebalance.
2009-06-05,FTI,COV,"Covidien moved its place of incorporation to Ireland, making it ineligible for inclusion in the index.[255]"
2009-06-25,,TEL,"Tyco Electronics left the index because it was reincorporating in Switzerland, making it ineligible for inclusion.[254]"
2009-06-29,PCS,,PCS replaced TEL.[254]
2009-08-19,FMC,CTX,Centex acquired by Pulte Homes.[253]
2009-09-28,ARG,CBE,Redomesticated to Ireland[252]
2009-11-03,PCLN,SGP,Acquired by Merck & Co. (MRK)[251]
2009-12-18,MJN,DYN,Market capitalization change.[citation needed]
2009-12-18,V,CIEN,Market capitalization change.[citation needed]
2009-12-18,SAI,CVG,Market capitalization change.[citation needed]
2009-12-18,CLF,KBH,Market capitalization change.[citation needed]
2009-12-18,ROST,MBI,Market capitalization change.[citation needed]
2010-02-26,HP,RX,Taken private
2010-04-29,CERN,BJS,Acquired by Baker Hughes[250]
2010-06-28,KMX,XTO,Acquired by ExxonMobil[249]
2010-06-30,QEP,STR,"Company split. QEP retained, but ticker changed.[248]"
2010-07-14,CB,MIL,Acquired by Merck KGaA (MKGAY)[247]
2010-08-26,TYC,SII,Acquired by Schlumberger (SLB)[246]
2010-11-17,IR,PTV,Reynolds Group Holdings acquired Pactiv.[245]
2010-12-17,NFX,NYT,Market Cap changes.
2010-12-17,NFLX,ODP,Market Cap changes.
2010-12-17,FFIV,EK,Market Cap changes.[244]
2010-12-17,CVC,KG,Acquired by Pfizer.[244]
2011-01-03,MMI,MDP,S&P constituent Motorola spun off Motorola Mobility.[243]
2011-02-25,JOYG,AYE,Acquired by First Energy (FE).[242]
2011-02-28,COV,MFE,Acquired by Intel[241]
2011-03-31,EW,Q,Acquired by CenturyLink[240]
2011-04-01,BLK,GENZ,Acquired by Sanofi Aventis (SNY)[239]
2011-04-27,CMG,NOVL,Acquired by private equity firms.[238]
2011-06-01,ANR,MEE,Alpha Natural Resources acquired Massey Energy.[237]
2011-06-30,MPC,RSH,Market capitalization adjustments.[236]
2011-07-05,ACN,MI,Marshall & Iisley is being bought by Bank of Montreal[235]
2011-09-23,MOS,NSM,Acquired by Texas Instruments (TXN).[234]
2011-10-14,TEL,CEPH,Acquired by Teva Pharmaceutical Industries (TEVA).[233]
2011-10-31,XYL,ITT,Spun off from ITT Corp.[232]
2011-11-18,CBE,JNS,Janus Capital Group's market capitalization is less than $1.2 billion  and is no longer representative of the large cap market space.[231]
2011-12-12,GAS,GAS,"Nicor acquired by AGL, which retained the GAS ticker.[230]"
2011-12-16,DLTR,WFR,Market capitalization changes
2011-12-16,PRGO,MWW,Market capitalization changes
2011-12-16,BWA,AKS,Market capitalization changes[229]
2011-12-20,TRIP,TLAB,Expedia spun off TripAdvisor.[228]
2011-12-31,WPX,CPWR,Market capitalization changes[227]
2012-03-13,CCI,CEG,Acquired by Exelon Corp. (EXC)[226]
2012-04-03,FOSL,MHS,Acquired by Express Scripts (ESRX)[225]
2012-04-23,PSX,SVU,ConocoPhillips spun off Phillips 66[224]
2012-05-17,KMI,EP,Acquired by Kinder Morgan (KMI)[223]
2012-05-21,ALXN,MMI,Acquired by Google (GOOG)[222]
2012-06-05,LRCX,NVLS,Acquired by Lam Research (LRCX)[221]
2012-06-29,MNST,SLE,Split up of Sara Lee[220]
2012-07-02,STX,PGN,Acquired by Duke Energy (DUK)[219]
2012-07-31,ESV,GR,Goodrich acquired by United Technologies (UTX).[218]
2012-09-05,LYB,SHLD,SHLD below public float threshold
2012-10-01,PNR,DV,Tyco spin-off merged w/Pentair
2012-10-01,ADT,LXK,Tyco spun off ADT
2012-10-02,MDLZ,KFT,Old Kraft Foods renamed Mondelez[217]
2012-10-02,KRFT,ANR,Kraft split into two companies[216]
2012-10-10,PETM,SUN,Acquired by Energy Transfer Partners (ETP)[215]
2012-12-03,DG,CBE,Acquired by Eaton Corp. (ETN)[214]
2012-12-11,GRMN,RRD,Market capitalization changes[213]
2012-12-21,DLPH,TIE,TIE acquired by Precision Cast Parts (PCP)[212]
2013-01-02,ABBV,FII,ABBV spun off from Abbott Labs (ABT)[211]
2013-02-15,PVH,BIG,Market capitalization changes[210]
2013-04-30,REGN,PCS,A majority of MetroPCS was acquired by T-Mobile[209]
2013-05-08,MAC,CVH,Acquired by Aetna (AET)[208]
2013-05-23,KSU,DF,DF too small after spinoff of White Wave Foods[207]
2013-06-06,GM,HNZ,HNZ acquired by consortium[206]
2013-06-21,ZTS,FHN,Zoetis spun off by Pfizer[205]
2013-07-01,NWSA,APOL,Apollo Group's market cap more representative of a mid-cap[204]
2013-07-08,NLSN,S,Softbank consortium purchase results in public float below 50%[203]
2013-09-10,DAL,BMC,BMC taken private by consortium[202]
2013-09-20,AME,SAI,Market capitalization change.[201]
2013-09-20,VRTX,AMD,Market capitalization change.[201]
2013-10-29,RIG,DELL,Founder Michael Dell and Silver Lake Partners acquired Dell.[200]
2013-11-13,KORS,NYX,ICE Exchange acquired NYSE Euronext.[199]
2013-12-02,ALLE,JCP,Allegion spun off by Ingersoll Rand.[198]
2013-12-10,GGP,MOLX,MOLX acquired by Koch Industries.[197]
2013-12-23,ADS,ANF,Market capitalization changes.[196]
2013-12-23,MHK,JDSU,Market capitalization changes.[196]
2013-12-23,FB,TER,Market capitalization changes.[196]
2014-01-24,TSCO,LIFE,Life Technologies acquired by Thermo Fisher Scientific Inc[195]
2014-03-21,GMCR,WPX,Market capitalization changes[194]
2014-04-02,ESS,CLF,Market capitalization changes[193]
2014-04-03,GOOGL,,Google Class C share distribution[192]
2014-05-01,NAVI,SLM,Navient Spun off from SLM[191]
2014-05-01,UA,BEAM,Beam acquired by Suntory[191]
2014-05-08,AVGO,LSI,Avago acquires LSI[190]
