date,views
2020-01-01,1781.0
2020-01-02,2480.0
2020-01-03,3066.0
2020-01-04,2400.0
2020-01-05,2166.0
2020-01-06,2913.0
2020-01-07,2734.0
2020-01-08,3384.0
2020-01-09,2913.0
2020-01-10,2868.0
2020-01-11,2051.0
2020-01-12,2138.0
2020-01-13,2632.0
2020-01-14,2588.0
2020-01-15,2621.0
2020-01-16,2938.0
2020-01-17,2657.0
2020-01-18,2147.0
2020-01-19,2083.0
2020-01-20,2765.0
2020-01-21,3193.0
2020-01-22,3325.0
2020-01-23,2906.0
2020-01-24,3013.0
2020-01-25,1997.0
2020-01-26,2062.0
2020-01-27,3286.0
2020-01-28,3256.0
2020-01-29,2900.0
2020-01-30,2709.0
2020-01-31,2853.0
2020-02-01,2259.0
2020-02-02,2021.0
2020-02-03,2957.0
2020-02-04,3009.0
2020-02-05,2946.0
2020-02-06,3053.0
2020-02-07,2505.0
2020-02-08,2143.0
2020-02-09,2141.0
2020-02-10,2653.0
2020-02-11,2742.0
2020-02-12,2752.0
2020-02-13,2640.0
2020-02-14,2329.0
2020-02-15,1984.0
2020-02-16,2115.0
2020-02-17,2624.0
2020-02-18,2853.0
2020-02-19,2652.0
2020-02-20,2760.0
2020-02-21,2405.0
2020-02-22,2173.0
2020-02-23,2288.0
2020-02-24,3545.0
2020-02-25,3903.0
2020-02-26,3975.0
2020-02-27,4389.0
2020-02-28,6294.0
2020-02-29,3918.0
2020-03-01,3089.0
2020-03-02,4067.0
2020-03-03,3948.0
2020-03-04,3310.0
2020-03-05,3176.0
2020-03-06,3392.0
2020-03-07,2608.0
2020-03-08,2520.0
2020-03-09,7308.0
2020-03-10,5739.0
2020-03-11,6650.0
2020-03-12,10911.0
2020-03-13,11541.0
2020-03-14,7025.0
2020-03-15,4131.0
2020-03-16,7550.0
2020-03-17,6896.0
2020-03-18,6256.0
2020-03-19,6010.0
2020-03-20,4604.0
2020-03-21,3759.0
2020-03-22,3711.0
2020-03-23,5326.0
2020-03-24,4810.0
2020-03-25,4818.0
2020-03-26,4496.0
2020-03-27,4454.0
2020-03-28,3553.0
2020-03-29,3406.0
2020-03-30,4313.0
2020-03-31,4292.0
2020-04-01,4497.0
2020-04-02,3861.0
2020-04-03,3849.0
2020-04-04,3173.0
2020-04-05,3125.0
2020-04-06,3337.0
2020-04-07,3677.0
2020-04-08,3701.0
2020-04-09,3938.0
2020-04-10,3896.0
2020-04-11,3345.0
2020-04-12,3007.0
2020-04-13,3665.0
2020-04-14,3631.0
2020-04-15,3529.0
2020-04-16,3612.0
2020-04-17,3422.0
2020-04-18,3328.0
2020-04-19,3309.0
2020-04-20,4010.0
2020-04-21,3974.0
2020-04-22,3777.0
2020-04-23,3621.0
2020-04-24,3362.0
2020-04-25,3121.0
2020-04-26,3192.0
2020-04-27,3591.0
2020-04-28,3421.0
2020-04-29,3564.0
2020-04-30,3389.0
2020-05-01,3424.0
2020-05-02,3030.0
2020-05-03,3073.0
2020-05-04,3357.0
2020-05-05,3207.0
2020-05-06,3154.0
2020-05-07,3146.0
2020-05-08,2981.0
2020-05-09,2687.0
2020-05-10,2484.0
2020-05-11,3013.0
2020-05-12,3110.0
2020-05-13,3294.0
2020-05-14,3206.0
2020-05-15,3009.0
2020-05-16,2666.0
2020-05-17,2647.0
2020-05-18,2782.0
2020-05-19,2945.0
2020-05-20,2784.0
2020-05-21,2825.0
2020-05-22,2596.0
2020-05-23,2310.0
2020-05-24,2145.0
2020-05-25,2545.0
2020-05-26,2801.0
2020-05-27,2877.0
2020-05-28,2808.0
2020-05-29,2607.0
2020-05-30,2525.0
2020-05-31,2219.0
2020-06-01,2690.0
2020-06-02,2570.0
2020-06-03,2791.0
2020-06-04,2783.0
2020-06-05,2800.0
2020-06-06,2544.0
2020-06-07,2547.0
2020-06-08,3155.0
2020-06-09,3156.0
2020-06-10,2965.0
2020-06-11,3332.0
2020-06-12,3153.0
2020-06-13,2492.0
2020-06-14,2249.0
2020-06-15,2671.0
2020-06-16,2604.0
2020-06-17,2660.0
2020-06-18,2514.0
2020-06-19,2555.0
2020-06-20,2399.0
2020-06-21,2245.0
2020-06-22,2673.0
2020-06-23,2488.0
2020-06-24,2533.0
2020-06-25,2377.0
2020-06-26,2367.0
2020-06-27,2092.0
2020-06-28,2114.0
2020-06-29,2437.0
2020-06-30,2272.0
2020-07-01,2309.0
2020-07-02,2421.0
2020-07-03,2324.0
2020-07-04,2108.0
2020-07-05,2145.0
2020-07-06,2708.0
2020-07-07,2555.0
2020-07-08,2531.0
2020-07-09,2711.0
2020-07-10,2477.0
2020-07-11,2276.0
2020-07-12,2202.0
2020-07-13,2691.0
2020-07-14,2626.0
2020-07-15,2636.0
2020-07-16,2717.0
2020-07-17,2611.0
2020-07-18,2442.0
2020-07-19,2425.0
2020-07-20,2636.0
2020-07-21,2640.0
2020-07-22,2812.0
2020-07-23,3303.0
2020-07-24,2955.0
2020-07-25,2715.0
2020-07-26,2567.0
2020-07-27,2942.0
2020-07-28,3029.0
2020-07-29,2882.0
2020-07-30,3086.0
2020-07-31,2668.0
2020-08-01,2443.0
2020-08-02,2339.0
2020-08-03,2602.0
2020-08-04,2848.0
2020-08-05,2650.0
2020-08-06,2685.0
2020-08-07,2676.0
2020-08-08,2606.0
2020-08-09,2495.0
2020-08-10,2801.0
2020-08-11,3056.0
2020-08-12,3071.0
2020-08-13,2887.0
2020-08-14,2525.0
2020-08-15,2373.0
2020-08-16,2434.0
2020-08-17,2755.0
2020-08-18,2939.0
2020-08-19,2998.0
2020-08-20,3023.0
2020-08-21,2840.0
2020-08-22,2246.0
2020-08-23,2412.0
2020-08-24,2927.0
2020-08-25,3115.0
2020-08-26,2967.0
2020-08-27,2966.0
2020-08-28,2926.0
2020-08-29,2490.0
