alarm_date,trade_date,acres_total,log1p_acres_total,fire_count,large_fire_count,very_large_fire_count,utility_rv_logratio_5d,utility_downside_logratio_5d,utility_rv_logratio_22d,utility_downside_logratio_22d
2011-06-19,2011-06-20,5231.542799999999,8.562652633933142,2,1,0,-0.1907425413137785,-0.015449289649914311,-0.27451258051898436,-0.29265969229860855
2011-07-08,2011-07-11,21410.782338,9.971696626040345,5,1,0,-1.1472261266122101,-1.9075158555614193,-0.08073190711486977,-0.24971654087744882
2011-07-21,2011-07-22,14541.99387,9.584864635668993,3,1,0,-0.45880054654421515,-0.1662660569068532,0.26177469026862676,0.2661958565994509
2011-08-25,2011-08-26,5230.338,8.562422356079571,1,1,0,-0.6592679652845413,-2.155525510980815,0.5614697233367761,0.2928999375126222
2011-09-04,2011-09-06,16101.1905,9.686710597618411,4,1,0,1.5297359883001762,1.4463746655017278,0.6939553360929668,0.22221321382256548
2011-09-10,2011-09-12,74574.63797,11.219569164089904,24,3,0,0.6613250682416577,-0.8883872091354208,0.5146719334665081,-0.8061104804487297
2011-09-13,2011-09-14,6853.676709,8.832686429542198,5,1,0,0.42268493279630825,-1.4215669352912046,0.6232547500976566,-0.2254353086822606
2012-05-24,2012-05-25,5320.116,8.579438334772199,1,1,0,-0.4228722413803834,0.7337910659554475,0.49403010951800386,0.6276491496516332
2012-06-18,2012-06-19,42116.60664,10.648221142221301,5,1,0,0.05158051734342868,0.8367668817065851,0.5443413292805489,0.8171310369024621
2012-07-07,2012-07-09,30969.9267,10.34080419502523,4,1,0,-0.15740699711465136,0.5057281888899609,-0.0665038207148875,0.805427155422296
2012-07-23,2012-07-24,28263.98822,10.249379152339447,4,1,0,-1.9180826491957383,-3.9718866423235397,-0.08370800695776795,0.17368274649433646
2012-07-28,2012-07-30,77436.259034,11.257223326618472,4,1,1,-0.7296805456470586,-0.49481962486458275,-0.014061601599583647,0.33652717310898655
2012-08-05,2012-08-06,25322.04603,10.139470170365298,10,1,0,0.3250623813377487,0.9653058096031485,0.02515036829364284,0.349828315959602
2012-08-06,2012-08-07,93727.67185,11.448159417683879,3,1,1,0.3096478995433698,0.9458605070669496,0.0021082742929892677,0.31089476540372774
2012-08-08,2012-08-09,12709.55101,9.450187715722171,3,1,0,0.4283171993686909,-0.8804490623688169,-0.17947169427543969,-0.11704752652811516
2012-08-10,2012-08-13,13967.978384999999,9.544594320371496,7,1,0,0.635967497551054,0.22459648641773397,-0.13424288893724398,-0.16040692117981556
2012-08-12,2012-08-13,323981.71951,12.688445458506434,6,2,1,0.635967497551054,0.22459648641773397,-0.13424288893724398,-0.16040692117981556
2012-08-13,2012-08-14,24475.203969,10.105456657976372,8,2,0,0.5758674019621239,-0.020241998896826086,-0.14776194938276158,-0.18833424235515364
2012-08-18,2012-08-20,73907.937896,11.210589045441612,7,2,0,-0.48785369938653744,0.11741556087276055,-0.6830719896129885,-0.44026042584899816
2012-09-04,2012-09-05,18091.1371,9.80323270850402,2,1,0,-1.2189912216056547,-2.7911519526535167,-0.920037838616514,-1.5031786442363269
2012-09-05,2012-09-06,14447.0779,9.578316667391954,3,1,0,-0.9784203044908389,-3.204528554145064,-0.8824966332103749,-1.5305050314326947
2013-05-01,2013-05-02,10480.0202637,9.257321306542986,9,1,0,-0.6654740688994273,-1.5242654863175404,0.6655357413755357,-0.20405334452819426
2013-05-02,2013-05-03,23686.796779,10.072715290675056,3,1,0,-0.6295349321439067,-0.7009177097770837,0.6532861949199941,-0.18479459599546993
2013-05-30,2013-05-31,30504.3737,10.325658133961662,2,1,0,-0.2176070644741415,-0.2891387163748662,0.2596094444341257,-0.2604837887243243
2013-07-01,2013-07-02,5843.2888,8.67322018985626,2,1,0,-0.5631832133590898,0.2530019566331496,-0.5509662826422238,-0.2577169549362211
2013-07-06,2013-07-08,7092.757121,8.86697039750472,2,1,0,-2.1541843515001804,-1.1340554299466932,-0.5322370758917335,-0.08115132109167622
2013-07-15,2013-07-16,27573.79178,10.224657293050583,2,1,0,-0.618179959548259,0.2287334320146534,-0.5106278111232344,-0.1673133225545337
2013-07-22,2013-07-23,22937.7001186,10.040580724675085,2,1,0,-0.01661763310367277,-0.4063450484161844,-0.6040246318989076,-0.3315656392653649
2013-07-31,2013-08-01,37275.39807743,10.52611564603701,4,2,0,-0.5545057197452439,0.41435592632330054,-0.7995880541794402,0.02880118848775734
2013-08-07,2013-08-08,20355.017040000002,9.921131824808,3,1,0,-1.456144323317943,-0.7774690535205983,-1.0355302645755349,-0.17503111240949637
2013-08-10,2013-08-12,39995.51369,10.596547571547616,3,2,0,-0.911672701160318,-0.08931300748941567,-0.9909392877096864,-0.20082376227557214
2013-08-17,2013-08-19,256320.20037,12.454186625942613,3,1,1,-0.5053696745055319,0.4976919245735746,-1.1938837897553058,-0.4613410138021515
2013-08-18,2013-08-19,15786.88624,9.666998231284268,11,1,0,-0.5053696745055319,0.4976919245735746,-1.1938837897553058,-0.4613410138021515
2013-08-23,2013-08-26,14159.623599999999,9.55822040582602,3,1,0,-1.2741626184864283,-1.6674919037057732,-1.0586730542187515,-1.0728334295702024
2013-09-09,2013-09-10,8339.0057,9.028819178805795,2,1,0,-0.9001656375520957,-0.656156994275872,-0.5511781970204594,-0.865057359528493
2014-05-19,2014-05-20,22008.92723559,9.999248868544575,5,2,0,0.5683126814462066,0.6749915206538357,-0.26219965128107103,-0.6338352291053839
2014-07-01,2014-07-02,5489.54597,8.610782977646375,6,0,0,-0.38387446235378203,-2.281111095641434,-0.46787943660040726,-1.1088566496697767
2014-07-04,2014-07-07,6606.7927721999995,8.796004954569849,3,1,0,-0.47615595983309833,-4.8842711741795,-0.5797195630822606,-1.0600615322707838
2014-07-11,2014-07-14,14337.957,9.57073537789612,2,1,0,-0.5932831693395438,-2.9561233484229956,-0.43748958689104106,-0.7652345410640111
2014-07-26,2014-07-28,8983.889,9.103299445218143,2,0,0,0.3621775527867988,0.5052333253119963,-0.0972328003465859,0.06917809124801833
2014-07-27,2014-07-28,13831.64,9.53478629581268,1,1,0,0.3621775527867988,0.5052333253119963,-0.0972328003465859,0.06917809124801833
2014-07-29,2014-07-30,6382.06161,8.761403137410634,5,1,0,0.29845235093179906,0.3682764528697861,-0.11562909623859671,0.08657725890661536
2014-07-30,2014-07-31,175991.96981,12.078199328961132,9,7,0,0.18880236065501427,0.01715468000180261,-0.08390064045689503,-0.07461806682185695
2014-07-31,2014-08-01,31995.22,10.373373049804556,1,1,0,0.08360764037292574,-3.3594245593382874,0.5409682671377073,-0.3370070846048947
2014-08-11,2014-08-12,133449.6585,11.801487089252868,7,1,1,0.08974529210426652,-1.0851562408511575,0.3751639345604468,-0.06404643538204316
2014-09-13,2014-09-15,98335.8354,11.496153960256963,3,1,1,1.1601183406572788,2.364122775565731,0.6786353627349475,1.8473334839956437
2015-02-07,2015-02-09,6537.519,8.785465966207594,1,1,0,0.1904161177339011,0.20888306430330641,0.20176471157365056,-0.2981115413871517
2015-06-17,2015-06-18,31774.257709999998,10.366443206488967,4,1,0,0.6954110156531879,1.250401154062981,-0.19989222483221744,0.18085587153696978
2015-06-19,2015-06-22,17843.465111,9.789448661308594,6,1,0,0.6874963532997858,1.2236757766413047,-0.1733513823871195,0.16109875877582427
2015-06-23,2015-06-24,14265.504420000001,9.565669720407206,2,1,0,0.8126726879747915,1.259572419824484,-0.045072720097925914,0.20009830055583358
2015-07-19,2015-07-20,6996.186,8.853263347213788,1,1,0,-1.1418457538965958,-2.403911803688018,-0.2238588260852098,-0.3149463848450566
2015-07-22,2015-07-23,8071.0832,8.996166869215212,2,1,0,0.14018993233021726,-1.1131869696368075,-0.08961931077888467,0.0023841799145622802
2015-07-25,2015-07-27,8566.3703,9.05571611502898,4,1,0,0.5050791023878287,0.2315350733357198,-0.0747473465405357,0.0055465144959322785
2015-07-29,2015-07-30,69883.51947,11.154599436884778,4,1,1,-0.4084696568500911,0.2409930206243059,0.0413545231926828,0.4378917769141309
2015-07-30,2015-07-31,212529.34776657,12.266840070168954,50,11,1,-2.086497704456525,-1.445507320961101,0.032832471359445635,0.42337111234847086
2015-07-31,2015-08-03,163187.9208,12.002663831952798,4,2,1,-4.402063921341388,-3.8449459756491122,0.01878345743366578,0.3865928472806696
2015-08-01,2015-08-03,25226.38381,10.13568534263984,10,3,0,-4.402063921341388,-3.8449459756491122,0.01878345743366578,0.3865928472806696
2015-08-03,2015-08-04,10547.60999,9.263749375721456,2,1,0,-0.1191995467241838,0.5889254103263168,-0.05687707604242742,0.3852618094248519
2015-08-09,2015-08-10,25174.46641,10.133625244128154,2,1,0,0.6941754586634956,0.8525657020403223,0.45713558014049355,0.6442949796729449
2015-08-14,2015-08-17,5480.606412,8.609153477860582,5,0,0,-0.17511498856762744,0.06027975112372239,0.5634680445389135,0.6759031362297522
2015-09-09,2015-09-10,71224.455965,11.17360556110062,6,1,1,0.20806692445167216,-0.03450714926930473,0.527491365913872,-0.8504754071220368
2015-09-12,2015-09-14,76111.73483,11.239970873213434,2,1,1,0.8738974818489283,-2.6469228789512815,0.41082004016961965,-1.4405348128683313
2016-06-04,2016-06-06,5010.08631005,8.519407998928333,6,0,0,-1.9771258285294262,-3.0451347169147875,-1.2120481694432785,-1.0645629258605709
2016-06-15,2016-06-16,7610.169971,8.937372180300253,4,1,0,-1.2165770684342334,-1.2229543878017284,-0.8690714031827869,-0.6050126458116166
2016-06-19,2016-06-20,7606.026,8.936827572896021,1,1,0,-0.7682935949774421,-1.6723695584544727,-0.7474073184018962,-0.5500823498661067
2016-06-20,2016-06-21,5500.0635,8.612696716164587,3,0,0,-0.6401732938628852,-1.7538216705462815,-0.6993038453651015,-0.4529685860509539
2016-06-23,2016-06-24,48063.689937099996,10.780303089570964,4,1,0,0.034921699529640436,0.7080642242967119,-0.44888430263865275,-0.03130364392965867
2016-06-28,2016-06-29,6078.96193,8.712753713427452,6,1,0,-1.1549343584896914,-2.2482426776037965,-0.6733999138798585,-0.6106817755787428
