date,iPhone,TSMC,HBM
2018-01-05,48.0,15.0,0.0
2018-01-12,47.0,20.0,0.0
2018-01-19,44.0,20.0,0.0
2018-01-26,41.0,20.0,0.0
2018-02-02,43.0,20.0,0.0
2018-02-09,44.0,19.0,0.0
2018-02-16,49.0,13.0,0.0
2018-02-23,45.0,13.0,0.0
2018-03-02,40.0,17.0,0.0
2018-03-09,39.0,16.0,0.0
2018-03-16,37.0,18.0,0.0
2018-03-23,37.0,18.0,0.0
2018-03-30,36.0,16.0,0.0
2018-04-06,38.0,12.0,0.0
2018-04-13,37.0,18.0,0.0
2018-04-20,37.0,29.0,0.0
2018-04-27,35.0,25.0,0.0
2018-05-04,35.0,21.0,77.0
2018-05-11,42.0,21.0,70.0
2018-05-18,39.0,19.0,0.0
2018-05-25,35.0,15.0,0.0
2018-06-01,34.0,16.0,0.0
2018-06-08,35.0,19.0,0.0
2018-06-15,37.0,16.0,0.0
2018-06-22,33.0,14.0,0.0
2018-06-29,30.0,13.0,0.0
2018-07-06,31.0,14.0,0.0
2018-07-13,30.0,14.0,0.0
2018-07-20,32.0,19.0,0.0
2018-07-27,35.0,16.0,0.0
2018-08-03,34.0,22.0,0.0
2018-08-10,34.0,27.0,0.0
2018-08-17,34.0,17.0,0.0
2018-08-24,33.0,15.0,0.0
2018-08-31,33.0,19.0,0.0
2018-09-07,38.0,20.0,0.0
2018-09-14,94.0,25.0,0.0
2018-09-21,77.0,20.0,0.0
2018-09-28,72.0,17.0,0.0
2018-10-05,53.0,18.0,0.0
2018-10-12,49.0,22.0,0.0
2018-10-19,55.0,24.0,0.0
2018-10-26,57.0,19.0,0.0
2018-11-02,54.0,22.0,0.0
2018-11-09,51.0,15.0,0.0
2018-11-16,50.0,17.0,0.0
2018-11-23,45.0,23.0,0.0
2018-11-30,43.0,19.0,0.0
2018-12-07,47.0,17.0,0.0
2018-12-14,45.0,19.0,0.0
2018-12-21,40.0,18.0,74.0
2018-12-28,44.0,14.0,0.0
2019-01-04,41.0,16.0,0.0
2019-01-11,40.0,18.0,0.0
2019-01-18,41.0,22.0,0.0
2019-01-25,42.0,15.0,0.0
2019-02-01,45.0,21.0,0.0
2019-02-08,46.0,8.0,86.0
2019-02-15,44.0,18.0,0.0
2019-02-22,40.0,20.0,0.0
2019-03-01,39.0,14.0,0.0
2019-03-08,36.0,17.0,0.0
2019-03-15,33.0,17.0,0.0
2019-03-22,36.0,17.0,0.0
2019-03-29,34.0,17.0,0.0
2019-04-05,34.0,13.0,0.0
2019-04-12,32.0,18.0,0.0
2019-04-19,32.0,20.0,0.0
2019-04-26,31.0,20.0,0.0
2019-05-03,32.0,16.0,0.0
2019-05-10,33.0,19.0,0.0
2019-05-17,32.0,14.0,0.0
2019-05-24,31.0,24.0,0.0
2019-05-31,32.0,18.0,0.0
2019-06-07,32.0,18.0,0.0
2019-06-14,30.0,17.0,0.0
2019-06-21,33.0,19.0,0.0
2019-06-28,31.0,18.0,0.0
2019-07-05,31.0,19.0,0.0
2019-07-12,31.0,20.0,0.0
2019-07-19,30.0,21.0,0.0
2019-07-26,32.0,19.0,0.0
2019-08-02,32.0,19.0,0.0
2019-08-09,29.0,17.0,0.0
2019-08-16,33.0,21.0,80.0
2019-08-23,32.0,20.0,0.0
2019-08-30,33.0,23.0,0.0
2019-09-06,35.0,22.0,99.0
2019-09-13,80.0,19.0,0.0
2019-09-20,70.0,22.0,0.0
2019-09-27,72.0,24.0,0.0
2019-10-04,53.0,27.0,0.0
2019-10-11,52.0,20.0,0.0
2019-10-18,49.0,30.0,0.0
2019-10-25,46.0,26.0,0.0
2019-11-01,44.0,27.0,0.0
2019-11-08,44.0,27.0,0.0
2019-11-15,43.0,21.0,0.0
2019-11-22,39.0,23.0,0.0
2019-11-29,36.0,25.0,0.0
2019-12-06,36.0,17.0,0.0
2019-12-13,36.0,29.0,0.0
2019-12-20,36.0,29.0,0.0
2019-12-27,37.0,22.0,0.0
2020-01-03,36.0,19.0,0.0
2020-01-10,36.0,20.0,0.0
2020-01-17,38.0,31.0,67.0
2020-01-24,40.0,18.0,0.0
2020-01-31,39.0,22.0,0.0
2020-02-07,37.0,22.0,0.0
2020-02-14,36.0,25.0,0.0
2020-02-21,35.0,26.0,0.0
2020-02-28,35.0,27.0,0.0
2020-03-06,33.0,25.0,67.0
2020-03-13,33.0,33.0,0.0
2020-03-20,30.0,47.0,0.0
2020-03-27,31.0,31.0,0.0
2020-04-03,37.0,19.0,74.0
2020-04-10,36.0,23.0,0.0
2020-04-17,61.0,33.0,0.0
2020-04-24,48.0,26.0,0.0
2020-05-01,44.0,21.0,0.0
2020-05-08,36.0,25.0,0.0
2020-05-15,35.0,37.0,0.0
2020-05-22,32.0,37.0,68.0
2020-05-29,32.0,27.0,0.0
2020-06-05,30.0,25.0,0.0
2020-06-12,30.0,29.0,0.0
2020-06-19,30.0,24.0,0.0
2020-06-26,33.0,21.0,0.0
2020-07-03,31.0,22.0,0.0
2020-07-10,32.0,33.0,0.0
2020-07-17,31.0,39.0,0.0
2020-07-24,31.0,46.0,0.0
2020-07-31,28.0,98.0,0.0
2020-08-07,31.0,52.0,61.0
2020-08-14,30.0,41.0,0.0
2020-08-21,29.0,44.0,0.0
2020-08-28,31.0,44.0,0.0
2020-09-04,30.0,40.0,0.0
2020-09-11,32.0,42.0,0.0
2020-09-18,35.0,43.0,0.0
2020-09-25,35.0,41.0,70.0
2020-10-02,35.0,33.0,0.0
2020-10-09,41.0,39.0,0.0
2020-10-16,100.0,48.0,0.0
2020-10-23,80.0,37.0,0.0
2020-10-30,67.0,36.0,0.0
2020-11-06,60.0,38.0,0.0
2020-11-13,67.0,44.0,0.0
2020-11-20,60.0,61.0,0.0
2020-11-27,55.0,42.0,0.0
2020-12-04,48.0,42.0,0.0
2020-12-11,44.0,47.0,0.0
2020-12-18,43.0,48.0,0.0
2020-12-25,40.0,40.0,0.0
2021-01-01,39.0,31.0,0.0
2021-01-08,38.0,58.0,0.0
2021-01-15,38.0,81.0,0.0
2021-01-22,39.0,96.0,0.0
2021-01-29,38.0,100.0,0.0
2021-02-05,42.0,65.0,0.0
2021-02-12,46.0,52.0,0.0
2021-02-19,41.0,62.0,0.0
2021-02-26,35.0,73.0,0.0
2021-03-05,34.0,70.0,100.0
2021-03-12,34.0,73.0,0.0
2021-03-19,31.0,54.0,0.0
2021-03-26,30.0,64.0,65.0
2021-04-02,31.0,59.0,0.0
2021-04-09,31.0,58.0,0.0
2021-04-16,30.0,65.0,0.0
2021-04-23,31.0,51.0,0.0
2021-04-30,33.0,41.0,0.0
2021-05-07,31.0,54.0,0.0
2021-05-14,30.0,58.0,0.0
2021-05-21,29.0,41.0,0.0
2021-05-28,30.0,37.0,0.0
2021-06-04,31.0,37.0,0.0
2021-06-11,29.0,31.0,0.0
2021-06-18,32.0,34.0,58.0
2021-06-25,30.0,34.0,0.0
2021-07-02,31.0,35.0,0.0
2021-07-09,31.0,37.0,0.0
2021-07-16,31.0,63.0,78.0
2021-07-23,31.0,45.0,0.0
2021-07-30,25.0,37.0,0.0
2021-08-06,29.0,33.0,0.0
2021-08-13,30.0,37.0,0.0
2021-08-20,29.0,43.0,0.0
2021-08-27,30.0,47.0,0.0
2021-09-03,32.0,40.0,75.0
2021-09-10,31.0,46.0,0.0
2021-09-17,80.0,39.0,0.0
2021-09-24,70.0,38.0,0.0
2021-10-01,60.0,45.0,0.0
2021-10-08,49.0,39.0,0.0
2021-10-15,49.0,48.0,95.0
2021-10-22,44.0,47.0,0.0
2021-10-29,41.0,44.0,0.0
2021-11-05,39.0,48.0,0.0
2021-11-12,39.0,51.0,0.0
2021-11-19,36.0,46.0,83.0
2021-11-26,34.0,40.0,0.0
2021-12-03,35.0,41.0,0.0
2021-12-10,34.0,42.0,0.0
2021-12-17,34.0,42.0,0.0
2021-12-24,33.0,36.0,0.0
2021-12-31,33.0,29.0,0.0
2022-01-07,36.0,53.0,0.0
2022-01-14,35.0,66.0,0.0
2022-01-21,35.0,48.0,69.0
2022-01-28,35.0,42.0,0.0
2022-02-04,44.0,30.0,0.0
2022-02-11,39.0,40.0,0.0
2022-02-18,40.0,46.0,66.0
2022-02-25,36.0,47.0,0.0
2022-03-04,36.0,44.0,0.0
2022-03-11,45.0,57.0,0.0
2022-03-18,42.0,50.0,0.0
2022-03-25,37.0,45.0,43.0
2022-04-01,34.0,38.0,60.0
2022-04-08,34.0,35.0,0.0
2022-04-15,32.0,48.0,52.0
2022-04-22,31.0,41.0,55.0
2022-04-29,32.0,44.0,50.0
2022-05-06,30.0,35.0,48.0
2022-05-13,31.0,44.0,50.0
2022-05-20,29.0,42.0,58.0
2022-05-27,29.0,34.0,0.0
2022-06-03,29.0,32.0,0.0
2022-06-10,30.0,38.0,58.0
2022-06-17,30.0,40.0,49.0
2022-06-24,30.0,41.0,53.0
2022-07-01,28.0,41.0,66.0
2022-07-08,30.0,47.0,0.0
2022-07-15,31.0,50.0,86.0
2022-07-22,30.0,36.0,0.0
2022-07-29,31.0,32.0,0.0
2022-08-05,32.0,44.0,61.0
2022-08-12,32.0,36.0,64.0
2022-08-19,32.0,41.0,0.0
2022-08-26,36.0,33.0,0.0
2022-09-02,35.0,40.0,0.0
2022-09-09,91.0,33.0,0.0
2022-09-16,86.0,36.0,51.0
2022-09-23,64.0,36.0,48.0
2022-09-30,48.0,39.0,65.0
2022-10-07,49.0,41.0,45.0
2022-10-14,47.0,67.0,0.0
2022-10-21,44.0,45.0,0.0
2022-10-28,45.0,58.0,63.0
2022-11-04,44.0,42.0,49.0
2022-11-11,43.0,50.0,0.0
2022-11-18,41.0,71.0,0.0
2022-11-25,37.0,42.0,53.0
2022-12-02,34.0,42.0,0.0
2022-12-09,34.0,53.0,52.0
2022-12-16,35.0,45.0,59.0
2022-12-23,33.0,36.0,70.0
2022-12-30,36.0,35.0,55.0
