etf,symbol,name,weight,is_us_symbol,download_error,holdings_count,hhi,top3_share,top5_share,effective_n_top10
ARKK,TSLA,Tesla Inc,0.1026831,True,,10,0.029191599288644,0.209145797,0.306367497,34.25643076667661
ARKK,AMD,Advanced Micro Devices Inc,0.055061597,True,,10,0.029191599288644,0.209145797,0.306367497,34.25643076667661
ARKK,HOOD,Robinhood Markets Inc Class A,0.0514011,True,,10,0.029191599288644,0.209145797,0.306367497,34.25643076667661
ARKK,CRSP,CRISPR Therapeutics AG,0.0493731,True,,10,0.029191599288644,0.209145797,0.306367497,34.25643076667661
ARKK,TEM,Tempus AI Inc Class A common stock,0.0478486,True,,10,0.029191599288644,0.209145797,0.306367497,34.25643076667661
ARKK,CRCL,Circle Internet Group Inc Ordinary Shares - Class A,0.044604998,True,,10,0.029191599288644,0.209145797,0.306367497,34.25643076667661
ARKK,SHOP,Shopify Inc Registered Shs -A- Subord Vtg,0.0436651,True,,10,0.029191599288644,0.209145797,0.306367497,34.25643076667661
ARKK,ROKU,Roku Inc Class A,0.0417403,True,,10,0.029191599288644,0.209145797,0.306367497,34.25643076667661
ARKK,COIN,Coinbase Global Inc Ordinary Shares - Class A,0.039346598,True,,10,0.029191599288644,0.209145797,0.306367497,34.25643076667661
ARKK,PLTR,Palantir Technologies Inc Ordinary Shares - Class A,0.0325589,True,,10,0.029191599288644,0.209145797,0.306367497,34.25643076667661
ARKW,AMD,Advanced Micro Devices Inc,0.094266005,True,,9,0.028928656249402,0.236123007,0.323808003,34.56779987907903
ARKW,TSLA,Tesla Inc,0.088087104,True,,9,0.028928656249402,0.236123007,0.323808003,34.56779987907903
ARKW,HOOD,Robinhood Markets Inc Class A,0.053769898,True,,9,0.028928656249402,0.236123007,0.323808003,34.56779987907903
ARKW,CRCL,Circle Internet Group Inc Ordinary Shares - Class A,0.044222496,True,,9,0.028928656249402,0.236123007,0.323808003,34.56779987907903
ARKW,SHOP,Shopify Inc Registered Shs -A- Subord Vtg,0.0434625,True,,9,0.028928656249402,0.236123007,0.323808003,34.56779987907903
ARKW,ROKU,Roku Inc Class A,0.040496603,True,,9,0.028928656249402,0.236123007,0.323808003,34.56779987907903
ARKW,AMZN,Amazon.com Inc,0.038362,True,,9,0.028928656249402,0.236123007,0.323808003,34.56779987907903
ARKW,CRWV,CoreWeave Inc Ordinary Shares - Class A,0.035098802,True,,9,0.028928656249402,0.236123007,0.323808003,34.56779987907903
ARKW,GOOG,Alphabet Inc Class C,0.0346969,True,,9,0.028928656249402,0.236123007,0.323808003,34.56779987907903
