Date,AAXJ,ADIV,DFAC,DFAS,DFAT,DFUS,DIVS,EFA,IWB,IWM,IWN,JCPI,JIRE,JMEE,JPRE,TIP,VIG,VNQ,VTI
2020-01-02,840900.0,,,,,,,24749300.0,689800.0,18297500.0,1124400.0,,,,,2150700.0,1317600.0,5106600.0,3291100.0
2020-01-03,947100.0,,,,,,,29921500.0,879800.0,19295600.0,679300.0,,,,,1259900.0,1235400.0,5015500.0,3625400.0
2020-01-06,413700.0,,,,,,,22636400.0,672700.0,17150900.0,1568100.0,,,,,917500.0,1150900.0,4889000.0,6813800.0
2020-01-07,580100.0,,,,,,,15107500.0,1196900.0,11817900.0,631400.0,,,,,810500.0,700100.0,6529100.0,2498400.0
2020-01-08,1311300.0,,,,,,,14249500.0,1046200.0,13832400.0,1266000.0,,,,,2121500.0,1965000.0,6766100.0,4244800.0
2020-01-09,2997700.0,,,,,,,13749100.0,749400.0,11895400.0,988900.0,,,,,1814000.0,994600.0,4213800.0,2216900.0
2020-01-10,1304900.0,,,,,,,33832300.0,1118300.0,15353000.0,1130400.0,,,,,1609300.0,1048000.0,5838800.0,4023000.0
2020-01-13,962200.0,,,,,,,16443000.0,1590600.0,17271100.0,1782400.0,,,,,1422700.0,1500200.0,5552600.0,3997100.0
2020-01-14,1100000.0,,,,,,,28826600.0,839300.0,18323000.0,987200.0,,,,,3290000.0,1027800.0,4120700.0,3062000.0
2020-01-15,1509900.0,,,,,,,12217900.0,558400.0,15437200.0,565700.0,,,,,1601600.0,930100.0,4471500.0,2479200.0
2020-01-16,297000.0,,,,,,,12883400.0,941500.0,19976200.0,1281100.0,,,,,1205800.0,1096900.0,4426700.0,2205600.0
2020-01-17,1091600.0,,,,,,,18473700.0,620300.0,18306400.0,777100.0,,,,,920500.0,1109900.0,3581300.0,2272000.0
2020-01-21,1418800.0,,,,,,,20026600.0,1032600.0,17935100.0,1001200.0,,,,,1109700.0,3508000.0,4217400.0,3174200.0
2020-01-22,1057100.0,,,,,,,14047000.0,2575500.0,14916300.0,977000.0,,,,,1154700.0,2076700.0,5024300.0,2113600.0
2020-01-23,3273300.0,,,,,,,18720200.0,847600.0,15954300.0,878000.0,,,,,2230200.0,1080700.0,4825000.0,2370000.0
2020-01-24,985100.0,,,,,,,24107500.0,906900.0,20491400.0,1347000.0,,,,,963300.0,1316800.0,3518100.0,3292500.0
2020-01-27,1037100.0,,,,,,,32766700.0,1220700.0,18539000.0,1250700.0,,,,,1111600.0,1261400.0,3047000.0,4692800.0
2020-01-28,1202700.0,,,,,,,18001700.0,699000.0,16690400.0,923500.0,,,,,743100.0,882300.0,3006100.0,4010700.0
2020-01-29,945600.0,,,,,,,14916600.0,581100.0,14944400.0,560400.0,,,,,1096400.0,1483500.0,3785500.0,1751700.0
2020-01-30,1646200.0,,,,,,,26285300.0,1167700.0,21889700.0,923900.0,,,,,1199500.0,955800.0,4142400.0,2835900.0
2020-01-31,2805500.0,,,,,,,40101600.0,1368900.0,30439000.0,1727600.0,,,,,2343900.0,1427200.0,6370900.0,4525300.0
2020-02-03,948900.0,,,,,,,35288000.0,807000.0,17373200.0,563000.0,,,,,3061900.0,1562700.0,7508200.0,2783200.0
2020-02-04,974800.0,,,,,,,32540000.0,1273000.0,15994200.0,828600.0,,,,,1635700.0,1711600.0,4422900.0,2732700.0
2020-02-05,1459300.0,,,,,,,28162100.0,507000.0,17807000.0,642700.0,,,,,1443800.0,2383200.0,4413700.0,4133700.0
