proxy,anchor_date,year,horizon,underlying_log_rv_ratio
AAXJ,2020-03-31,2020,5,0.3510211062161884
AAXJ,2020-03-31,2020,22,-0.4422929856357943
AAXJ,2020-04-01,2020,5,-0.1348511720945258
AAXJ,2020-04-01,2020,22,-0.6892855921543111
AAXJ,2020-04-02,2020,5,-0.5746724552521036
AAXJ,2020-04-02,2020,22,-0.9164484728029383
AAXJ,2020-04-03,2020,5,-0.6615646204380147
AAXJ,2020-04-03,2020,22,-0.9482699197510049
AAXJ,2020-04-06,2020,5,-2.0168558385416655
AAXJ,2020-04-06,2020,22,-1.2774857625703049
AAXJ,2020-04-07,2020,5,-1.5038242795143295
AAXJ,2020-04-07,2020,22,-1.236145152504719
AAXJ,2020-04-08,2020,5,-1.559891949021903
AAXJ,2020-04-08,2020,22,-1.3276614029518374
AAXJ,2020-04-09,2020,5,-1.247981283978904
AAXJ,2020-04-09,2020,22,-1.345406657384399
AAXJ,2020-04-13,2020,5,-1.215117583607701
AAXJ,2020-04-13,2020,22,-1.3685002121980738
AAXJ,2020-04-14,2020,5,-1.0685991066669058
AAXJ,2020-04-14,2020,22,-1.499793200356231
AAXJ,2020-04-15,2020,5,-0.9540357316711132
AAXJ,2020-04-15,2020,22,-1.5596883230538199
AAXJ,2020-04-16,2020,5,-0.9882406607569857
AAXJ,2020-04-16,2020,22,-1.3891604149979218
AAXJ,2020-04-17,2020,5,-1.252519787861537
AAXJ,2020-04-17,2020,22,-1.4805004543119937
AAXJ,2020-04-20,2020,5,-1.1628611895114411
AAXJ,2020-04-20,2020,22,-1.498704893430697
AAXJ,2020-04-21,2020,5,-1.7644824346053245
AAXJ,2020-04-21,2020,22,-1.5864148802805693
AAXJ,2020-04-22,2020,5,-2.00136948202702
AAXJ,2020-04-22,2020,22,-1.6356073118165484
AAXJ,2020-04-23,2020,5,-1.6499942948643043
AAXJ,2020-04-23,2020,22,-1.5571533667125883
AAXJ,2020-04-24,2020,5,-0.9528979076112406
AAXJ,2020-04-24,2020,22,-1.556579880846292
AAXJ,2020-04-27,2020,5,-1.0291322188014225
AAXJ,2020-04-27,2020,22,-1.6075151540196948
AAXJ,2020-04-28,2020,5,-1.0212201757126134
AAXJ,2020-04-28,2020,22,-1.5409100591899163
AAXJ,2020-04-29,2020,5,-1.2936826553932652
