Date,Open,High,Low,Close,Volume
2024-09-04,506.5192404714948,506.5192404714948,504.9192810058594,504.9192810058594,5
2024-09-05,510.0313127232963,516.4310913085938,503.20227815477045,516.4310913085938,55
2024-09-06,505.73883730436603,556.8590057186956,504.7632608894614,556.5078125,105
2024-09-09,527.7868041992188,527.7868041992188,527.7868041992188,527.7868041992188,20
2024-09-10,541.4253498265672,541.4253498265672,516.0798950195312,516.0798950195312,105
2024-09-11,534.4206954946795,542.6155603898429,519.9431762695312,519.9431762695312,240
2024-09-12,517.4457402668887,522.5186898514122,502.0315856933594,502.0315856933594,220
2024-09-13,501.25110529307943,501.83648681640625,493.8367490199014,501.83648681640625,440
2024-09-16,515.6896363681035,516.4701450860526,506.3241271972656,506.3241271972656,395
2024-09-17,505.34855705758554,505.34855705758554,491.3002633563762,503.78765869140625,230
2024-09-18,504.76326342711616,504.9583310755106,501.2511525891271,503.5925598144531,100
2024-09-19,471.39848803997745,487.59303107603745,468.2766319182982,485.8370056152344,190
2024-09-20,482.7151587655879,492.47092211794194,476.6666033504646,480.56890869140625,145
2024-09-23,476.3153989647106,480.5689274337843,472.5691892639702,479.3982238769531,185
2024-09-24,477.83729017200585,496.95859282058285,475.4959128577823,475.6910400390625,195
2024-09-25,478.6177473833718,488.9588623046875,472.9593868777861,488.9588623046875,665
2024-09-26,476.6666229674024,476.8617203791424,449.35048445663125,451.4967346191406,500
2024-09-27,443.692125478402,447.7895581811074,422.6196994994267,423.59527587890625,2160
2024-09-30,439.78982384081195,453.83814764705033,438.2289254376554,452.08209228515625,900
2024-10-01,463.5743810921758,496.95860629394,463.5743810921758,486.38336181640625,480
2024-10-02,491.88560264837116,493.83675532881335,473.34965218417017,487.0077209472656,240
2024-10-03,489.953962306429,493.251415177529,488.37353336163613,491.3002624511719,325
2024-10-04,476.47151190186327,487.0077549757826,468.2766760258566,468.6669006347656,575
2024-10-07,462.6183112503223,474.52032470703125,462.6183112503223,474.52032470703125,30
2024-10-08,479.203125,479.203125,479.203125,479.203125,20
2024-10-09,478.40313903509417,481.7395935058594,467.00841432290696,481.7395935058594,20
2024-10-10,489.5442115878889,489.5442115878889,488.6466979980469,488.6466979980469,15
2024-10-11,462.7158573237439,462.7158573237439,450.1309281883708,454.0332336425781,300
2024-10-14,438.6191538187664,448.57001519968185,402.5228271484375,402.5228271484375,1060
2024-10-15,400.9618953029436,413.64438834172284,385.72339689221315,402.1325988769531,585
2024-10-16,386.52336592485364,398.6205068401656,370.9141441574246,373.0603942871094,1685
2024-10-17,376.572462356357,387.49892913154616,375.5968860290089,384.18194580078125,1420
2024-10-18,376.1822556620624,379.1089847832316,354.9146728515625,354.9146728515625,1490
2024-10-21,363.10951778413585,373.06037837305007,362.7192634388154,365.2557678222656,785
2024-10-22,372.27995060176033,375.7920315057089,362.1339622576418,370.5238952636719,2860
2024-10-23,378.91387733659406,397.2547319812696,372.8653213677886,391.2061462402344,1545
2024-10-24,377.15783845866736,385.4307071944974,370.3288037263095,371.1092529296875,1115
2024-10-25,373.64576684664013,378.71877611219645,363.9875662951285,378.3285217285156,1505
2024-10-28,362.7192842310259,366.4264923184933,355.10980041670217,358.0365295410156,3430
2024-10-29,351.01234465363444,355.30490423816116,346.5247174425449,352.5732727050781,1595
2024-10-30,361.7436871199673,366.7191323005377,351.7928265310531,365.2557678222656,2780
2024-10-31,379.69432291421145,421.8392028808594,378.3284922223099,421.8392028808594,7655
2024-11-01,418.32711985692515,418.71737420807034,394.67915906220156,412.278564453125,5570
2024-11-04,415.20528331967876,424.3756946754619,404.66904131267637,405.0592956542969,1425
2024-11-05,396.08398585228116,398.0351384919476,365.4508953639638,371.49945068359375,23000
2024-11-06,317.0623232283682,317.4525478255882,253.64985858269458,258.5277404785156,48390
2024-11-07,269.25907065651637,270.23464699947476,253.06449740896159,257.5521545410156,13830
2024-11-08,253.84498753365438,253.84498753365438,239.01621455828948,241.55271911621094,28115
2024-11-11,215.01702647958342,218.72421967118606,183.74005036846253,192.96900939941406,75130
2024-11-12,202.33453365828174,203.89546180838968,191.7983207464524,196.09085083007812,64300
2024-11-13,193.1641172458489,218.52910233873814,188.4813477899389,217.35841369628906,70155
2024-11-14,213.06586913239082,224.77278534595325,212.09029278126062,222.0411834716797,45040
2024-11-15,219.11445739283133,223.79721203293502,200.4614271834442,200.57850646972656,29090
2024-11-18,203.11498911670793,212.09028838378958,185.35950287150249,187.50576782226562,33770
2024-11-19,190.23739422211568,193.3592356628968,186.92044048243218,188.48135375976562,23765
2024-11-20,183.60346831943798,199.9931541754275,178.9206988054247,191.2129669189453,29945
2024-11-21,184.77414727868435,209.7489067852316,184.77414727868435,205.6514892578125,46860
2024-11-22,205.8466187464137,208.77334792290299,194.82260253774783,199.60293579101562,32660
2024-11-25,195.89573648338694,207.99287741876424,191.4080792633619,194.33480834960938,30880
2024-11-26,203.5052488613245,208.7733556187536,196.5786502671909,206.62709045410156,29120
2024-11-27,199.79804193171688,204.67592374212936,191.99343103505697,194.33480834960938,25155
2024-11-29,193.74946809675902,203.70034383983636,191.0178513531794,203.3101043701172,12225
2024-12-02,199.99315633586104,200.7736204109799,193.35923402652188,199.2126922607422,13010
2024-12-03,202.91987548828126,203.31010006362106,191.75927995464767,195.11526489257812,24790
2024-12-04,193.35923549054755,193.65191138169737,180.67674255371094,180.67674255371094,45150
2024-12-05,174.43305794792897,189.26181579595635,171.11608935798088,186.72531127929688,57240
2024-12-06,182.04255227133595,183.79857778672368,170.33563610947803,173.8477020263672,47870
2024-12-09,175.79885028411294,190.8227345777375,175.4086257096763,190.4324951171875,47015
2024-12-10,186.1399674460419,197.45664398522447,185.7497279808962,195.3103790283203,19755
2024-12-11,188.09111208404738,191.2129532413779,183.89613105101907,188.28622436523438,21940
2024-12-12,185.55462461788693,191.40808290164432,182.5303467696141,188.48135375976562,18880
2024-12-13,187.50577755799875,193.16412354825118,186.3350888773534,190.0422821044922,6780
2024-12-16,185.74972744941817,187.60333140980126,180.87184579490494,187.50576782226562,19560
2024-12-17,184.77415677049797,194.15921148341423,183.0181312300496,189.65203857421875,14815
2024-12-18,191.40807478088155,211.21227744459517,189.45692210240952,209.3586883544922,33250
2024-12-19,200.38338324990542,216.77306947266428,198.04200588356025,213.45611572265625,21160
2024-12-20,219.6997886187257,222.6265176364337,207.4075356760202,209.3586883544922,32420
2024-12-23,213.26099961473312,221.4558351367121,212.3829719534478,217.74864196777344,15955
2024-12-24,213.2609995044642,214.4316881661253,205.06614910060844,208.38311767578125,7295
2024-12-26,211.70007691159853,214.2365814834183,208.96846003874214,212.09030151367188,8780
2024-12-27,213.3581679702665,220.48992961086333,213.3581679702665,218.90509033203125,8590
2024-12-30,223.65959054549603,233.76289927081183,223.65959054549603,227.62167358398438,11235
2024-12-31,220.0937080109742,235.5458377835788,220.0937080109742,233.96099853515625,9995
2025-01-02,225.83874139507796,231.18754764561803,221.48045594013035,225.64064025878906,10815
2025-01-03,223.06527209878874,224.05579285865383,213.65532488007037,213.95248413085938,11160
2025-01-06,207.811262366011,213.16006852460924,196.32121528898443,200.4813995361328,17005
2025-01-07,201.8681437442596,219.4994171539462,201.67004260543914,216.92405700683594,23280
2025-01-08,218.11267028540885,226.2349375674275,214.74490571686255,220.48992919921875,18740
2025-01-10,223.06528142574416,230.39514442371538,219.30129935804518,221.67855834960938,15230
2025-01-13,232.37617605265044,235.94204171572713,227.83958916379495,228.41409301757812,10260
2025-01-14,218.50889015253384,228.2159817069427,217.71647050556334,224.65011596679688,7395
2025-01-15,214.15058739656578,215.14110816631322,204.0670932153277,206.82073974609375,16060
2025-01-16,207.8112657578846,211.57524780070088,199.7880412748854,202.26434326171875,12630
2025-01-17,195.13258825872362,196.12310901130598,188.99136261554247,192.16102600097656,16990
2025-01-21,190.77430648886815,205.63211804986574,188.00084530798577,193.15155029296875,22475
2025-01-22,195.9250196496342,198.30226355293516,190.77431444971668,191.9629364013672,16875
2025-01-23,196.32122192880166,197.11364160128468,187.20843348061712,191.9629364013672,28440
2025-01-24,189.18946796581335,190.97240838308508,182.8501410534556,190.77430725097656,18940
2025-01-27,200.481398700982,211.77334459808569,196.32121447116384,203.6510772705078,20675
2025-01-28,201.47191636933684,205.43399940601327,198.9361856441275,201.07571411132812,7640
2025-01-29,200.8776228196855,204.04728638142166,192.35913782800574,194.34017944335938,10390
2025-01-30,192.75534582752437,192.75534582752437,184.63306350901587,187.40652465820312,25650
