section,location,claim_type,paper_value,source_k,computed_value,match,notes
abstract,abstract,sharpe,0.47,K827v3-10%,0.4675,YES,rounded to 2 decimal
abstract,abstract,sharpe,0.34,K827v3-50%,0.3357,YES,rounded to 2 decimal
abstract,abstract,sharpe_decline_pct,28,K827v3-50%,28.2,YES,rounded to 0 decimal
abstract,abstract,sharpe,0.08,K827v3-70%,0.0844,YES,rounded to 2 decimal
abstract,abstract,sharpe_decline_pct,82,K827v3-70%,82.0,YES,exact
abstract,abstract,sharpe,-0.27,K827v3-100%,-0.2670,YES,rounded to 2 decimal
abstract,abstract,kurtosis,61,K827v3-100%,61.35,YES,rounded to integer
abstract,abstract,n_agents,1000,K827v3-config,1000,YES,config match
abstract,abstract,n_noise,200,K827v3-config,200,YES,config match
abstract,abstract,n_MC_sims,500,K827v3-config,500,YES,config match
abstract,abstract,n_days,2520,K827v3-config,2520,YES,config match
abstract,abstract,n_OAT,9,K827v3-derived,9,YES,3 params x 3 values
abstract,abstract,n_MC_sens,200,K827v3-config,200,YES,config match
model_section,sec:model,N_agents,1000,K827v3-config,1000,YES
model_section,sec:model,T_days,2520,K827v3-config,2520,YES
model_section,sec:model,VT_cap,1.5,K827v3-config,1.5,YES
model_section,sec:model,BH_weight,1.0,K827v3-code,1.0,YES
model_section,sec:model,noise_std,0.02,K827v3-config,0.02,YES
model_section,sec:model,noise_clip_lo,0,K827v3-code,0.0,YES
model_section,sec:model,noise_clip_hi,1.5,K827v3-code,1.5,YES
model_section,eq:price,mu,0.08/252,K827v3-config,0.08/252,YES
model_section,eq:price,lambda,0.005,K827v3-config,0.005,YES
model_section,eq:price,sigma_f,0.16/sqrt252,K827v3-config,0.16/sqrt(252),YES
model_section,eq:vix,kappa,0.03,K827v3-config,0.03,YES
model_section,eq:vix,V_bar,18,K827v3-config,18.0,YES
model_section,eq:vix,gamma,200,K827v3-config,200.0,YES
model_section,eq:vix,eta_std,0.3,K827v3-config,0.3,YES
model_section,eq:vix,baseline_annvol,0.16,K827v3-code,0.16,YES
model_section,eq:vix,vix_lo,9,K827v3-code,9.0,YES
model_section,eq:vix,vix_hi,80,K827v3-code,80.0,YES
model_section,sec:model,n_noise_fixed,200,K827v3-config,200,YES
model_section,sec:design,n_bootstrap,2000,K827v3-config,2000,YES
results_table1,tab:main,sharpe_10pct,0.47,K827v3-10%,0.4675,YES,rounded 2dp
results_table1,tab:main,ci_lo_10pct,0.44,K827v3-10%,0.4397,YES,rounded 2dp
