item,unit,freq,period,value
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1982Q1,473609
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1982Q2,479095
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1982Q3,487602
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1982Q4,497717
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1983Q1,512905
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1983Q2,537175
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1983Q3,551301
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1983Q4,568065
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1984Q1,584841
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1984Q2,602968
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1984Q3,615851
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1984Q4,614580
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1985Q1,617568
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1985Q2,627406
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1985Q3,633799
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1985Q4,656283
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1986Q1,702554
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1986Q2,720583
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1986Q3,757645
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1986Q4,784666
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1987Q1,810247
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1987Q2,818755
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1987Q3,859643
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1987Q4,856290
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1988Q1,877805
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1988Q2,872058
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1988Q3,923255
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1988Q4,942544
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1989Q1,963608
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1989Q2,987460
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1989Q3,1020859
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1989Q4,1060537
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1990Q1,1079895
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1990Q2,1104362
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1990Q3,1111730
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1990Q4,1178301
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1991Q1,1197168
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1991Q2,1241212
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1991Q3,1259478
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1991Q4,1320161
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1992Q1,1352751
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1992Q2,1385158
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1992Q3,1410075
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1992Q4,1461373
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1993Q1,1506864
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1993Q2,1536257
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1993Q3,1564952
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1993Q4,1592081
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1994Q1,1631721
金額(新臺幣百萬元)_當期價格_1.國內生產毛額:2--3合計,,Q,1994Q2,1683688
