item,unit,freq,period,value
總指數,單位：基期=105年,M,1996M01,29.62
總指數,單位：基期=105年,M,1996M02,24.8
總指數,單位：基期=105年,M,1996M03,29.68
總指數,單位：基期=105年,M,1996M04,29.68
總指數,單位：基期=105年,M,1996M05,30.88
總指數,單位：基期=105年,M,1996M06,30.03
總指數,單位：基期=105年,M,1996M07,30.71
總指數,單位：基期=105年,M,1996M08,30.86
總指數,單位：基期=105年,M,1996M09,30.09
總指數,單位：基期=105年,M,1996M10,31.29
總指數,單位：基期=105年,M,1996M11,31.73
總指數,單位：基期=105年,M,1996M12,32.89
總指數,單位：基期=105年,M,1997M01,31.4
總指數,單位：基期=105年,M,1997M02,25.18
總指數,單位：基期=105年,M,1997M03,32.89
總指數,單位：基期=105年,M,1997M04,31.8
總指數,單位：基期=105年,M,1997M05,33.09
總指數,單位：基期=105年,M,1997M06,31.55
總指數,單位：基期=105年,M,1997M07,32.95
總指數,單位：基期=105年,M,1997M08,32.66
總指數,單位：基期=105年,M,1997M09,32.58
總指數,單位：基期=105年,M,1997M10,34.63
總指數,單位：基期=105年,M,1997M11,33.52
總指數,單位：基期=105年,M,1997M12,35.81
總指數,單位：基期=105年,M,1998M01,29.36
總指數,單位：基期=105年,M,1998M02,30.34
總指數,單位：基期=105年,M,1998M03,34.19
總指數,單位：基期=105年,M,1998M04,33.6
總指數,單位：基期=105年,M,1998M05,33.42
總指數,單位：基期=105年,M,1998M06,33.54
總指數,單位：基期=105年,M,1998M07,34.01
總指數,單位：基期=105年,M,1998M08,33.83
總指數,單位：基期=105年,M,1998M09,34.41
總指數,單位：基期=105年,M,1998M10,35.01
總指數,單位：基期=105年,M,1998M11,34.63
總指數,單位：基期=105年,M,1998M12,35.32
總指數,單位：基期=105年,M,1999M01,34.14
總指數,單位：基期=105年,M,1999M02,28.23
總指數,單位：基期=105年,M,1999M03,36.6
總指數,單位：基期=105年,M,1999M04,36.32
總指數,單位：基期=105年,M,1999M05,36.86
總指數,單位：基期=105年,M,1999M06,36.58
總指數,單位：基期=105年,M,1999M07,36.84
總指數,單位：基期=105年,M,1999M08,36.77
總指數,單位：基期=105年,M,1999M09,34
總指數,單位：基期=105年,M,1999M10,37.8
總指數,單位：基期=105年,M,1999M11,38.14
總指數,單位：基期=105年,M,1999M12,39.02
總指數,單位：基期=105年,M,2000M01,37.57
總指數,單位：基期=105年,M,2000M02,30.92
總指數,單位：基期=105年,M,2000M03,40.19
總指數,單位：基期=105年,M,2000M04,37.71
總指數,單位：基期=105年,M,2000M05,40.02
總指數,單位：基期=105年,M,2000M06,39.88
總指數,單位：基期=105年,M,2000M07,39.32
總指數,單位：基期=105年,M,2000M08,39.95
總指數,單位：基期=105年,M,2000M09,40.04
總指數,單位：基期=105年,M,2000M10,40.51
總指數,單位：基期=105年,M,2000M11,39.32
總指數,單位：基期=105年,M,2000M12,39.23
總指數,單位：基期=105年,M,2001M01,33.33
總指數,單位：基期=105年,M,2001M02,34.88
總指數,單位：基期=105年,M,2001M03,38.71
總指數,單位：基期=105年,M,2001M04,35.25
總指數,單位：基期=105年,M,2001M05,36.69
總指數,單位：基期=105年,M,2001M06,34.64
總指數,單位：基期=105年,M,2001M07,34.43
總指數,單位：基期=105年,M,2001M08,36.52
總指數,單位：基期=105年,M,2001M09,33.58
總指數,單位：基期=105年,M,2001M10,36.96
總指數,單位：基期=105年,M,2001M11,35.74
總指數,單位：基期=105年,M,2001M12,35.34
總指數,單位：基期=105年,M,2002M01,36.49
總指數,單位：基期=105年,M,2002M02,30.04
總指數,單位：基期=105年,M,2002M03,38.92
總指數,單位：基期=105年,M,2002M04,39
總指數,單位：基期=105年,M,2002M05,40.72
總指數,單位：基期=105年,M,2002M06,38.31
總指數,單位：基期=105年,M,2002M07,39.87
總指數,單位：基期=105年,M,2002M08,39.99
總指數,單位：基期=105年,M,2002M09,38.74
總指數,單位：基期=105年,M,2002M10,40.66
總指數,單位：基期=105年,M,2002M11,39.66
總指數,單位：基期=105年,M,2002M12,39.9
總指數,單位：基期=105年,M,2003M01,40.62
總指數,單位：基期=105年,M,2003M02,33.98
總指數,單位：基期=105年,M,2003M03,41.24
總指數,單位：基期=105年,M,2003M04,40.8
總指數,單位：基期=105年,M,2003M05,41.31
總指數,單位：基期=105年,M,2003M06,40.42
總指數,單位：基期=105年,M,2003M07,43.08
總指數,單位：基期=105年,M,2003M08,42.93
總指數,單位：基期=105年,M,2003M09,42.55
總指數,單位：基期=105年,M,2003M10,45.63
總指數,單位：基期=105年,M,2003M11,44.24
總指數,單位：基期=105年,M,2003M12,47.51
總指數,單位：基期=105年,M,2004M01,40.7
