item,unit,freq,period,value
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1997M01,519083
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1997M02,665956
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1997M03,547955
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1997M04,532448
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1997M05,518234
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1997M06,523270
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1997M07,519572
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1997M08,513811
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1997M09,514148
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1997M10,511083
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1997M11,512069
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1997M12,512804
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1998M01,620667
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1998M02,628796
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1998M03,552840
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1998M04,538045
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1998M05,530483
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1998M06,528982
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1998M07,522149
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1998M08,517066
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1998M09,506824
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1998M10,511746
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1998M11,514427
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1998M12,517517
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1999M01,521981
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1999M02,664848
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1999M03,567273
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1999M04,545770
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1999M05,536148
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1999M06,531677
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1999M07,530031
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1999M08,526929
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1999M09,526674
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1999M10,521128
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1999M11,522247
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,1999M12,539385
日平均數_全體貨幣機構以外各部門持有通貨,單位：新臺幣百萬元,M,2000M01,577175
