asset,horizon,gamma,n_obs,qlike_gjr,qlike_garch,dm_tstat,dm_pval,gjr_better,elapsed_sec
SPY,1,0.24967485815322674,501,1.4908284890734949,1.5240376677008936,-1.6539124180940943,0.0987729303115573,True,14.124745845794678
SPY,5,0.24967485815322674,502,0.30208399521736856,0.32637600242627673,-1.562858883741405,0.11871720096503967,True,13.632728815078735
SPY,22,0.24967485815322674,488,0.187920696017837,0.19193479266500296,-0.32305408511498296,0.7467929433415144,True,13.881734848022461
QQQ,1,0.18165181956461546,502,1.506885757739068,1.508825240031147,-0.08102700312799509,0.9354528355403374,True,14.107766151428223
QQQ,5,0.18165181956461546,502,0.28961929277362314,0.27305405221007606,0.8089964795568164,0.4189011856855679,False,15.68113899230957
QQQ,22,0.18165181956461546,488,0.13978208433149955,0.14500705346627232,-0.5476608936006343,0.5841756740487227,True,15.055992126464844
GLD,1,-0.049580084831810055,501,1.470479771868956,1.475340422680119,-0.7069509509339277,0.4799262921672202,True,19.117543935775757
GLD,5,-0.049580084831810055,502,0.3026863206006431,0.3017613715445857,0.14456186303526375,0.8851149437601294,False,15.480963945388794
GLD,22,-0.049580084831810055,488,0.14107200335017825,0.13977766229114502,0.17860742146220893,0.8583202424624827,False,16.086299180984497
TLT,1,-0.0071409806014706995,500,1.1434314633065057,1.1409436223851448,1.4932743499955148,0.1359973877952289,False,15.312403917312622
TLT,5,-0.0071409806014706995,502,0.28828019046323705,0.28465561833326436,2.499018593471901,0.012772819746164451,False,15.146980285644531
TLT,22,-0.0071409806014706995,488,0.11391130478043199,0.10998510035363648,2.4659541992248246,0.014008408319018343,False,14.545768976211548
EEM,1,0.0953799106382424,499,1.3401582475993732,1.3292155713060492,0.7183616677158771,0.4728711988199903,False,13.678677082061768
EEM,5,0.0953799106382424,502,0.3599727459133611,0.3615019664205823,-0.1708512308903258,0.8644097221906597,True,13.606513023376465
EEM,22,0.0953799106382424,488,0.11885478324493705,0.13246766964614298,-2.61593059024855,0.009174720232257589,True,13.266035079956055
0050.TW,1,0.1995645074053594,465,1.6713820579454046,1.6604547492877622,0.35528699617173787,0.7225360426876191,False,15.321192026138306
0050.TW,5,0.1995645074053594,481,0.4652273281978421,0.4445305761069949,0.7885742825875578,0.43075015461446076,False,15.836592197418213
0050.TW,22,0.1995645074053594,468,0.3063827529025754,0.25762756056190095,1.4540237892277723,0.14661142409490432,False,15.515200138092041
